record_id,name,canonical_name,canonical_url,status,status_as_of,hq_country,operating_regions,founding_year,entity_type,business_model,cohort_or_ecosystem,primary_lifecycle,secondary_lifecycle,category,maturity,evidence_grade,jcx_relevance,relevance_tier,scale_signal,tech_strategy,innovation_model,named_initiatives,headline_claim,claim_type,caveats,source_urls,last_verified,source_datasets,merged_record_count,status_conflict,identity_note
org-blackstone-86cff53,Blackstone,Blackstone,https://www.blackstone.com/,active,2026-08-30,United States,Global,1985,owner/manager and investment platform,capital allocation plus operating platforms and strategic investments,Independent,L/F/O/E,L/D/C/O/E,global real-assets owner-manager and digital-infrastructure investor,scale platform,A,Capital and data-centre power/land strategy changes JCX’s infrastructure and owner-operator thesis; QTS/AirTrunk are the operating comparators,A,,,,,Official AI strategy describes QTS and AirTrunk data-centre platforms; 2026 10-K available,company-reported strategy and scale,Data-centre/AUM/pipeline claims are attributed; distinguish Blackstone corporate strategy from portfolio-company operations,https://www.blackstone.com/|https://www.blackstone.com/investing-in-ai/|https://www.blackstone.com/insights/article/behind-the-deal-airtrunk/|https://ir.blackstone.com/sec-filings/sec-filings-details/default.aspx?FilingId=19199346,2026-08-30,operator_coverage_additions.csv,1,false,
org-blend-f9b1cd1,Blend,Blend,https://www.blend.com/,active,2026-08-30,United States,United States,2012,Company,Enterprise SaaS/API,Fifth Wall,Finance,Transaction,Digital mortgage lending,Public,A,Medium,A,,,,,Digital lending infrastructure used by banks,Company/VC scale claim,US licensing and banking rails do not transfer,https://www.blend.com/|https://www.fifthwall.com/portfolio,2026-08-30,proptech_startups_agent.csv,1,false,
org-bouygues-construction-da06c6d,Bouygues Construction,Bouygues Construction,https://www.bouygues-construction.com/,active,,France,Europe global,,construction contractor developer,,,D/C/E,,,,A,Innovation-centre and circular-construction comparator,A,"Bouygues Group 200,000 employees","Green and digital construction through centres, pilots and R&D",Scale One; MIT/EPFL/IP Paris partnerships,Scale One; Cyneo; Trimble pilots,No independently verified project ROI disclosed,observed,Programme evidence stronger than outcomes,https://www.bouygues-construction.com/|https://www.bouygues.com/integrated-report-2024/doc/article/29/|https://www.bouygues-construction.com/sites/default/files/bycn_financier_gb_2024_0.pdf,2026-08-30,global_real_estate_pioneers_agent.csv,1,false,
org-brainbox-ai-f5deb8d,BrainBox AI,BrainBox AI,https://brainboxai.com/,active,2026-08-30,Canada,Global,2014,Company,SaaS plus controls,Independent,Climate,Facilities,HVAC energy optimization,Scaleup,A,Medium,A,,,,,AI controls HVAC using BMS data,Product description,BMS interoperability hot/humid calibration and controls liability,https://brainboxai.com/,2026-08-30,proptech_startups_agent.csv,1,false,
org-brick-and-bolt-4809c48,Brick & Bolt,Brick & Bolt,https://www.bricknbolt.com/,active,2026-08-30,India,India,2018,private company,turnkey construction services marketplace and managed contractor network,Foundamental,L5 Construction delivery,L4 Design and preconstruction; L6 Marketing and sales; L11 Handover and warranty,tech-enabled end-to-end home and commercial construction delivery,scaleup,A,A highly relevant South Asian benchmark for productizing fragmented design-to-build delivery with digital transparency and milestone controls,A,,,,,"Brick & Bolt combines design, fixed-scope construction, digital project tracking, escrow-linked milestone payments and multi-stage quality checks in one customer journey.",official product and operating-model description,"Homeowner, quality-check, delivery and delay claims are company-reported; assess contractor governance, city-level economics and complaint history before treating scale as quality proof.",https://www.bricknbolt.com/|https://www.bricknbolt.com/commercial-construction-company|https://www.foundamental.com/portfolio,2026-08-30,final_residual_additions.csv,1,false,
org-brimstone-75851e3,Brimstone,Brimstone,https://www.brimstoneenergy.com/,active,2026-08-30,United States,Global,2019,Company,Deeptech/materials,Fifth Wall,Climate,Construction,Low-carbon cement,Early/scaleup,A,Medium,A,,,,,Carbon-negative Portland cement technology,Portfolio/product description,Scale economics standards and certification,https://www.brimstoneenergy.com/|https://www.fifthwall.com/portfolio,2026-08-30,proptech_startups_agent.csv,1,false,
org-brkz-3da166c,BRKZ,BRKZ,https://brkz.com/en,active,2026-08-30,Saudi Arabia,Saudi-Arabia-MENA,2022,private-growth,marketplace-financing,Beco-9900-Waed,materials-procurement,embedded-finance-equipment-manpower,managed-B2B-contech,scale,B/A,procurement-credit,A,,,,,US8m-2024-and-US17m-2025-releases-verify-current-financials,company-plus-press,unknown,https://brkz.com/en|https://www.wamda.com/en/2024/03/brkz-secures-8-million-series-round|https://www.globenewswire.com/news-release/2025/02/10/3023492/0/en/BRKZ-closes-17M-Series-A-to-transform-construction-procurement-as-Saudi-Arabia-s-3T-project-pipeline-accelerates.html,2026-08-30,regional_companies_agent.csv,1,false,
org-building-transparency-be3d8ba,Building Transparency,Building Transparency,https://www.buildingtransparency.org/,active,2026-08-30,United States,Global,,nonprofit organization,free open-access tool data services API and partner support,,L10 ESG climate and resilience,L4 Design and preconstruction; L5 Construction delivery; L12 Data and trust,EC3 open embodied-carbon data EPD comparison and procurement infrastructure,open infrastructure at scale,A,Provides the missing open data and interoperability layer connecting material EPDs to design procurement policy and portfolio decisions,A,,,,,"Building Transparency's EC3 is a free open-access database and decision tool for measuring, comparing and reducing embodied carbon in construction materials and projects.",official nonprofit and product description,"Observed reductions and project outcomes are nonprofit or partner-reported and depend on local EPD coverage, baselines, procurement rules and data quality.",https://www.buildingtransparency.org/|https://www.buildingtransparency.org/tools/ec3/|https://docs.buildingtransparency.org/,2026-08-30,final_residual_additions.csv,1,false,
org-buildots-abeb197,Buildots,Buildots,https://buildots.com/,active,2026-08-30,Israel,Global,2018,Company,Enterprise SaaS,Independent,Construction,Design,AI progress verification,Scaleup,B,High,A,,,,,AI compares site imagery with BIM/schedule to flag variance,Customer/vendor case,NCC result not a JCX forecast; needs reliable BIM/schedule,https://buildots.com/|https://buildots.com/case-studies/ncc-partners-with-buildots/,2026-08-30,proptech_startups_agent.csv,1,false,
org-built-technologies-83f4505,Built Technologies,Built Technologies,https://getbuilt.com/,active,2026-08-30,United States,United States,2014,Company,SaaS,Fifth Wall,Finance,Construction,Construction lending/payments,Scaleup,A,Medium,A,,,,,Cloud draw management and construction loan administration,Product description,Local KYC banking and legal enforceability,https://getbuilt.com/|https://www.fifthwall.com/portfolio,2026-08-30,proptech_startups_agent.csv,1,false,
org-butterflymx-e90e3bb,ButterflyMX,ButterflyMX,https://butterflymx.com/,active,2026-08-30,United States,Global,2014,Company,Hardware plus SaaS,Fifth Wall,Security,Operations,Access control/intercom,Scaleup,A,Medium,A,,,,,Smartphone video intercom access and communications,Product description,Installer power connectivity privacy and emergency access,https://butterflymx.com/|https://www.fifthwall.com/portfolio,2026-08-30,proptech_startups_agent.csv,1,false,
org-capitaland-investment-6aab108,CapitaLand Investment,CapitaLand Investment,https://www.capitaland.com/,active,,Singapore,Asia global,,asset manager developer lodging,,,L/S/H/O/E,,,,A,Physical-asset plus community-commerce data layer,A,Target S$200bn FUM by 2028; >130 assets managed in Singapore/India/China,Proprietary customer and asset platforms,CapitaStar and asset-light management,CapitaStar; workspace ecosystem,CapitaStar tenant sales S$1.3bn Singapore and RMB7.3bn China in 2024,company-reported,Sales include location/product mix; causality unproven,https://www.capitaland.com/|https://ir.capitalandinvest.com/misc/ar2024/toc/|https://ir.capitalandinvest.com/,2026-08-30,global_real_estate_pioneers_agent.csv,1,false,
org-carboncure-3c06351,CarbonCure,CarbonCure,https://www.carboncure.com/,active,2026-08-30,Canada,Global,2012,Company,Technology licensing,Taronga RealTechX,Climate,Construction,Low-carbon concrete,Scaleup,A,Medium,A,,,,,CO2 mineralization in concrete,Portfolio/product description,Local standards supply certification price QA,https://www.carboncure.com/|https://tarongagroup.com/realtechx/,2026-08-30,proptech_startups_agent.csv,1,false,
org-cherre-167c4aa,Cherre,Cherre,https://cherre.com/,active,2026-08-30,United States,Global,2016,Company,Enterprise SaaS/API,Independent,Data,Operations,Property data graph,Scaleup,A,High,A,,,,,Connects ownership market and asset data into a property graph,Product description,Local data rights entity resolution and integration,https://cherre.com/,2026-08-30,proptech_startups_agent.csv,1,false,
org-civils-ai-9dff211,Civils.ai,Civils.ai,https://civils.ai/,active,2026-08-30,Singapore,Southeast Asia and global,2022,private company,SaaS subscription,CEMEX Ventures Construction Startup Competition 2026 APAC finalists,L5 Construction,L4 Design,AI takeoffs and civil-engineering document review,early,A,High,A,,,,,Applies AI to civil-engineering takeoffs and technical-document review for contractors and engineering firms.,company product description,Customer and project reach are company-reported; do not merge with CivCheck.,https://civils.ai/|https://www.cemexventures.com/startup-competition-2026-apac-finalists/|https://civils.ai/about,2026-08-30,startup_core_additions.csv,1,false,
org-climate-x-d8b546c,Climate X,Climate X,https://www.climate-x.com/,active,2026-08-30,United Kingdom,Global,unknown,private startup,enterprise SaaS and API,Independent,L10 ESG,L1 Land/site/L2 Feasibility/L3 Capital/finance/L9 Portfolio,physical climate risk financial-loss and adaptation CapEx analytics,scaleup,A,High,A,,,,,"Spectra translates asset-level climate hazards into financial loss, scenario and adaptation investment decisions with enterprise APIs",official product description; company-reported scale,$13.5T AUM managed is company-reported; scenario assumptions and regional calibration require diligence,https://www.climate-x.com/|https://www.climate-x.com/faqs|https://www.climate-x.com/industries,2026-08-30,enterprise_platform_additions.csv,1,false,
org-cocoon-ff50211,Cocoon,Cocoon,https://www.cocooncarbon.com/,active,2026-08-30,United Kingdom,Europe North America and global,,private company,industrial technology plus materials sales,2150,L5 Construction,L10 Climate/energy,steel-slag cement replacement and materials decarbonization,early,A,High,A,,,,,Converts electric-arc-furnace steel slag into a low-carbon supplementary cementitious material.,product description,Already discovery-only; use legal/company identity Cocoon Carbon and avoid generic Cocoon collisions.,https://www.cocooncarbon.com/|https://www.2150.vc/investments/cocoon|https://www.cocooncarbon.com/about,2026-08-30,startup_core_additions.csv,1,false,
org-concreteai-886747c,ConcreteAI,ConcreteAI,https://www.concreteai.io/,active,2026-08-30,Singapore,Southeast Asia and global,2022,private company,hardware plus SaaS,CEMEX Ventures Construction Startup Competition 2026 APAC finalists,L5 Construction,L10 Climate/energy,concrete strength temperature and quality monitoring,early,A,High,A,,,,,"Monitors concrete strength and temperature to improve quality assurance, reduce waste and support lower-carbon decisions.",company product description,Singapore concreteai.io is distinct from US Concrete.ai; customer and structure counts are company-reported.,https://www.concreteai.io/|https://www.cemexventures.com/startup-competition-2026-apac-finalists/|https://www.concreteai.io/about_us,2026-08-30,startup_core_additions.csv,1,false,
org-cupix-384c862,Cupix,Cupix,https://www.cupix.com/,active,2026-08-30,South Korea,Asia North America and global,,private company,SaaS subscription plus capture integrations,BuiltWorlds Building Tech Top 50 2025,L5 Construction,L4 Design,4D digital twins from 360 video laser drone and BIM,scaleup,A,High,A,,,,,Builds 4D digital twins from site captures and BIM for progress facilities and handover workflows.,product description,Global project and efficiency claims are company-reported; confirm current legal HQ during enrichment.,https://www.cupix.com/|https://builtworlds.com/insights/2025-building-tech-top-50-list/,2026-08-30,startup_core_additions.csv,1,false,
org-d-r-horton-df5d6bc,D.R. Horton,D.R. Horton,https://investor.drhorton.com/,active,2026-08-30,United States,North America,1978,developer and production homebuilder,"standardized production, digital marketing, mortgage/title and warranty",Independent,L/D/C/S/F/H,O,high-volume homebuilder and captive-finance operator,scale operator,A,Adds the largest-volume production benchmark and first-time-buyer funnel for JCX residential repeatability,A,,,,,FY2025 annual report states nearly 85K homes and digital marketing channels,company-reported scale and operating description,Do not infer advanced AI from generic technology language; homes delivered are not technology outcomes,https://investor.drhorton.com/|https://investor.drhorton.com/financial-information/financial-reports/annual-reports|https://investor.drhorton.com/~/media/Files/D/D-R-Horton-IR/documents/quarterly-reports/2025-dhi-annual-report.pdf,2026-08-30,operator_coverage_additions.csv,1,false,
org-dealpath-d87900f,Dealpath,Dealpath,https://www.dealpath.com/,active,2026-08-30,United States,Global,unknown,private company,enterprise SaaS and integrations,Independent,L2 Feasibility,L3 Capital/finance/L9 Portfolio,CRE investment pipeline underwriting CRM deal execution and portfolio intelligence,enterprise,A,High,A,,,,,AI-powered CRE investment operating system for pipeline screening deal execution portfolio insight governance and integrations,official product description; company-reported scale,300+ firms and $10T+ transactions supported are company-reported; AI outcomes need customer-level evidence,https://www.dealpath.com/|https://www.dealpath.com/platform/|https://www.dealpath.com/company/,2026-08-30,enterprise_platform_additions.csv,1,false,
org-deepki-90fc92a,Deepki,Deepki,https://www.deepki.com/platform/,active,2026-08-30,France,Europe/global,2014,private company,enterprise SaaS and advisory,Independent,L10 ESG,L8 Property operations/L9 Portfolio,real-estate sustainability data climate risk and CapEx planning,scaleup,A,High,A,,,,,"Centralizes utility and sustainability data, climate risk, compliance, virtual retrofit and CapEx decisions; official site reports 600+ companies and 6,500+ buildings monitored",company-reported scale and product description,Reported 32% energy reduction and 40% reporting-time savings are company claims; Bangladesh utility factors and disclosure requirements differ.,https://www.deepki.com/platform/|https://www.deepki.com/,2026-08-30,coverage_gap_additions.csv,1,false,
org-digital-realty-5bd2bb5,Digital Realty,Digital Realty,https://www.digitalrealty.com/,active,2026-08-30,United States,Global Americas EMEA APAC,2001,REIT and infrastructure operator,"colocation, connectivity, data sovereignty, AI capacity and sustainable facilities",Independent,L/D/C/O/E,F,global data-centre owner/operator and interconnection platform,scale platform,A,Creates a concrete neutral-colocation and digital-infrastructure benchmark adjacent to Related Digital and Keppel,A,,,,,"2025 10-K reports 300+ facilities, 55+ metros, 30+ countries, ~2.9GW in-place IT capacity and ~770MW under construction",official filing and company product description,"Capacity, uptime and sustainability claims are company-reported; separate owned operations from customer workloads",https://www.digitalrealty.com/|https://investor.digitalrealty.com/financials/annual-reports|https://www.sec.gov/Archives/edgar/data/1297996/000110465926015365/dlr-20251231x10k.htm|https://www.digitalrealty.com/platform-digital,2026-08-30,operator_coverage_additions.csv,1,false,
org-dronedeploy-51fed53,DroneDeploy,DroneDeploy,https://www.dronedeploy.com/,active,2026-08-30,United States,North America and global,,private company,SaaS subscription plus capture hardware integrations,BuiltWorlds Building Tech Top 50 2025,L5 Construction,L9 Portfolio,visual AI drone and reality capture for construction,scaleup,A,High,A,,,,,Provides visual AI and drone/reality capture for construction progress quality safety and site operations.,product description,StructionSite was acquired by DroneDeploy in 2022; keep the acquired product as lineage rather than a second active company.,https://www.dronedeploy.com/|https://builtworlds.com/insights/2025-building-tech-top-50-list/,2026-08-30,startup_core_additions.csv,1,false,
org-dubizzle-group-bayut-936a17a,Dubizzle Group / Bayut,Dubizzle Group / Bayut,https://www.dubizzlegroup.com/our-brands/,active,2026-08-30,United Arab Emirates,MENA,2005,private company,listing subscriptions CRM data APIs and advertising,Independent,L6 Marketing/sales,L9 Portfolio/L3 Capital/finance,property classifieds market intelligence and agent workflow,scaleup,A,High,A,,,,,"Bayut and dubizzle combine marketplace distribution with property intelligence, automated valuation, DLD-linked transactions and agent tools",company product description and group disclosure,Bayut is a brand within Dubizzle Group; deduplicate group and brand in the website; investor and market-leadership claims need date labels.,https://www.dubizzlegroup.com/our-brands/|https://www.dubizzlegroup.com/,2026-08-30,coverage_gap_additions.csv,1,false,
org-dusty-robotics-c2631b0,Dusty Robotics,Dusty Robotics,https://www.dustyrobotics.com/,active,2026-08-30,United States,North America,2018,private startup,robotics hardware plus software/services,Independent,L5 Construction,L4 Design,autonomous BIM-driven construction layout robot,scaleup,A,High,A,,,,,FieldPrinter prints coordinated multi-trade BIM layout on slabs; official customer page reports deployment on hundreds of North American projects,company product description and customer stories,Product is currently available in North America; case outcomes are customer/vendor-reported and local labor economics may differ.,https://www.dustyrobotics.com/|https://www.dustyrobotics.com/customers|https://www.dustyrobotics.com/customer-stories/skanska-case-study,2026-08-30,coverage_gap_additions.csv,1,false,
org-eliseai-312bd83,EliseAI,EliseAI,https://eliseai.com/,active,2026-08-30,United States,North America,unknown,private startup,AI SaaS and services,Independent,L6 Marketing/sales,L7 Occupancy/L8 Property operations,AI leasing resident communications CRM and property-operations workflow,scaleup,A,High,A,,,,,Housing AI synchronizes PMS and CRM data to automate prospect resident and operations workflows across the resident journey,official product description; company-reported scale,"1-in-6 apartments, $400m funding, $200m ARR and conversation counts are company-reported",https://eliseai.com/|https://eliseai.com/about-us|https://eliseai.com/platform-overview|https://info.eliseai.com/hubfs/One-Pager-Product-Resident-EliseCRM-PMC-Final.pdf,2026-08-30,enterprise_platform_additions.csv,1,false,
org-emaar-development-402d000,Emaar Development,Emaar Development,https://properties.emaar.com/,active,,United Arab Emirates,UAE global hospitality markets,,developer hospitality,,,L/D/S/H/O/E,,,,A,Enterprise analytics and digital transaction reference,A,Large UAE developer; exact scale not extracted,"AI, analytics, IoT, cloud and automation",Exploring Group Innovation Hub; internal IT transformation,Project Hawkeye; Vyom; IT Transformation,No causal ROI disclosed,observed,Adoption and ROI not disclosed,https://properties.emaar.com/|https://properties.emaar.com/wp-content/uploads/2025/03/Emaar-Development_Integrated-Report-for-the-Year-2024_EN.pdf,2026-08-30,global_real_estate_pioneers_agent.csv,1,false,
org-equinix-db3cddd,Equinix,Equinix,https://www.equinix.com/,active,2026-08-30,United States,Global Americas EMEA APAC,1998,REIT-like infrastructure operator and network ecosystem,"xScale, interconnection, metro footprints, digital sovereignty and uptime",Independent,L/D/C/O/E,F,"global data-centre, colocation and interconnection operator",scale platform,A,Adds the network/ecosystem layer between physical real estate and cloud; relevant to JCX data and service architecture,A,,,,,"2025 10-K reports 280 facilities, 77 markets, 36 countries, 10,500+ customers and 99.9999%+ uptime",official filing and company platform description,Operational uptime and customer counts are company-reported; interconnection is not a property-management SaaS proxy,https://www.equinix.com/|https://investor.equinix.com/about-equinix/annual-reports-proxy|https://investor.equinix.com/sec-filings/all-sec-filings/content/0001101239-26-000032/eqix-20251231.htm,2026-08-30,operator_coverage_additions.csv,1,false,
org-esr-group-5cc4f98,ESR Group,ESR Group,https://www.esr.com/,active,2026-08-30,Singapore,Asia-Pacific including India Japan Korea Greater China Southeast Asia ANZ,2011,integrated development and fund-management platform,"new-economy logistics, hyperscale data centres, infrastructure and decarbonization",Independent; private since 2025-07-04,L/D/C/O/E,F,"APAC logistics, data-centre and infrastructure real-asset owner/manager",scale platform,A,Fills the APAC new-economy operating gap across markets that matter to JCX and adds a privatization/governance case,A,,,,,Current IR page reports US$77.3B total AUM at 31 Dec 2025; official release documents privatization and data-centre pipeline,official company reporting,Status is private after delisting; AUM and pipeline are company-reported; avoid stale listed-company assumptions,https://www.esr.com/|https://www.esr.com/investor-relations/|https://www.esr.com/news/esr-completes-privatisation-strengthens-leadership-team/|https://www.esr.com/news/esr-group-reports-fy2024-results-demonstrates-business-resilience-as-its-clear-core-focus-on-logistics-real-estate-data-centres-and-infrastructure-drives-next-phase-of-growth/,2026-08-30,operator_coverage_additions.csv,1,false,
org-facilio-ee1952a,Facilio,Facilio,https://facilio.in/,active,2026-08-30,India,India-UAE-US-Singapore-Australia-UK || Global,2017,private-growth || Company,enterprise-subscription-implementation || SaaS plus integration,Accel-Tiger-Dragoneer-Brookfield || Taronga RealTechX,property-operations-maintenance || Facilities,IoT-energy-tenant-experience-AI || Climate,connected-CMMS-building-SaaS || Connected FM/BMS,scale || Scaleup,B,post-handover-energy || High,A,,,,,dated-funding-official-metrics-mostly-company-claims || Work orders assets IoT/BMS and tenant experience,company-releases || Customer/vendor case,unknown || Controls protocols meters cybersecurity and service ownership,https://facilio.in/|https://facilio.com/newsroom/series-a/|https://facilio.com/newsroom/series-b/|https://facilio.in/about/|https://facilio.com/|https://facilio.com/case-study/al-fajer/|https://tarongagroup.com/realtechx/,2026-08-30,proptech_startups_agent.csv|regional_companies_agent.csv,2,false,
org-field-materials-05352ab,Field Materials,Field Materials,https://www.fieldmaterials.com/,active,2026-08-30,United States,North America and global,,private company,SaaS subscription,Zacua Ventures,L5 Construction,L3 Capital/finance,construction procurement AP and inventory software,early,A,High,A,,,,,Connects construction purchasing vendor discovery inventory and accounts-payable workflows.,company product description,Orders projects vendors and geographic reach are company-reported; verify current customer concentration.,https://www.fieldmaterials.com/|https://zacuaventures.com/portfolio/|https://www.fieldmaterials.com/about,2026-08-30,startup_core_additions.csv,1,false,
org-funnel-leasing-6474af3,Funnel Leasing,Funnel Leasing,https://funnelleasing.com/,active,2026-08-30,United States,North America,,private company,SaaS subscription,RET Ventures,L6 Marketing/sales,L8 Property operations,multifamily renter-management and leasing CRM,scaleup,A,High,A,,,,,Provides a connected inquiry-to-renewal renter-management workflow for multifamily operators.,product description,Already present discovery-only in the 690-record universe; promote to the 228 core after enrichment.,https://funnelleasing.com/|https://www.ret.vc/portfolio|https://funnelleasing.com/about/,2026-08-30,startup_core_additions.csv,1,false,
org-ga-technologies-renosy-af2b82d,GA-Technologies-RENOSY,GA-Technologies-RENOSY,https://www.ga-tech.co.jp/en/,active,2026-08-30,Japan,Japan-Thailand-China-US,2013,public-company,transactions-subscriptions-SaaS,Tokyo-Stock-Exchange-RENOSY-ITANDI,online-property-investment,asset-management-rental-AI-valuation,integrated-real-estate-tech,scale,A,property-data-flywheel,A,,,,,Japan-data-and-regulations-localize,annual-filing,unknown,https://www.ga-tech.co.jp/en/|https://edinetdb.jp/company/E34177/text?fy=2024|https://www.ga-tech.co.jp/en/company/history/,2026-08-30,regional_companies_agent.csv,1,false,
