entity_id,display_name,aliases_json,record_type,record_type_basis,canonical_url,canonical_url_status,discovery_profile_urls_json,status_current,operating_status_legacy,status_conflict,status_evidence_date,status_observed_at,status_date_note,last_verified,headquarters_country,headquarters_country_values_legacy_json,headquarters_country_conflict,operating_regions_json,founding_year,founding_year_values_json,founding_year_note,business_models_json,ecosystem_memberships_json,lifecycle_codes_json,lifecycle_mapping_methods_json,lifecycle_labels_legacy_json,lifecycle_unmapped_labels_json,category_labels_json,maturity_band_provisional,maturity_labels_legacy_json,mrl,mrl_note,reviewed_relevance_tier,relevance_tier_values_json,relevance_tier_conflict,jcx_relevance_notes_json,legacy_evidence_grades_json,source_quality_grades_provisional_json,source_count,source_urls_json,source_datasets_json,merged_record_count,publication_readiness,review_flags_json
org-blackstone-86cff53,Blackstone,[],organization,default operating/legal identity,https://www.blackstone.com/,resolved,[],active,active,false,,2026-08-30,Legacy status_as_of is preserved in assertions; it is not promoted because it usually represents the research date rather than a supported event date.,2026-08-30,United States,"[""United States""]",false,"[""Global""]",1985,"[""1985""]",,"[""capital allocation plus operating platforms and strategic investments""]","[""Independent""]","[""L1"",""L3"",""L4"",""L5"",""L8"",""L10""]","[""documented_legacy_shorthand""]","[""L/F/O/E"",""L/D/C/O/E""]",[],"[""global real-assets owner-manager and digital-infrastructure investor""]",scaled_or_enterprise_signal,"[""scale platform""]",,Not assigned from company scale/funding; requires product-and-geography evidence.,A,"[""A""]",false,"[""Capital and data-centre power/land strategy changes JCX’s infrastructure and owner-operator thesis; QTS/AirTrunk are the operating comparators""]","[""A""]","[""S2""]",4,"[""https://blackstone.com/"",""https://blackstone.com/insights/article/behind-the-deal-airtrunk"",""https://blackstone.com/investing-in-ai"",""https://ir.blackstone.com/sec-filings/sec-filings-details/default.aspx?FilingId=19199346""]","[""operator_coverage_additions.csv""]",1,qualified_profile_requires_claim_review,"[""claim_level_evidence_review_required""]"
org-blend-f9b1cd1,Blend,[],organization,default operating/legal identity,https://www.blend.com/,resolved,[],active,active,false,,2026-08-30,Legacy status_as_of is preserved in assertions; it is not promoted because it usually represents the research date rather than a supported event date.,2026-08-30,United States,"[""United States""]",false,"[""United States""]",2012,"[""2012""]",,"[""Enterprise SaaS/API""]","[""Fifth Wall""]","[""L3""]","[""keyword_inference""]","[""Finance"",""Transaction""]",[],"[""Digital mortgage lending""]",scaled_or_enterprise_signal,"[""Public""]",,Not assigned from company scale/funding; requires product-and-geography evidence.,A,"[""A""]",false,"[""Medium""]","[""A""]","[""S2"",""S4""]",2,"[""https://blend.com/"",""https://fifthwall.com/portfolio""]","[""proptech_startups_agent.csv""]",1,qualified_profile_requires_claim_review,"[""claim_level_evidence_review_required""]"
org-bouygues-construction-da06c6d,Bouygues Construction,[],organization,default operating/legal identity,https://www.bouygues-construction.com/,resolved,[],active,active,false,,2026-08-30,Legacy status_as_of is preserved in assertions; it is not promoted because it usually represents the research date rather than a supported event date.,2026-08-30,France,"[""France""]",false,"[""Europe global""]",,[],Not verified in the current source layer.,[],[],"[""L4"",""L5"",""L10""]","[""documented_legacy_shorthand""]","[""D/C/E""]",[],[],not_assessed,[],,Not assigned from company scale/funding; requires product-and-geography evidence.,A,"[""A""]",false,"[""Innovation-centre and circular-construction comparator""]","[""A""]","[""S2""]",3,"[""https://bouygues-construction.com/"",""https://bouygues-construction.com/sites/default/files/bycn_financier_gb_2024_0.pdf"",""https://bouygues.com/integrated-report-2024/doc/article/29""]","[""global_real_estate_pioneers_agent.csv""]",1,profile_requires_editorial_review,"[""category_not_assessed"",""maturity_not_assessed"",""status_evidence_date_missing"",""claim_level_evidence_review_required""]"
org-brainbox-ai-f5deb8d,BrainBox AI,[],organization,default operating/legal identity,https://brainboxai.com/,resolved,[],active,active,false,,2026-08-30,Legacy status_as_of is preserved in assertions; it is not promoted because it usually represents the research date rather than a supported event date.,2026-08-30,Canada,"[""Canada""]",false,"[""Global""]",2014,"[""2014""]",,"[""SaaS plus controls""]","[""Independent""]","[""L8"",""L10""]","[""keyword_inference""]","[""Climate"",""Facilities""]",[],"[""HVAC energy optimization""]",scaled_or_enterprise_signal,"[""Scaleup""]",,Not assigned from company scale/funding; requires product-and-geography evidence.,A,"[""A""]",false,"[""Medium""]","[""A""]","[""S2""]",1,"[""https://brainboxai.com/""]","[""proptech_startups_agent.csv""]",1,qualified_profile_requires_claim_review,"[""claim_level_evidence_review_required""]"
org-brick-and-bolt-4809c48,Brick & Bolt,[],organization,default operating/legal identity,https://www.bricknbolt.com/,resolved,[],active,active,false,,2026-08-30,Legacy status_as_of is preserved in assertions; it is not promoted because it usually represents the research date rather than a supported event date.,2026-08-30,India,"[""India""]",false,"[""India""]",2018,"[""2018""]",,"[""turnkey construction services marketplace and managed contractor network""]","[""Foundamental""]","[""L4"",""L5"",""L6"",""L11""]","[""explicit_code"",""keyword_inference""]","[""L5 Construction delivery"",""L4 Design and preconstruction; L6 Marketing and sales; L11 Handover and warranty""]",[],"[""tech-enabled end-to-end home and commercial construction delivery""]",scaled_or_enterprise_signal,"[""scaleup""]",,Not assigned from company scale/funding; requires product-and-geography evidence.,A,"[""A""]",false,"[""A highly relevant South Asian benchmark for productizing fragmented design-to-build delivery with digital transparency and milestone controls""]","[""A""]","[""S2""]",3,"[""https://bricknbolt.com/"",""https://bricknbolt.com/commercial-construction-company"",""https://foundamental.com/portfolio""]","[""final_residual_additions.csv""]",1,qualified_profile_requires_claim_review,"[""claim_level_evidence_review_required""]"
org-brimstone-75851e3,Brimstone,[],organization,default operating/legal identity,https://www.brimstoneenergy.com/,resolved,[],active,active,false,,2026-08-30,Legacy status_as_of is preserved in assertions; it is not promoted because it usually represents the research date rather than a supported event date.,2026-08-30,United States,"[""United States""]",false,"[""Global""]",2019,"[""2019""]",,"[""Deeptech/materials""]","[""Fifth Wall""]","[""L5"",""L10""]","[""keyword_inference""]","[""Climate"",""Construction""]",[],"[""Low-carbon cement""]",scaled_or_enterprise_signal,"[""Early/scaleup""]",,Not assigned from company scale/funding; requires product-and-geography evidence.,A,"[""A""]",false,"[""Medium""]","[""A""]","[""S2"",""S4""]",2,"[""https://brimstoneenergy.com/"",""https://fifthwall.com/portfolio""]","[""proptech_startups_agent.csv""]",1,qualified_profile_requires_claim_review,"[""claim_level_evidence_review_required""]"
org-brkz-3da166c,BRKZ,[],organization,default operating/legal identity,https://brkz.com/en,resolved,[],active,active,false,,2026-08-30,Legacy status_as_of is preserved in assertions; it is not promoted because it usually represents the research date rather than a supported event date.,2026-08-30,Saudi Arabia,"[""Saudi Arabia""]",false,"[""Saudi-Arabia-MENA""]",2022,"[""2022""]",,"[""marketplace-financing""]","[""Beco-9900-Waed""]","[""L3"",""L5""]","[""keyword_inference""]","[""materials-procurement"",""embedded-finance-equipment-manpower""]",[],"[""managed-B2B-contech""]",scaled_or_enterprise_signal,"[""scale""]",,Not assigned from company scale/funding; requires product-and-geography evidence.,A,"[""A""]",false,"[""procurement-credit""]","[""B/A""]","[""S2"",""S3""]",3,"[""https://brkz.com/en"",""https://globenewswire.com/news-release/2025/02/10/3023492/0/en/BRKZ-closes-17M-Series-A-to-transform-construction-procurement-as-Saudi-Arabia-s-3T-project-pipeline-accelerates.html"",""https://wamda.com/en/2024/03/brkz-secures-8-million-series-round""]","[""regional_companies_agent.csv""]",1,qualified_profile_requires_claim_review,"[""claim_level_evidence_review_required""]"
org-building-transparency-be3d8ba,Building Transparency,[],organization,default operating/legal identity,https://www.buildingtransparency.org/,resolved,[],active,active,false,,2026-08-30,Legacy status_as_of is preserved in assertions; it is not promoted because it usually represents the research date rather than a supported event date.,2026-08-30,United States,"[""United States""]",false,"[""Global""]",,[],Not verified in the current source layer.,"[""free open-access tool data services API and partner support""]",[],"[""L4"",""L5"",""L10"",""L12""]","[""explicit_code"",""keyword_inference""]","[""L10 ESG climate and resilience"",""L4 Design and preconstruction; L5 Construction delivery; L12 Data and trust""]",[],"[""EC3 open embodied-carbon data EPD comparison and procurement infrastructure""]",scaled_or_enterprise_signal,"[""open infrastructure at scale""]",,Not assigned from company scale/funding; requires product-and-geography evidence.,A,"[""A""]",false,"[""Provides the missing open data and interoperability layer connecting material EPDs to design procurement policy and portfolio decisions""]","[""A""]","[""S3""]",3,"[""https://buildingtransparency.org/"",""https://buildingtransparency.org/tools/ec3"",""https://docs.buildingtransparency.org/""]","[""final_residual_additions.csv""]",1,qualified_profile_requires_claim_review,"[""claim_level_evidence_review_required""]"
org-buildots-abeb197,Buildots,[],organization,default operating/legal identity,https://buildots.com/,resolved,[],active,active,false,,2026-08-30,Legacy status_as_of is preserved in assertions; it is not promoted because it usually represents the research date rather than a supported event date.,2026-08-30,Israel,"[""Israel""]",false,"[""Global""]",2018,"[""2018""]",,"[""Enterprise SaaS""]","[""Independent""]","[""L4"",""L5""]","[""keyword_inference""]","[""Construction"",""Design""]",[],"[""AI progress verification""]",scaled_or_enterprise_signal,"[""Scaleup""]",,Not assigned from company scale/funding; requires product-and-geography evidence.,A,"[""A""]",false,"[""High""]","[""B""]","[""S2""]",2,"[""https://buildots.com/"",""https://buildots.com/case-studies/ncc-partners-with-buildots""]","[""proptech_startups_agent.csv""]",1,qualified_profile_requires_claim_review,"[""claim_level_evidence_review_required""]"
org-built-technologies-83f4505,Built Technologies,[],organization,default operating/legal identity,https://getbuilt.com/,resolved,[],active,active,false,,2026-08-30,Legacy status_as_of is preserved in assertions; it is not promoted because it usually represents the research date rather than a supported event date.,2026-08-30,United States,"[""United States""]",false,"[""United States""]",2014,"[""2014""]",,"[""SaaS""]","[""Fifth Wall""]","[""L3"",""L5""]","[""keyword_inference""]","[""Finance"",""Construction""]",[],"[""Construction lending/payments""]",scaled_or_enterprise_signal,"[""Scaleup""]",,Not assigned from company scale/funding; requires product-and-geography evidence.,A,"[""A""]",false,"[""Medium""]","[""A""]","[""S2"",""S4""]",2,"[""https://fifthwall.com/portfolio"",""https://getbuilt.com/""]","[""proptech_startups_agent.csv""]",1,qualified_profile_requires_claim_review,"[""claim_level_evidence_review_required""]"
org-butterflymx-e90e3bb,ButterflyMX,[],organization,default operating/legal identity,https://butterflymx.com/,resolved,[],active,active,false,,2026-08-30,Legacy status_as_of is preserved in assertions; it is not promoted because it usually represents the research date rather than a supported event date.,2026-08-30,United States,"[""United States""]",false,"[""Global""]",2014,"[""2014""]",,"[""Hardware plus SaaS""]","[""Fifth Wall""]","[""L8""]","[""keyword_inference""]","[""Security"",""Operations""]",[],"[""Access control/intercom""]",scaled_or_enterprise_signal,"[""Scaleup""]",,Not assigned from company scale/funding; requires product-and-geography evidence.,A,"[""A""]",false,"[""Medium""]","[""A""]","[""S2"",""S4""]",2,"[""https://butterflymx.com/"",""https://fifthwall.com/portfolio""]","[""proptech_startups_agent.csv""]",1,qualified_profile_requires_claim_review,"[""claim_level_evidence_review_required""]"
org-capitaland-investment-6aab108,CapitaLand Investment,[],organization,default operating/legal identity,https://www.capitaland.com/,resolved,[],active,active,false,,2026-08-30,Legacy status_as_of is preserved in assertions; it is not promoted because it usually represents the research date rather than a supported event date.,2026-08-30,Singapore,"[""Singapore""]",false,"[""Asia global""]",,[],Not verified in the current source layer.,[],[],"[""L1"",""L6"",""L7"",""L8"",""L10""]","[""documented_legacy_shorthand""]","[""L/S/H/O/E""]",[],[],not_assessed,[],,Not assigned from company scale/funding; requires product-and-geography evidence.,A,"[""A""]",false,"[""Physical-asset plus community-commerce data layer""]","[""A""]","[""S2""]",3,"[""https://capitaland.com/"",""https://ir.capitalandinvest.com/"",""https://ir.capitalandinvest.com/misc/ar2024/toc""]","[""global_real_estate_pioneers_agent.csv""]",1,profile_requires_editorial_review,"[""category_not_assessed"",""maturity_not_assessed"",""status_evidence_date_missing"",""claim_level_evidence_review_required""]"
org-carboncure-3c06351,CarbonCure,[],organization,default operating/legal identity,https://www.carboncure.com/,resolved,[],active,active,false,,2026-08-30,Legacy status_as_of is preserved in assertions; it is not promoted because it usually represents the research date rather than a supported event date.,2026-08-30,Canada,"[""Canada""]",false,"[""Global""]",2012,"[""2012""]",,"[""Technology licensing""]","[""Taronga RealTechX""]","[""L5"",""L10""]","[""keyword_inference""]","[""Climate"",""Construction""]",[],"[""Low-carbon concrete""]",scaled_or_enterprise_signal,"[""Scaleup""]",,Not assigned from company scale/funding; requires product-and-geography evidence.,A,"[""A""]",false,"[""Medium""]","[""A""]","[""S2"",""S4""]",2,"[""https://carboncure.com/"",""https://tarongagroup.com/realtechx""]","[""proptech_startups_agent.csv""]",1,qualified_profile_requires_claim_review,"[""claim_level_evidence_review_required""]"
org-cherre-167c4aa,Cherre,[],organization,default operating/legal identity,https://cherre.com/,resolved,[],active,active,false,,2026-08-30,Legacy status_as_of is preserved in assertions; it is not promoted because it usually represents the research date rather than a supported event date.,2026-08-30,United States,"[""United States""]",false,"[""Global""]",2016,"[""2016""]",,"[""Enterprise SaaS/API""]","[""Independent""]","[""L8"",""L12""]","[""keyword_inference""]","[""Data"",""Operations""]",[],"[""Property data graph""]",scaled_or_enterprise_signal,"[""Scaleup""]",,Not assigned from company scale/funding; requires product-and-geography evidence.,A,"[""A""]",false,"[""High""]","[""A""]","[""S2""]",1,"[""https://cherre.com/""]","[""proptech_startups_agent.csv""]",1,qualified_profile_requires_claim_review,"[""claim_level_evidence_review_required""]"
org-civils-ai-9dff211,Civils.ai,[],organization,default operating/legal identity,https://civils.ai/,resolved,[],active,active,false,,2026-08-30,Legacy status_as_of is preserved in assertions; it is not promoted because it usually represents the research date rather than a supported event date.,2026-08-30,Singapore,"[""Singapore""]",false,"[""Southeast Asia and global""]",2022,"[""2022""]",,"[""SaaS subscription""]","[""CEMEX Ventures Construction Startup Competition 2026 APAC finalists""]","[""L4"",""L5""]","[""explicit_code"",""keyword_inference""]","[""L5 Construction"",""L4 Design""]",[],"[""AI takeoffs and civil-engineering document review""]",early_or_growth_signal,"[""early""]",,Not assigned from company scale/funding; requires product-and-geography evidence.,A,"[""A""]",false,"[""High""]","[""A""]","[""S2""]",3,"[""https://cemexventures.com/startup-competition-2026-apac-finalists"",""https://civils.ai/"",""https://civils.ai/about""]","[""startup_core_additions.csv""]",1,qualified_profile_requires_claim_review,"[""claim_level_evidence_review_required""]"
org-climate-x-d8b546c,Climate X,[],organization,default operating/legal identity,https://www.climate-x.com/,resolved,[],active,active,false,,2026-08-30,Legacy status_as_of is preserved in assertions; it is not promoted because it usually represents the research date rather than a supported event date.,2026-08-30,United Kingdom,"[""United Kingdom""]",false,"[""Global""]",,"[""unknown""]",Not verified in the current source layer.,"[""enterprise SaaS and API""]","[""Independent""]","[""L1"",""L2"",""L3"",""L9"",""L10""]","[""explicit_code"",""keyword_inference""]","[""L10 ESG"",""L1 Land/site/L2 Feasibility/L3 Capital/finance/L9 Portfolio""]",[],"[""physical climate risk financial-loss and adaptation CapEx analytics""]",scaled_or_enterprise_signal,"[""scaleup""]",,Not assigned from company scale/funding; requires product-and-geography evidence.,A,"[""A""]",false,"[""High""]","[""A""]","[""S2""]",3,"[""https://climate-x.com/"",""https://climate-x.com/faqs"",""https://climate-x.com/industries""]","[""enterprise_platform_additions.csv""]",1,qualified_profile_requires_claim_review,"[""claim_level_evidence_review_required""]"
org-cocoon-ff50211,Cocoon,[],organization,default operating/legal identity,https://www.cocooncarbon.com/,resolved,[],active,active,false,,2026-08-30,Legacy status_as_of is preserved in assertions; it is not promoted because it usually represents the research date rather than a supported event date.,2026-08-30,United Kingdom,"[""United Kingdom""]",false,"[""Europe North America and global""]",,[],Not verified in the current source layer.,"[""industrial technology plus materials sales""]","[""2150""]","[""L5"",""L10""]","[""explicit_code"",""keyword_inference""]","[""L5 Construction"",""L10 Climate/energy""]",[],"[""steel-slag cement replacement and materials decarbonization""]",early_or_growth_signal,"[""early""]",,Not assigned from company scale/funding; requires product-and-geography evidence.,A,"[""A""]",false,"[""High""]","[""A""]","[""S2""]",3,"[""https://2150.vc/investments/cocoon"",""https://cocooncarbon.com/"",""https://cocooncarbon.com/about""]","[""startup_core_additions.csv""]",1,qualified_profile_requires_claim_review,"[""claim_level_evidence_review_required""]"
org-concreteai-886747c,ConcreteAI,[],organization,default operating/legal identity,https://www.concreteai.io/,resolved,[],active,active,false,,2026-08-30,Legacy status_as_of is preserved in assertions; it is not promoted because it usually represents the research date rather than a supported event date.,2026-08-30,Singapore,"[""Singapore""]",false,"[""Southeast Asia and global""]",2022,"[""2022""]",,"[""hardware plus SaaS""]","[""CEMEX Ventures Construction Startup Competition 2026 APAC finalists""]","[""L5"",""L10""]","[""explicit_code"",""keyword_inference""]","[""L5 Construction"",""L10 Climate/energy""]",[],"[""concrete strength temperature and quality monitoring""]",early_or_growth_signal,"[""early""]",,Not assigned from company scale/funding; requires product-and-geography evidence.,A,"[""A""]",false,"[""High""]","[""A""]","[""S2""]",3,"[""https://cemexventures.com/startup-competition-2026-apac-finalists"",""https://concreteai.io/"",""https://concreteai.io/about_us""]","[""startup_core_additions.csv""]",1,qualified_profile_requires_claim_review,"[""claim_level_evidence_review_required""]"
