source_id,url,observed_urls,domain,inferred_source_class,source_quality_grade_provisional,quality_grade_status,used_by_record_ids,used_by_names,used_by_documents,source_datasets,last_verified,editorial_note
src-269d0756c0,https://2150.vc/investments/ember,https://www.2150.vc/investments/ember,2150.vc,company_or_product,S2,domain-level provisional; claim-level review required,eco-5b5c3c1da6,Ember,research/built_environment_ecosystem_discovery_index.csv,built_environment_ecosystem_discovery_index.csv|full_corpus_source_inventory.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-8bb2c9c996,https://2150.vc/investments/getmobil,https://www.2150.vc/investments/getmobil,2150.vc,company_or_product,S2,domain-level provisional; claim-level review required,eco-60732f2454,Getmobil,research/built_environment_ecosystem_discovery_index.csv,built_environment_ecosystem_discovery_index.csv|full_corpus_source_inventory.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-d1f43a00a7,https://2150.vc/investments/gigaton,https://www.2150.vc/investments/gigaton,2150.vc,company_or_product,S2,domain-level provisional; claim-level review required,eco-a43e3446e4|org-gigaton-140a05c,Gigaton,research/built_environment_ecosystem_discovery_index.csv|research/startup_core_additions.csv|research/startup_coverage_additions.csv,built_environment_ecosystem_discovery_index.csv|full_corpus_source_inventory.csv|startup_core_additions.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-61b81ef636,https://2150.vc/investments/hometree,https://www.2150.vc/investments/hometree,2150.vc,company_or_product,S2,domain-level provisional; claim-level review required,eco-ca0ffc6907,Hometree,research/built_environment_ecosystem_discovery_index.csv,built_environment_ecosystem_discovery_index.csv|full_corpus_source_inventory.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-a1c038aba5,https://2150.vc/investments/kelvin-systems,https://www.2150.vc/investments/kelvin-systems,2150.vc,company_or_product,S2,domain-level provisional; claim-level review required,eco-26ca192846,Kelvin Systems,research/built_environment_ecosystem_discovery_index.csv,built_environment_ecosystem_discovery_index.csv|full_corpus_source_inventory.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-ef86c51a4a,https://2150.vc/investments/leko-labs,https://www.2150.vc/investments/leko-labs,2150.vc,company_or_product,S2,domain-level provisional; claim-level review required,eco-1368bc70a5,Leko Labs,research/built_environment_ecosystem_discovery_index.csv,built_environment_ecosystem_discovery_index.csv|full_corpus_source_inventory.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-0a50700d64,https://2150.vc/investments/luxwall,https://www.2150.vc/investments/luxwall,2150.vc,company_or_product,S2,domain-level provisional; claim-level review required,eco-13968373a0,Luxwall,research/built_environment_ecosystem_discovery_index.csv,built_environment_ecosystem_discovery_index.csv|full_corpus_source_inventory.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-a52574ccfc,https://2150.vc/investments/metycle,https://www.2150.vc/investments/metycle,2150.vc,company_or_product,S2,domain-level provisional; claim-level review required,eco-43f17d8230,Metycle,research/built_environment_ecosystem_discovery_index.csv,built_environment_ecosystem_discovery_index.csv|full_corpus_source_inventory.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-df0555f2bd,https://2150.vc/investments/mission-zero-technologies,https://www.2150.vc/investments/mission-zero-technologies,2150.vc,company_or_product,S2,domain-level provisional; claim-level review required,eco-4f159854ac,Mission Zero Technologies,research/built_environment_ecosystem_discovery_index.csv,built_environment_ecosystem_discovery_index.csv|full_corpus_source_inventory.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-2239afa66a,https://2150.vc/investments/molg,https://www.2150.vc/investments/molg,2150.vc,company_or_product,S2,domain-level provisional; claim-level review required,eco-a4b620d5b7,Molg,research/built_environment_ecosystem_discovery_index.csv,built_environment_ecosystem_discovery_index.csv|full_corpus_source_inventory.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-f6d622e724,https://2150.vc/investments/nabr,https://www.2150.vc/investments/nabr,2150.vc,company_or_product,S2,domain-level provisional; claim-level review required,eco-7c5eb50b80|org-nabr-9ac18d4,Nabr,research/built_environment_ecosystem_discovery_index.csv|research/startup_core_additions.csv|research/startup_coverage_additions.csv,built_environment_ecosystem_discovery_index.csv|full_corpus_source_inventory.csv|startup_core_additions.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-145912f89d,https://2150.vc/investments/nature-metrics,https://www.2150.vc/investments/nature-metrics,2150.vc,company_or_product,S2,domain-level provisional; claim-level review required,eco-c97d0319e7,Nature Metrics,research/built_environment_ecosystem_discovery_index.csv,built_environment_ecosystem_discovery_index.csv|full_corpus_source_inventory.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-c017c23801,https://2150.vc/investments/nodes-links,https://www.2150.vc/investments/nodes-links,2150.vc,company_or_product,S2,domain-level provisional; claim-level review required,eco-27d71ddbc4,Nodes & Links,research/built_environment_ecosystem_discovery_index.csv,built_environment_ecosystem_discovery_index.csv|full_corpus_source_inventory.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-7b0671f08b,https://2150.vc/investments/normative,https://www.2150.vc/investments/normative,2150.vc,company_or_product,S2,domain-level provisional; claim-level review required,eco-8bd5fc5e9e,Normative,research/built_environment_ecosystem_discovery_index.csv,built_environment_ecosystem_discovery_index.csv|full_corpus_source_inventory.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-48260cb3b6,https://2150.vc/investments/opensolar,https://www.2150.vc/investments/opensolar,2150.vc,company_or_product,S2,domain-level provisional; claim-level review required,eco-da77cf3cc7|org-opensolar-375b039,OpenSolar,research/built_environment_ecosystem_discovery_index.csv|research/startup_core_additions.csv|research/startup_coverage_additions.csv,built_environment_ecosystem_discovery_index.csv|full_corpus_source_inventory.csv|startup_core_additions.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-b1f3540607,https://2150.vc/investments/photara,https://www.2150.vc/investments/photara,2150.vc,company_or_product,S2,domain-level provisional; claim-level review required,eco-03b9e5149d,Photara,research/built_environment_ecosystem_discovery_index.csv,built_environment_ecosystem_discovery_index.csv|full_corpus_source_inventory.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-a19001d852,https://2150.vc/investments/sitration,https://www.2150.vc/investments/sitration,2150.vc,company_or_product,S2,domain-level provisional; claim-level review required,eco-c728f13c68,SiTration,research/built_environment_ecosystem_discovery_index.csv,built_environment_ecosystem_discovery_index.csv|full_corpus_source_inventory.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-1b14f4bcff,https://2150.vc/investments/superlight,https://www.2150.vc/investments/superlight,2150.vc,company_or_product,S2,domain-level provisional; claim-level review required,eco-b2f530f15c,Superlight,research/built_environment_ecosystem_discovery_index.csv,built_environment_ecosystem_discovery_index.csv|full_corpus_source_inventory.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-bc0fa0337b,https://2150.vc/investments/urban-footprint,https://www.2150.vc/investments/urban-footprint,2150.vc,company_or_product,S2,domain-level provisional; claim-level review required,eco-3fa8ed1e18,Urban Footprint,research/built_environment_ecosystem_discovery_index.csv,built_environment_ecosystem_discovery_index.csv|full_corpus_source_inventory.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-b5afbdc5b7,https://2150.vc/investments/vammo,https://www.2150.vc/investments/vammo,2150.vc,company_or_product,S2,domain-level provisional; claim-level review required,eco-4d1fd9023f,Vammo,research/built_environment_ecosystem_discovery_index.csv,built_environment_ecosystem_discovery_index.csv|full_corpus_source_inventory.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-50cf805cd1,https://2150.vc/wp-content/uploads/2024/01/2150_Impact-report-2023_Master_2605.pdf,https://www.2150.vc/wp-content/uploads/2024/01/2150_Impact-report-2023_Master_2605.pdf,2150.vc,company_or_product,S2,domain-level provisional; claim-level review required,org-nabr-9ac18d4,Nabr,research/startup_core_additions.csv|research/startup_coverage_additions.csv,full_corpus_source_inventory.csv|startup_core_additions.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-684646300b,https://31ventures.jp/en,https://www.31ventures.jp/en/,31ventures.jp,company_or_product,S2,domain-level provisional; claim-level review required,org-31ventures-1867c79,31VENTURES,research/global_real_estate_pioneers_agent.csv,full_corpus_source_inventory.csv|global_real_estate_pioneers_agent.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-338bd63e3f,https://31ventures.jp/en/about,https://www.31ventures.jp/en/about/,31ventures.jp,company_or_product,S2,domain-level provisional; claim-level review required,org-31ventures-1867c79,31VENTURES,research/global_real_estate_pioneers.md|research/global_real_estate_pioneers_agent.csv,full_corpus_source_inventory.csv|global_real_estate_pioneers_agent.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-5306c19cea,https://31ventures.jp/en/case,https://www.31ventures.jp/en/case/,31ventures.jp,company_or_product,S2,domain-level provisional; claim-level review required,org-31ventures-1867c79,31VENTURES,research/global_real_estate_pioneers.md|research/global_real_estate_pioneers_agent.csv,full_corpus_source_inventory.csv|global_real_estate_pioneers_agent.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-a11eb07bd4,https://31ventures.jp/en/fund,https://www.31ventures.jp/en/fund/,31ventures.jp,company_or_product,S2,domain-level provisional; claim-level review required,org-31ventures-1867c79,31VENTURES,research/global_real_estate_pioneers.md|research/global_real_estate_pioneers_agent.csv,full_corpus_source_inventory.csv|global_real_estate_pioneers_agent.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-746c767266,https://3vinfrastructure.com/,https://www.3vinfrastructure.com/,3vinfrastructure.com,company_or_product,S2,domain-level provisional; claim-level review required,eco-5403b07211,3V Infrastructure,research/built_environment_ecosystem_discovery_index.csv,built_environment_ecosystem_discovery_index.csv|full_corpus_source_inventory.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-9b75918c0a,https://99.co/,https://www.99.co/,99.co,company_or_product,S2,domain-level provisional; claim-level review required,org-99-group-12db5df,99-Group,research/regional_companies_agent.csv,full_corpus_source_inventory.csv|regional_companies_agent.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-9a90ba15b4,https://99.co/about-us,https://www.99.co/about-us,99.co,company_or_product,S2,domain-level provisional; claim-level review required,org-99-group-12db5df,99-Group,research/regional_companies_agent.csv|research/regional_proptech_landscape.md,full_corpus_source_inventory.csv|regional_companies_agent.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-edd1622d85,https://99.co/about-us)**,https://www.99.co/about-us)**,99.co,company_or_product,S2,domain-level provisional; claim-level review required,,,JCX_Global_PropTech_Intelligence_Atlas_2026-08-30.md,full_corpus_source_inventory.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-dd0704595b,https://99.co/about-us/indonesia,https://www.99.co/about-us/indonesia,99.co,company_or_product,S2,domain-level provisional; claim-level review required,org-99-group-12db5df,99-Group,research/regional_companies_agent.csv|research/regional_proptech_landscape.md,full_corpus_source_inventory.csv|regional_companies_agent.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-c48aea24a6,https://99.co/singapore/insider/wp-content/uploads/2024/12/singapore-property-market-review-2024-25-1.pdf,https://www.99.co/singapore/insider/wp-content/uploads/2024/12/singapore-property-market-review-2024-25-1.pdf,99.co,company_or_product,S2,domain-level provisional; claim-level review required,,,research/regional_proptech_landscape.md,full_corpus_source_inventory.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-64dd9efbd6,https://abodu.com/,https://www.abodu.com/,abodu.com,company_or_product,S2,domain-level provisional; claim-level review required,eco-54454dbacc,Abodu,research/built_environment_ecosystem_discovery_index.csv,built_environment_ecosystem_discovery_index.csv|full_corpus_source_inventory.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-a83e215a08,https://abs2025.asia.berlin/opportunities/UGFydGljaXBhdGlvbjE5Nzk0MA%3D%3D,https://abs2025.asia.berlin/opportunities/UGFydGljaXBhdGlvbjE5Nzk0MA%3D%3D,abs2025.asia.berlin,company_or_product,S2,domain-level provisional; claim-level review required,,,research/regional_proptech_landscape.md,full_corpus_source_inventory.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-22bbcedc0d,https://accel.com/companies/powerplay,https://www.accel.com/companies/powerplay,accel.com,company_or_product,S2,domain-level provisional; claim-level review required,org-powerplay-ca9649a,Powerplay,research/regional_companies_agent.csv|research/regional_proptech_landscape.md,full_corpus_source_inventory.csv|regional_companies_agent.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-c0d8817881,https://accel.com/companies/powerplay)**,https://www.accel.com/companies/powerplay)**,accel.com,company_or_product,S2,domain-level provisional; claim-level review required,,,JCX_Global_PropTech_Intelligence_Atlas_2026-08-30.md,full_corpus_source_inventory.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-57e157c1d8,https://acelabusa.com/,https://acelabusa.com/,acelabusa.com,company_or_product,S2,domain-level provisional; claim-level review required,eco-11536c465c,Acelab,research/built_environment_ecosystem_discovery_index.csv,built_environment_ecosystem_discovery_index.csv|full_corpus_source_inventory.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-cd2478dd16,https://aclaimant.com/,https://www.aclaimant.com/,aclaimant.com,company_or_product,S2,domain-level provisional; claim-level review required,eco-9a590ec14d,Aclaimant,research/built_environment_ecosystem_discovery_index.csv,built_environment_ecosystem_discovery_index.csv|full_corpus_source_inventory.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-1b346039e6,https://acornfinance.com/,https://www.acornfinance.com/,acornfinance.com,company_or_product,S2,domain-level provisional; claim-level review required,eco-0c470ee71c|eco-de92543267,Acorn|Acornfinance,research/built_environment_ecosystem_discovery_index.csv,built_environment_ecosystem_discovery_index.csv|full_corpus_source_inventory.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-75caecc7f8,https://acres.com/,https://www.acres.com/,acres.com,company_or_product,S2,domain-level provisional; claim-level review required,eco-2532b1c049,Acres,research/built_environment_ecosystem_discovery_index.csv|research/startup_coverage_additions.csv,built_environment_ecosystem_discovery_index.csv|full_corpus_source_inventory.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-9acfb96434,https://acreto.io/,https://acreto.io/,acreto.io,company_or_product,S2,domain-level provisional; claim-level review required,eco-6f18270737,Acreto,research/built_environment_ecosystem_discovery_index.csv,built_environment_ecosystem_discovery_index.csv|full_corpus_source_inventory.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-d7e247cbb1,https://actionfigure.ai/,https://actionfigure.ai/,actionfigure.ai,company_or_product,S2,domain-level provisional; claim-level review required,eco-0aeca78f39,Actionfigure,research/built_environment_ecosystem_discovery_index.csv,built_environment_ecosystem_discovery_index.csv|full_corpus_source_inventory.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-8536237af0,https://actuate.ai/,https://actuate.ai/,actuate.ai,company_or_product,S2,domain-level provisional; claim-level review required,eco-0b6a66eca0,Actuate,research/built_environment_ecosystem_discovery_index.csv,built_environment_ecosystem_discovery_index.csv|full_corpus_source_inventory.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-e804e1f88c,https://adaptis.ai/,https://www.adaptis.ai/,adaptis.ai,company_or_product,S2,domain-level provisional; claim-level review required,eco-5f09454cea,Adaptis,research/built_environment_ecosystem_discovery_index.csv,built_environment_ecosystem_discovery_index.csv|full_corpus_source_inventory.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-d1636cea76,https://advancednavigation.com/,https://www.advancednavigation.com/,advancednavigation.com,company_or_product,S2,domain-level provisional; claim-level review required,eco-4459b95535,Advanced Navigation,research/built_environment_ecosystem_discovery_index.csv,built_environment_ecosystem_discovery_index.csv|full_corpus_source_inventory.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-23dbdfe072,https://advocate.app/,https://www.advocate.app/,advocate.app,company_or_product,S2,domain-level provisional; claim-level review required,eco-38a72977b3,Advocate,research/built_environment_ecosystem_discovery_index.csv,built_environment_ecosystem_discovery_index.csv|full_corpus_source_inventory.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-a673608e77,https://aerwave.io/,https://aerwave.io/,aerwave.io,company_or_product,S2,domain-level provisional; claim-level review required,eco-c172fce9c9,Aerwave,research/built_environment_ecosystem_discovery_index.csv,built_environment_ecosystem_discovery_index.csv|full_corpus_source_inventory.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-2f475b47e7,https://afterlifeag.com/,https://www.afterlifeag.com/,afterlifeag.com,company_or_product,S2,domain-level provisional; claim-level review required,eco-5831e1e2dd,AfterLife Ag,research/built_environment_ecosystem_discovery_index.csv,built_environment_ecosystem_discovery_index.csv|full_corpus_source_inventory.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-0efb057807,https://ai.realestate/,https://ai.realestate/,ai.realestate,company_or_product,S2,domain-level provisional; claim-level review required,eco-1d5092d29a|eco-d107ff4bc1,AIRE,research/built_environment_ecosystem_discovery_index.csv,built_environment_ecosystem_discovery_index.csv|full_corpus_source_inventory.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-e4562c5150,http://airbnb.com/,http://www.airbnb.com/,airbnb.com,company_or_product,S2,domain-level provisional; claim-level review required,eco-44545c5903,Airbnb,research/built_environment_ecosystem_discovery_index.csv,built_environment_ecosystem_discovery_index.csv|full_corpus_source_inventory.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-5b7e72acdd,https://airmo.io/,https://www.airmo.io/,airmo.io,company_or_product,S2,domain-level provisional; claim-level review required,eco-ed5227f57c,Airmo,research/built_environment_ecosystem_discovery_index.csv,built_environment_ecosystem_discovery_index.csv|full_corpus_source_inventory.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-63a0ba9a35,https://airsidemobile.com/,https://airsidemobile.com/,airsidemobile.com,company_or_product,S2,domain-level provisional; claim-level review required,eco-a26401fc71,Airside,research/built_environment_ecosystem_discovery_index.csv,built_environment_ecosystem_discovery_index.csv|full_corpus_source_inventory.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-261202af58,http://airworks.io/,http://airworks.io,airworks.io,company_or_product,S2,domain-level provisional; claim-level review required,eco-a19818c203,Airworks,research/built_environment_ecosystem_discovery_index.csv,built_environment_ecosystem_discovery_index.csv|full_corpus_source_inventory.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-4e3273674b,https://alchemistaccelerator.com/portfolio,https://www.alchemistaccelerator.com/portfolio,alchemistaccelerator.com,company_or_product,S2,domain-level provisional; claim-level review required,,,research/final_coverage_assurance.md|research/startup_coverage_final_audit.md,full_corpus_source_inventory.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-7fa8a77bd8,https://alchemistaccelerator.com/portfolio-2,https://www.alchemistaccelerator.com/portfolio-2,alchemistaccelerator.com,company_or_product,S2,domain-level provisional; claim-level review required,org-alchemist-built-world-adjacent-portfolio-c108545,Alchemist built-world adjacent portfolio,JCX_Global_PropTech_Intelligence_Atlas_2026-08-30.md|research/proptech_startup_universe.md|research/proptech_startups_agent.csv,full_corpus_source_inventory.csv|proptech_startups_agent.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-01935fb417,https://alchemistaccelerator.com/portfolio-2?pno=5,https://www.alchemistaccelerator.com/portfolio-2?pno=5,alchemistaccelerator.com,company_or_product,S2,domain-level provisional; claim-level review required,,,research/startup_coverage_additions.csv,full_corpus_source_inventory.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-1a515ee196,https://alchemistaccelerator.com/programs,https://www.alchemistaccelerator.com/programs,alchemistaccelerator.com,company_or_product,S2,domain-level provisional; claim-level review required,,,research/final_coverage_assurance.md|research/startup_coverage_additions.csv,full_corpus_source_inventory.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-00c10a6bae,https://aldar.com/,https://www.aldar.com/,aldar.com,company_or_product,S2,domain-level provisional; claim-level review required,org-aldar-properties-4218e8b,Aldar Properties,research/global_real_estate_pioneers_agent.csv,full_corpus_source_inventory.csv|global_real_estate_pioneers_agent.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-31aea88f76,https://aldar.com/aldar-report2024/documents/ENG-Aldar-Annual-Report-2024-Governance.pdf,https://www.aldar.com/aldar-report2024/documents/ENG-Aldar-Annual-Report-2024-Governance.pdf,aldar.com,company_or_product,S2,domain-level provisional; claim-level review required,,,research/global_real_estate_pioneers.md,full_corpus_source_inventory.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-78ad14432a,https://aldar.com/aldar-report2024/documents/aldar-annual-report-2024_compressed-1.pdf,https://www.aldar.com/aldar-report2024/documents/aldar-annual-report-2024_compressed-1.pdf,aldar.com,company_or_product,S2,domain-level provisional; claim-level review required,org-aldar-properties-4218e8b,Aldar Properties,JCX_Global_PropTech_Intelligence_Atlas_2026-08-30.md|research/global_real_estate_pioneers.md|research/global_real_estate_pioneers_agent.csv,full_corpus_source_inventory.csv|global_real_estate_pioneers_agent.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
