relationship_id,subject_entity_id,subject_name,relationship_type,object_name,object_entity_id,relationship_status,source_urls_json,verified_or_retrieved_at,source_dataset,editorial_note
rel-a76c86412074,org-sell-do-33b7307,Sell-Do,member_of_or_discovered_via,Aurum-PropTech-Accel,,reported_or_directory_observed,"[""https://sell.do/"",""https://sell.do/about"",""https://sell.do/solutions/developers""]",2026-08-30,regional_companies_agent.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-0e45366a0d26,org-brkz-3da166c,BRKZ,member_of_or_discovered_via,Beco-9900-Waed,,reported_or_directory_observed,"[""https://brkz.com/en"",""https://globenewswire.com/news-release/2025/02/10/3023492/0/en/BRKZ-closes-17M-Series-A-to-transform-construction-procurement-as-Saudi-Arabia-s-3T-project-pipeline-accelerates.html"",""https://wamda.com/en/2024/03/brkz-secures-8-million-series-round""]",2026-08-30,regional_companies_agent.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-c6e77e6e4806,org-buildingconnected-001c81a,BuildingConnected,member_of_or_discovered_via,Brick & Mortar,,reported_or_directory_observed,"[""https://brickmortar.vc/portfolio"",""https://construction.autodesk.com/products/buildingconnected""]",2026-08-30,proptech_startups_agent.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-cc3d6a72e007,org-fieldwire-4bfc09b,Fieldwire,member_of_or_discovered_via,Brick & Mortar,,reported_or_directory_observed,"[""https://brickmortar.vc/portfolio"",""https://fieldwire.com/""]",2026-08-30,proptech_startups_agent.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-0ab870f7f255,org-plangrid-378edb8,PlanGrid,member_of_or_discovered_via,Brick & Mortar,,reported_or_directory_observed,"[""https://brickmortar.vc/portfolio"",""https://plangrid.com/""]",2026-08-30,proptech_startups_agent.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-9092af765737,org-alice-technologies-3d2a5de,ALICE Technologies,member_of_or_discovered_via,Brick & Mortar Ventures,,reported_or_directory_observed,"[""https://alicetechnologies.com/"",""https://alicetechnologies.com/construction-optioneering"",""https://brickmortar.vc/portfolio"",""https://spark.jllt.com/portfolio""]",2026-08-30,final_residual_additions.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-7a067389581b,org-brick-and-mortar-ventures-portfolio-8dcb652,Brick & Mortar Ventures portfolio,member_of_or_discovered_via,Brick & Mortar Ventures,,reported_or_directory_observed,"[""https://brickmortar.vc/portfolio""]",2026-08-30,proptech_startups_agent.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-2130df281ecd,org-buildmart-a61bcf7,BuildMart,member_of_or_discovered_via,Buildcon-Bangladesh,,reported_or_directory_observed,"[""https://buildmart.com.bd/"",""https://buildmart.com.bd/pages/about-us""]",2026-08-30,regional_companies_agent.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-88d8ddad4a6c,org-cupix-384c862,Cupix,member_of_or_discovered_via,BuiltWorlds Building Tech Top 50 2025,,reported_or_directory_observed,"[""https://builtworlds.com/insights/2025-building-tech-top-50-list"",""https://cupix.com/""]",2026-08-30,startup_core_additions.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-2faad969787b,org-dronedeploy-51fed53,DroneDeploy,member_of_or_discovered_via,BuiltWorlds Building Tech Top 50 2025,,reported_or_directory_observed,"[""https://builtworlds.com/insights/2025-building-tech-top-50-list"",""https://dronedeploy.com/""]",2026-08-30,startup_core_additions.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-6b4d8b4a1492,org-one-click-lca-def3638,One Click LCA,member_of_or_discovered_via,BuiltWorlds Building Tech Top 50 2025,,reported_or_directory_observed,"[""https://builtworlds.com/insights/2025-building-tech-top-50-list"",""https://oneclicklca.com/en-gb""]",2026-08-30,startup_core_additions.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-3046f82024ec,org-revizto-b3261af,Revizto,member_of_or_discovered_via,BuiltWorlds Building Tech Top 50 2025,,reported_or_directory_observed,"[""https://builtworlds.com/insights/2025-building-tech-top-50-list"",""https://revizto.com/""]",2026-08-30,startup_core_additions.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-e3c3dbcf57d4,org-civils-ai-9dff211,Civils.ai,member_of_or_discovered_via,CEMEX Ventures Construction Startup Competition 2026 APAC finalists,,reported_or_directory_observed,"[""https://cemexventures.com/startup-competition-2026-apac-finalists"",""https://civils.ai/"",""https://civils.ai/about""]",2026-08-30,startup_core_additions.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-b9574b54b342,org-concreteai-886747c,ConcreteAI,member_of_or_discovered_via,CEMEX Ventures Construction Startup Competition 2026 APAC finalists,,reported_or_directory_observed,"[""https://cemexventures.com/startup-competition-2026-apac-finalists"",""https://concreteai.io/"",""https://concreteai.io/about_us""]",2026-08-30,startup_core_additions.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-981751ca643e,org-teleo-0fd6b99,Teleo,member_of_or_discovered_via,CEMEX Ventures Construction Startup Competition Top 50 2025,,reported_or_directory_observed,"[""https://cemexventures.com/top-50-2025"",""https://teleo.ai/"",""https://teleo.ai/technology""]",2026-08-30,startup_core_additions.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-ee1f0310191c,org-trunk-tools-844cca9,Trunk Tools,member_of_or_discovered_via,CEMEX Ventures Construction Startup Competition Top 50 2025,,reported_or_directory_observed,"[""https://cemexventures.com/top-50-2025"",""https://trunktools.com/""]",2026-08-30,startup_core_additions.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-692bb75889d9,org-smartpm-technologies-b7ceac3,SmartPM Technologies,member_of_or_discovered_via,CEMEX Ventures Top 50 ConTech 2026,,reported_or_directory_observed,"[""https://cemexventures.com/top-50"",""https://smartpm.com/"",""https://smartpm.com/about""]",2026-08-30,final_residual_additions.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-123408a43b8b,org-togal-ai-d6d6a17,Togal.AI,member_of_or_discovered_via,CEMEX Ventures Top 50 ConTech 2026,,reported_or_directory_observed,"[""https://cemexventures.com/top-50"",""https://cemexventures.com/top-50-startups/togal-ai"",""https://togal.ai/""]",2026-08-30,final_residual_additions.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-0e3d31fe20cd,org-matterport-6ed468a,Matterport,member_of_or_discovered_via,CoStar,,reported_or_directory_observed,"[""https://costargroup.com/"",""https://matterport.com/""]",2026-08-30,proptech_startups_agent.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-8cefca6dc311,org-smartcrowd-51aef62,SmartCrowd,member_of_or_discovered_via,DFSA-DIFC-DLD,,reported_or_directory_observed,"[""https://help-center.smartcrowd.ae/en/articles/7122055-how-are-investments-structured-at-smartcrowd"",""https://smartcrowd.ae/""]",2026-08-30,regional_companies_agent.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-6cefd6656fb0,org-prypco-be97735,PRYPCO,member_of_or_discovered_via,DLD-tokenization-initiative,,reported_or_directory_observed,"[""https://dubailand.gov.ae/en/news-media/dubai-land-department-achieves-world-first-with-instant-sell-out-of-tokenized-real-estate"",""https://help.prypco.com/en/articles/13740985-what-is-prypco"",""https://prypco.com/""]",2026-08-30,regional_companies_agent.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-0996e3be6708,org-99-group-12db5df,99-Group,member_of_or_discovered_via,East-Ventures-Sequoia-Gaw,,reported_or_directory_observed,"[""https://99.co/"",""https://99.co/about-us"",""https://99.co/about-us/indonesia""]",2026-08-30,regional_companies_agent.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-eeb29bb2303a,org-bproperty-79a37ab,Bproperty,member_of_or_discovered_via,EMPG-DCG-history,,reported_or_directory_observed,"[""https://bproperty.com/"",""https://bproperty.com/about-us"",""https://bproperty.com/terms-of-use"",""https://bssnews.net/business/107809""]",2026-08-30,regional_companies_agent.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-046b5158ba3c,org-autodesk-construction-cloud-1c9b0c9,Autodesk Construction Cloud / Forma,member_of_or_discovered_via,Enterprise,,reported_or_directory_observed,"[""https://construction.autodesk.com/"",""https://construction.autodesk.com/resources/customer-success-stories/boustead-projects-cuts-rework-by-20-and-saves-months-on-handovers-with-autodesk-forma-2""]",2026-08-30,proptech_startups_agent.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-675a4590f574,org-salesforce-real-estate-cloud-7d7e68a,Salesforce Real Estate Cloud,member_of_or_discovered_via,Enterprise,,reported_or_directory_observed,"[""https://salesforce.com/real-estate""]",2026-08-30,proptech_startups_agent.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-aa296d2e0e31,org-aurora-solar-62db3f0,Aurora Solar,member_of_or_discovered_via,Fifth Wall,,reported_or_directory_observed,"[""https://aurorasolar.com/"",""https://fifthwall.com/portfolio""]",2026-08-30,proptech_startups_agent.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-7e0999dd8b53,org-blend-f9b1cd1,Blend,member_of_or_discovered_via,Fifth Wall,,reported_or_directory_observed,"[""https://blend.com/"",""https://fifthwall.com/portfolio""]",2026-08-30,proptech_startups_agent.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-5b390b46c1ec,org-brimstone-75851e3,Brimstone,member_of_or_discovered_via,Fifth Wall,,reported_or_directory_observed,"[""https://brimstoneenergy.com/"",""https://fifthwall.com/portfolio""]",2026-08-30,proptech_startups_agent.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-611f70a282ca,org-built-technologies-83f4505,Built Technologies,member_of_or_discovered_via,Fifth Wall,,reported_or_directory_observed,"[""https://fifthwall.com/portfolio"",""https://getbuilt.com/""]",2026-08-30,proptech_startups_agent.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-71cb1d72b2bf,org-butterflymx-e90e3bb,ButterflyMX,member_of_or_discovered_via,Fifth Wall,,reported_or_directory_observed,"[""https://butterflymx.com/"",""https://fifthwall.com/portfolio""]",2026-08-30,proptech_startups_agent.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-81233c4bb064,org-fifth-wall-portfolio-17b20c3,Fifth Wall portfolio,member_of_or_discovered_via,Fifth Wall,,reported_or_directory_observed,"[""https://fifthwall.com/portfolio""]",2026-08-30,proptech_startups_agent.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-bf1f36fed8cb,org-hippo-663710b,Hippo,member_of_or_discovered_via,Fifth Wall,,reported_or_directory_observed,"[""https://fifthwall.com/portfolio"",""https://hippo.com/""]",2026-08-30,proptech_startups_agent.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-e96354701334,org-procore-9fbe212,Procore,member_of_or_discovered_via,Fifth Wall,,reported_or_directory_observed,"[""https://fifthwall.com/portfolio"",""https://procore.com/""]",2026-08-30,proptech_startups_agent.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-43339ad44ec7,org-smartrent-04f495b,SmartRent,member_of_or_discovered_via,Fifth Wall,,reported_or_directory_observed,"[""https://fifthwall.com/portfolio"",""https://smartrent.com/""]",2026-08-30,proptech_startups_agent.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-1fe25d702623,org-huspy-288c347,Huspy,member_of_or_discovered_via,Fifth-Wall-Peak-XV-Balderton,,reported_or_directory_observed,"[""https://huspy.com/ae"",""https://huspy.com/ae/blog/balderton-huspy"",""https://huspy.com/blog/huspy-series-a""]",2026-08-30,regional_companies_agent.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-239cb0d1222b,org-brick-and-bolt-4809c48,Brick & Bolt,member_of_or_discovered_via,Foundamental,,reported_or_directory_observed,"[""https://bricknbolt.com/"",""https://bricknbolt.com/commercial-construction-company"",""https://foundamental.com/portfolio""]",2026-08-30,final_residual_additions.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-cfc2de7be6c1,org-speckle-199e3b6,Speckle,member_of_or_discovered_via,Foundamental,,reported_or_directory_observed,"[""https://docs.speckle.systems/quickstart/welcome"",""https://foundamental.com/portfolio"",""https://speckle.systems/""]",2026-08-30,startup_core_additions.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-40a6d91f4223,org-housmart-propocloud-a0ab301,Housmart-PropoCloud,member_of_or_discovered_via,GA-acquisition-2024,,reported_or_directory_observed,"[""https://edinetdb.jp/company/E34177/text?fy=2024"",""https://j-vgi.co.jp/en/news/housmart211008""]",2026-08-30,regional_companies_agent.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-93161b8201cd,org-honeywell-forge-for-buildings-900b78b,Honeywell Forge for Buildings,member_of_or_discovered_via,Honeywell,,reported_or_directory_observed,"[""https://buildings.honeywell.com/us/en/solutions/automation-solutions/sustainability/connected-solutions"",""https://buildings.honeywell.com/us/en/solutions/buildings"",""https://honeywell.com/us/en/honeywell-forge""]",2026-08-30,enterprise_platform_additions.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-ad185b2c375b,org-bpc-2d7019e,BPC,member_of_or_discovered_via,identity-unresolved,,reported_or_directory_observed,"[""https://wikipedia.org/wiki/BPC""]",2026-08-30,regional_companies_agent.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-2feca8b3571b,org-infra-market-b3a2104,Infra-Market,member_of_or_discovered_via,Indian-construction-scaleup,,reported_or_directory_observed,"[""https://infra-prod.gumlet.io/ivas/PROD/06-05-2025/1746534342377_IVAS_DezineMandapam.pdf"",""https://infra.market/"",""https://infra.market/about-us""]",2026-08-30,regional_companies_agent.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-a7680830db7a,org-nobroker-efe14d3,NoBroker,member_of_or_discovered_via,Indian-proptech-scaleup,,reported_or_directory_observed,"[""https://assets.nobroker.in/static/img/press/nb_in_chennai.pdf"",""https://nobroker.in/"",""https://nobroker.in/forum/wp-content/uploads/2026/01/NoBroker_Realestate_Report_2025_compressed.pdf""]",2026-08-30,regional_companies_agent.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-090d526dacc0,org-landeed-505b2d4,Landeed,member_of_or_discovered_via,Indian-proptech-venture,,reported_or_directory_observed,"[""https://landeed.com/"",""https://landeed.com/about""]",2026-08-30,regional_companies_agent.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-7d2410b6204c,org-barikoi-0f8853c,Barikoi,member_of_or_discovered_via,Iterative-IDLC-AcceliCITY,,reported_or_directory_observed,"[""https://barikoi.com/"",""https://crunchbase.com/organization/barikoi"",""https://linkedin.com/posts/idlc-asset-management-limited_idlc-venture-capitalhas-made-an-equity-investment-activity-7196948544384098304-EgcV""]",2026-08-30,regional_companies_agent.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-d81487959cca,org-alice-technologies-3d2a5de,ALICE Technologies,member_of_or_discovered_via,JLL Spark,,reported_or_directory_observed,"[""https://alicetechnologies.com/"",""https://alicetechnologies.com/construction-optioneering"",""https://brickmortar.vc/portfolio"",""https://spark.jllt.com/portfolio""]",2026-08-30,final_residual_additions.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-aaa6daf83cc6,org-turntide-35dea2f,Turntide,member_of_or_discovered_via,JLL Spark/Fifth Wall,,reported_or_directory_observed,"[""https://spark.jllt.com/"",""https://turntide.com/""]",2026-08-30,proptech_startups_agent.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-d430c46510f7,org-johnson-controls-openblue-d609fb9,Johnson Controls OpenBlue,member_of_or_discovered_via,Johnson Controls,,reported_or_directory_observed,"[""https://johnsoncontrols.com/media-center/news/press-releases/2026/08/04/johnson-controls-unveils-ai-powered-openblue-platform-expansions"",""https://openblue.johnsoncontrols.com/"",""https://openblue.johnsoncontrols.com/openblue-intelligence""]",2026-08-30,enterprise_platform_additions.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-111a5864045f,org-unova-estate-7be6c79,Unova-Estate,member_of_or_discovered_via,local-AI-vendor,,reported_or_directory_observed,"[""https://estate.unova.bd/"",""https://estate.unova.bd/solutions/erp-for-real-estate-developers""]",2026-08-30,regional_companies_agent.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-de0a079870ad,org-nirmanbazaar-a26f78c,NirmanBazaar,member_of_or_discovered_via,local-early-stage,,reported_or_directory_observed,"[""https://info-vendor.nirmanbazaar.com/"",""https://nirmanbazaar.com.bd/""]",2026-08-30,regional_companies_agent.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-d8933c220eb9,org-propertyland-b1fe12b,PropertyLand,member_of_or_discovered_via,local-early-stage,,reported_or_directory_observed,"[""https://propertyland.co/"",""https://propertyland.co/footer/about""]",2026-08-30,regional_companies_agent.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-607fd7e9f13f,org-proq-cf33256,ProQ,member_of_or_discovered_via,local-early-stage,,reported_or_directory_observed,"[""https://linkedin.com/company/proq-platform"",""https://proq.com.bd/""]",2026-08-30,regional_companies_agent.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-df0c437253f2,org-sharebari-9a44fdf,ShareBari,member_of_or_discovered_via,local-early-stage,,reported_or_directory_observed,"[""https://sharebari.com/""]",2026-08-30,regional_companies_agent.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-0c21ebd5d2a3,org-e-hishabi-b51c1b7,E-Hishabi,member_of_or_discovered_via,local-ERP-vendor,,reported_or_directory_observed,"[""https://ehishabi.com/""]",2026-08-30,regional_companies_agent.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-b8aab021d9a5,org-jomee-jomaa-d8b40e9,Jomee-Jomaa,member_of_or_discovered_via,local-fintech-proptech,,reported_or_directory_observed,"[""https://jomeejomaa.com/"",""https://jomeejomaa.com/terms"",""https://thedailystar.net/tech-startup/news/fractional-land-investment-platform-jomee-jomaa-launched-3444451""]",2026-08-30,regional_companies_agent.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-3e229c139261,org-vextrus-988c4a5,Vextrus,member_of_or_discovered_via,local-KUET-founders,,reported_or_directory_observed,"[""https://bd.linkedin.com/company/vextrus"",""https://vextrus.com/""]",2026-08-30,regional_companies_agent.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-6f574ecee604,org-truzo-5012b1e,Truzo,member_of_or_discovered_via,local-pilot,,reported_or_directory_observed,"[""https://truzo.app/""]",2026-08-30,regional_companies_agent.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-be2cb0f3eda6,org-mahindra-lifespaces-55a7354,Mahindra Lifespaces,member_of_or_discovered_via,Mahindra Group,,reported_or_directory_observed,"[""https://cms.mahindralifespaces.com/web/node/4161"",""https://mahindralifespaces.com/"",""https://mahindralifespaces.com/investor-center?category=annual-reports"",""https://mldlprodstorage.blob.core.windows.net/live/2025/07/269865_MLDL_AR_2025_Final.pdf""]",2026-08-30,operator_coverage_additions.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-a566b77823ec,org-metaprop-portfolio-bda9b60,MetaProp portfolio,member_of_or_discovered_via,MetaProp,,reported_or_directory_observed,"[""https://metaprop.com/"",""https://metaprop.com/portfolio""]",2026-08-30,proptech_startups_agent.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-67f9260558e2,org-estate-intel-539a151,Estate Intel,member_of_or_discovered_via,MetaProp/Independent,,reported_or_directory_observed,"[""https://estateintel.com/"",""https://estateintel.com/insights/this-is-ei-pro-more-affordable-access-to-real-estate-data""]",2026-08-30,coverage_gap_additions.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-14dea32d7754,org-asano-7c359e8,Asano,member_of_or_discovered_via,NAR REACH Middle East 2026,,reported_or_directory_observed,"[""https://nar-reach.com/news""]",2026-08-30,proptech_startups_agent.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-019b4cd3a25d,org-holox-0928a35,HoloX,member_of_or_discovered_via,NAR REACH Middle East 2026,,reported_or_directory_observed,"[""https://nar-reach.com/news""]",2026-08-30,proptech_startups_agent.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-f238dc12d1c7,org-rewa-f6d2379,Rewa,member_of_or_discovered_via,NAR REACH Middle East 2026,,reported_or_directory_observed,"[""https://nar-reach.com/news""]",2026-08-30,proptech_startups_agent.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-e19105246837,org-takeem-1d723c2,Takeem,member_of_or_discovered_via,NAR REACH Middle East 2026,,reported_or_directory_observed,"[""https://nar-reach.com/news""]",2026-08-30,proptech_startups_agent.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-9d2f92a8bb81,org-watad-43c1925,Watad,member_of_or_discovered_via,NAR REACH Middle East 2026,,reported_or_directory_observed,"[""https://nar-reach.com/news""]",2026-08-30,proptech_startups_agent.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-292e7891b2e5,org-ai-realestate-d2e60f1,Ai.realestate,member_of_or_discovered_via,NAR REACH US Residential 2026,,reported_or_directory_observed,"[""https://nar-reach.com/second-century-ventures-announces-6-technology-companies-for-2026-reach-scale-up-program""]",2026-08-30,proptech_startups_agent.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-d224c433e3d9,org-association-online-7880320,Association Online,member_of_or_discovered_via,NAR REACH US Residential 2026,,reported_or_directory_observed,"[""https://nar-reach.com/second-century-ventures-announces-6-technology-companies-for-2026-reach-scale-up-program""]",2026-08-30,proptech_startups_agent.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-135a75a8b4e4,org-brokerbot-ae596f6,BrokerBot,member_of_or_discovered_via,NAR REACH US Residential 2026,,reported_or_directory_observed,"[""https://nar-reach.com/second-century-ventures-announces-6-technology-companies-for-2026-reach-scale-up-program""]",2026-08-30,proptech_startups_agent.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-8f9b3b5c9ad0,org-lotroll-83be313,LotRoll,member_of_or_discovered_via,NAR REACH US Residential 2026,,reported_or_directory_observed,"[""https://nar-reach.com/second-century-ventures-announces-6-technology-companies-for-2026-reach-scale-up-program""]",2026-08-30,proptech_startups_agent.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-da5d61f0e299,org-maxhome-ai-e6888c9,MaxHome.ai,member_of_or_discovered_via,NAR REACH US Residential 2026,,reported_or_directory_observed,"[""https://nar-reach.com/second-century-ventures-announces-6-technology-companies-for-2026-reach-scale-up-program""]",2026-08-30,proptech_startups_agent.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-c642c16fcddd,org-stackwrap-dab4401,StackWrap,member_of_or_discovered_via,NAR REACH US Residential 2026,,reported_or_directory_observed,"[""https://nar-reach.com/second-century-ventures-announces-6-technology-companies-for-2026-reach-scale-up-program""]",2026-08-30,proptech_startups_agent.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-e706ee4e5a1b,org-nar-reach-portfolio-068d892,NAR REACH portfolio,member_of_or_discovered_via,NAR/Second Century Ventures,,reported_or_directory_observed,"[""https://nar-reach.com/""]",2026-08-30,proptech_startups_agent.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-043da728d1b3,org-property24-3a2a0bf,Property24,member_of_or_discovered_via,Naspers,,reported_or_directory_observed,"[""https://property24.com/about-us""]",2026-08-30,coverage_gap_additions.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-5ac071df8d59,org-aurum-proptech-3c687dc,Aurum-PropTech,member_of_or_discovered_via,NSE-BSE-Aurum-ecosystem,,reported_or_directory_observed,"[""https://aurumproptech.in/"",""https://aurumproptech.in/about""]",2026-08-30,regional_companies_agent.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-87f7e1559176,org-archistar-2a1bcac,Archistar,member_of_or_discovered_via,NSW-AI-Planning-panel-government-grant,,reported_or_directory_observed,"[""https://archistar.ai/"",""https://archistar.ai/for-property-developers-legacy"",""https://planning.nsw.gov.au/news/nsw-government-bringing-planning-21st-century""]",2026-08-30,regional_companies_agent.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-94a5ed9f2aa2,org-oracle-construction-and-engineering-7e92f1f,Oracle Construction & Engineering,member_of_or_discovered_via,Oracle,,reported_or_directory_observed,"[""https://docs.oracle.com/en/industries/construction-engineering"",""https://oracle.com/construction-engineering/aconex"",""https://oracle.com/construction-engineering/textura-construction-payment-management""]",2026-08-30,enterprise_platform_additions.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
