discovery_id,display_name,name_variants_json,record_type_signals_json,qualified_entity_ids_json,evidence_stage,discovery_only,source_layers_json,source_layer_count,domains_json,candidate_urls_json,profile_urls_json,yc_company_ids_json,yc_batches_json,yc_status_signals_json,ecosystems_json,ecosystem_count,ecosystem_source_row_ids_json,ecosystem_source_row_count,ecosystem_status_signals_json,category_signals_json,lifecycle_signals_json,jcx_tier_signals_json,region_signals_json,country_signals_json,location_signals_json,employee_count_signals_json,description_signals_json,source_urls_json,source_url_count,identity_resolution_methods_json,needs_identity_review,identity_notes_json,snapshot_date,publication_note
dsc-a7b75c4c3c2c,Aclaimant,"[""Aclaimant""]",[],[],discovery_only,true,"[""built_environment_ecosystem_discovery_index""]",1,"[""aclaimant.com""]","[""https://aclaimant.com/""]","[""https://moderneventures.com/portfolio/aclaimant""]",[],[],[],"[""Moderne Ventures / Passport""]",1,"[""eco-src-efe2d372c349""]",1,"[""Portfolio/Passport listing displayed""]","[""Passport""]",[],[],[],[],[],[],"[""Optimizing commercial insurance costs — Data-driven platform that streamlines incident reporting, controls the cost of claims and reduces administrative burden — Passport""]","[""https://aclaimant.com/"",""https://moderneventures.com/portfolio/aclaimant""]",2,"[""source_native_ecosystem_identity""]",false,[],2026-08-30,"Discovery presence is not operating, traction, outcome, security or JCX-fit evidence."
dsc-9dc912018a62,Acorn,"[""Acorn""]",[],[],discovery_only,true,"[""built_environment_ecosystem_discovery_index""]",1,"[""acornfinance.com""]","[""https://acornfinance.com/""]","[""https://moderneventures.com/portfolio/acorn""]",[],[],[],"[""Moderne Ventures / Passport""]",1,"[""eco-src-4b0618aea7da""]",1,"[""Portfolio/Passport listing displayed""]","[""Investment""]",[],[],[],[],[],[],"[""Embedded lending marketplace that enables businesses to offer seamless financing options for large scale projects ($50k+) to their customers at the point of sale — By integrating Acorn Finance's platform, enterprises can enhance customer satisfaction, increase sales conversions, and provide access to competitive loan offers from a network of trusted lenders, all without incurring additional costs — Investment""]","[""https://acornfinance.com/"",""https://moderneventures.com/portfolio/acorn""]",2,"[""source_native_ecosystem_identity""]",true,"[""Domain acornfinance.com is also used by Acornfinance; shared-domain relationship requires review.""]",2026-08-30,"Discovery presence is not operating, traction, outcome, security or JCX-fit evidence."
dsc-0ca1051aa0ce,Acornfinance,"[""Acornfinance""]",[],[],discovery_only,true,"[""built_environment_ecosystem_discovery_index""]",1,"[""acornfinance.com""]","[""https://acornfinance.com/""]","[""https://metaprop.com/portfolio""]",[],[],[],"[""MetaProp""]",1,"[""eco-src-03fe7ca8c2d1""]",1,"[""Active/portfolio""]",[],[],[],[],[],[],[],[],"[""https://acornfinance.com/"",""https://metaprop.com/portfolio""]",2,"[""source_native_ecosystem_identity""]",true,"[""Domain acornfinance.com is also used by ecosystem candidate 'Acorn'; identities were deliberately kept separate.""]",2026-08-30,"Discovery presence is not operating, traction, outcome, security or JCX-fit evidence."
dsc-f1ae045fcc2c,Acres,"[""Acres""]",[],[],discovery_only,true,"[""built_environment_ecosystem_discovery_index""]",1,"[""acres.com""]","[""https://acres.com/""]","[""https://moderneventures.com/portfolio/acres""]",[],[],[],"[""Moderne Ventures / Passport""]",1,"[""eco-src-bfc16fc2b242""]",1,"[""Portfolio/Passport listing displayed""]","[""Passport""]",[],[],[],[],[],[],"[""Comprehensive land intelligence for smarter investments, seamless expansion, and efficient transaction management — Complete land intelligence platform with 150M+ parcel records, 1,000+ mapped data layers, zoning, comps, infrastructure, and more. From rapid site selection to risk-ready reports, it’s the fastest way to evaluate, manage, and move on land opportunities. — Passport""]","[""https://acres.com/"",""https://moderneventures.com/portfolio/acres""]",2,"[""source_native_ecosystem_identity""]",false,[],2026-08-30,"Discovery presence is not operating, traction, outcome, security or JCX-fit evidence."
dsc-f29d4976e5b4,Acreto,"[""Acreto""]",[],[],discovery_only,true,"[""built_environment_ecosystem_discovery_index""]",1,"[""acreto.io""]","[""https://acreto.io/""]","[""https://moderneventures.com/portfolio/acreto""]",[],[],[],"[""Moderne Ventures / Passport""]",1,"[""eco-src-fae6b49db0d9""]",1,"[""Exited (displayed)""]","[""Passport""]",[],[],[],[],[],[],"[""Design + development of large-scale security and firewall platforms — Single and simple platform that connects and protects an organization's entire hybrid infrastructure from-the-cloud — Passport""]","[""https://acreto.io/"",""https://moderneventures.com/portfolio/acreto""]",2,"[""source_native_ecosystem_identity""]",false,[],2026-08-30,"Discovery presence is not operating, traction, outcome, security or JCX-fit evidence."
dsc-6ee06fe7248f,Actionfigure,"[""Actionfigure""]",[],[],discovery_only,true,"[""built_environment_ecosystem_discovery_index""]",1,"[""actionfigure.ai""]","[""https://actionfigure.ai/""]","[""https://moderneventures.com/portfolio/actionfigure""]",[],[],[],"[""Moderne Ventures / Passport""]",1,"[""eco-src-5f8851d3f945""]",1,"[""Portfolio/Passport listing displayed""]","[""Passport""]",[],[],[],[],[],[],"[""Transportation intelligence software — Empowers organizations and employees to make smarter, data-driven decisions to optimize travel strategies — Passport""]","[""https://actionfigure.ai/"",""https://moderneventures.com/portfolio/actionfigure""]",2,"[""source_native_ecosystem_identity""]",false,[],2026-08-30,"Discovery presence is not operating, traction, outcome, security or JCX-fit evidence."
dsc-7a9c8da6e1b6,ActivePipe,"[""ActivePipe""]",[],[],discovery_only,true,"[""built_environment_ecosystem_discovery_index""]",1,[],[],"[""https://nar-reach.com/""]",[],[],[],"[""NAR REACH / Second Century Ventures""]",1,"[""eco-src-8c477013841e""]",1,"[""Portfolio example""]",[],[],[],[],[],[],[],[],"[""https://nar-reach.com/""]",1,"[""source_native_ecosystem_identity""]",false,[],2026-08-30,"Discovery presence is not operating, traction, outcome, security or JCX-fit evidence."
dsc-33fd106a4fa3,Actuate,"[""Actuate""]",[],[],discovery_only,true,"[""built_environment_ecosystem_discovery_index""]",1,"[""actuate.ai""]","[""https://actuate.ai/""]","[""https://metaprop.com/portfolio""]",[],[],[],"[""MetaProp""]",1,"[""eco-src-5f9f18fc7744""]",1,"[""Active/portfolio""]",[],[],[],[],[],[],[],[],"[""https://actuate.ai/"",""https://metaprop.com/portfolio""]",2,"[""source_native_ecosystem_identity""]",false,[],2026-08-30,"Discovery presence is not operating, traction, outcome, security or JCX-fit evidence."
dsc-f25214a68e50,Adaptis,"[""Adaptis""]",[],[],discovery_only,true,"[""built_environment_ecosystem_discovery_index""]",1,"[""adaptis.ai""]","[""https://adaptis.ai/""]","[""https://metaprop.com/portfolio""]",[],[],[],"[""MetaProp""]",1,"[""eco-src-42936ce6be33""]",1,"[""Active/portfolio""]",[],[],[],[],[],[],[],[],"[""https://adaptis.ai/"",""https://metaprop.com/portfolio""]",2,"[""source_native_ecosystem_identity""]",false,[],2026-08-30,"Discovery presence is not operating, traction, outcome, security or JCX-fit evidence."
dsc-f9feef1259fd,Advanced Navigation,"[""Advanced Navigation""]",[],[],discovery_only,true,"[""built_environment_ecosystem_discovery_index""]",1,"[""advancednavigation.com""]","[""https://advancednavigation.com/""]","[""https://brickmortar.vc/portfolio""]",[],[],[],"[""Brick & Mortar Ventures""]",1,"[""eco-src-88c495e04d17""]",1,"[""Active investment""]",[],[],[],[],[],[],[],[],"[""https://advancednavigation.com/"",""https://brickmortar.vc/portfolio""]",2,"[""source_native_ecosystem_identity""]",false,[],2026-08-30,"Discovery presence is not operating, traction, outcome, security or JCX-fit evidence."
dsc-b9f4380cc622,Advocate,"[""Advocate""]",[],[],discovery_only,true,"[""built_environment_ecosystem_discovery_index""]",1,"[""advocate.app""]","[""https://advocate.app/""]","[""https://metaprop.com/portfolio""]",[],[],[],"[""MetaProp""]",1,"[""eco-src-ddc5cc69cfc2""]",1,"[""Active/portfolio""]",[],[],[],[],[],[],[],[],"[""https://advocate.app/"",""https://metaprop.com/portfolio""]",2,"[""source_native_ecosystem_identity""]",false,[],2026-08-30,"Discovery presence is not operating, traction, outcome, security or JCX-fit evidence."
dsc-6943fb1508af,Aecore,"[""Aecore""]",[],[],discovery_only,true,"[""yc_real_estate_construction_2026-08-30""]",1,[],[],"[""https://ycombinator.com/companies/industry/real-estate-and-construction"",""https://ycombinator.com/companies/x3-builders""]","[""1593""]","[""S2017""]","[""Active""]",[],0,[],0,[],"[""ConTech / construction operations""]","[""L4 Design/BIM; L5 Construction; L12 Data/intelligence""]","[""A""]",[],"[""US""]","[""San Francisco""]","[""6""]","[""Aecore is a technology-enabled commercial contractor focused on vertical integration and agile project delivery through automation. Our in-house design team, project managers and software engineers guide clients through the process from conceptual design to completion. We will ensure you are getting the best possible pricing by leveraging our network of contractors and material suppliers."",""Vertically integrated commercial construction""]","[""https://ycombinator.com/companies/industry/real-estate-and-construction"",""https://ycombinator.com/companies/x3-builders""]",2,"[""source_native_yc_identity""]",false,[],2026-08-30,"Discovery presence is not operating, traction, outcome, security or JCX-fit evidence."
dsc-e30d0e5344b2,Aeroseal,"[""Aeroseal""]",[],[],discovery_only,true,"[""built_environment_ecosystem_discovery_index""]",1,[],[],"[""https://2150.vc/investments/aeroseal""]",[],[],[],"[""2150""]",1,"[""eco-src-12884dd2d645""]",1,"[""Investment displayed; current status not inferred""]",[],[],[],"[""United States""]",[],[],[],"[""Aeroseal Aeroseal seals leaky HVAC and building envelopes with a chewing-gum-like material plus AI and IoT hardware that could cut 1.4% of global CO2 emissions.""]","[""https://2150.vc/investments/aeroseal""]",1,"[""source_native_ecosystem_identity""]",false,[],2026-08-30,"Discovery presence is not operating, traction, outcome, security or JCX-fit evidence."
dsc-233175e67a6d,Aerwave,"[""Aerwave""]",[],[],discovery_only,true,"[""built_environment_ecosystem_discovery_index""]",1,"[""aerwave.io""]","[""https://aerwave.io/""]","[""https://moderneventures.com/portfolio/aerwave""]",[],[],[],"[""Moderne Ventures / Passport""]",1,"[""eco-src-e4f4c83138a2""]",1,"[""Portfolio/Passport listing displayed""]","[""Investment""]",[],[],[],[],[],[],"[""Future-Proofing Connectivity — Managed Wi-fi platform for tomorrow's future, enabling owners and operators to digitize buildings, efficiently deploy IOT, provide better customer experience, increase NOI and increase Asset Value — Investment""]","[""https://aerwave.io/"",""https://moderneventures.com/portfolio/aerwave""]",2,"[""source_native_ecosystem_identity""]",false,[],2026-08-30,"Discovery presence is not operating, traction, outcome, security or JCX-fit evidence."
dsc-7dda2c47310e,AfterLife Ag,"[""AfterLife Ag""]",[],[],discovery_only,true,"[""built_environment_ecosystem_discovery_index""]",1,"[""afterlifeag.com""]","[""https://afterlifeag.com/""]","[""https://metaprop.com/portfolio""]",[],[],[],"[""MetaProp""]",1,"[""eco-src-85b772e5feef""]",1,"[""Active/portfolio""]",[],[],[],[],[],[],[],[],"[""https://afterlifeag.com/"",""https://metaprop.com/portfolio""]",2,"[""source_native_ecosystem_identity""]",false,[],2026-08-30,"Discovery presence is not operating, traction, outcome, security or JCX-fit evidence."
dsc-817f9d21d797,Agave,"[""Agave""]","[""organization""]","[""org-agave-d371575""]",qualified_core,false,"[""qualified_core""]",1,[],[],"[""https://ycombinator.com/companies/agave""]",[],[],[],[],0,[],0,[],"[""financial operations APIs and AI for construction""]","[""L3"",""L5""]","[""B""]",[],"[""United States""]",[],[],[],"[""https://ycombinator.com/companies/agave""]",1,"[""qualified_core_identity""]",false,[],2026-08-30,Qualified-core identity; individual claims still require editorial review.
dsc-f3afc6b8e98c,Ai.realestate,"[""Ai.realestate""]","[""organization""]","[""org-ai-realestate-d2e60f1""]",qualified_core,false,"[""qualified_core""]",1,[],[],"[""https://nar-reach.com/second-century-ventures-announces-6-technology-companies-for-2026-reach-scale-up-program""]",[],[],[],[],0,[],0,[],"[""Real-estate data intelligence""]","[""L12"",""L6""]","[""B""]",[],"[""United States""]",[],[],[],"[""https://nar-reach.com/second-century-ventures-announces-6-technology-companies-for-2026-reach-scale-up-program""]",1,"[""qualified_core_identity""]",false,[],2026-08-30,Qualified-core identity; individual claims still require editorial review.
dsc-61505190540a,Ailytics,"[""Ailytics""]",[],[],discovery_only,true,"[""built_environment_ecosystem_discovery_index""]",1,[],[],"[""https://cemexventures.com/top-50""]",[],[],[],"[""CEMEX Ventures Top 50 ConTech 2026""]",1,"[""eco-src-bbc8664e01a4""]",1,"[""Selected for 2026 Top 50""]","[""Enhanced productivity""]",[],[],[],[],[],[],"[""Enhanced productivity""]","[""https://cemexventures.com/top-50""]",1,"[""source_native_ecosystem_identity""]",false,[],2026-08-30,"Discovery presence is not operating, traction, outcome, security or JCX-fit evidence."
dsc-468e655e2d2e,Airbnb,"[""Airbnb""]",[],[],discovery_only,true,"[""built_environment_ecosystem_discovery_index""]",1,"[""airbnb.com""]","[""http://airbnb.com/""]","[""https://metaprop.com/portfolio""]",[],[],[],"[""MetaProp""]",1,"[""eco-src-2990aa1e8201""]",1,"[""Exited/marked exited""]",[],[],[],[],[],[],[],[],"[""http://airbnb.com/"",""https://metaprop.com/portfolio""]",2,"[""source_native_ecosystem_identity""]",false,[],2026-08-30,"Discovery presence is not operating, traction, outcome, security or JCX-fit evidence."
dsc-207436f8c8e9,AIRE,"[""AIRE""]",[],[],discovery_only,true,"[""built_environment_ecosystem_discovery_index""]",1,"[""ai.realestate""]","[""https://ai.realestate/""]","[""https://nar-reach.com/latam"",""https://nar-reach.com/us-residential""]",[],[],[],"[""NAR REACH Latin America"",""NAR REACH US Residential""]",2,"[""eco-src-2b9e7007dc2a"",""eco-src-3d917d8b2a71""]",2,"[""2026 cohort (or current page cohort)""]",[],[],[],"[""Latin America"",""United States""]",[],[],[],"[""Unifies unstructured internal data and pairs with property, mortgage and client life intel to provide a supercharged, living database that drives revenue for sales teams.""]","[""https://ai.realestate/"",""https://nar-reach.com/latam"",""https://nar-reach.com/us-residential""]",3,"[""exact_normalized_name_with_domain_corroboration"",""source_native_ecosystem_identity""]",false,[],2026-08-30,"Discovery presence is not operating, traction, outcome, security or JCX-fit evidence."
dsc-d8a3cce64d56,Airmo,"[""Airmo""]",[],[],discovery_only,true,"[""built_environment_ecosystem_discovery_index""]",1,"[""airmo.io""]","[""https://airmo.io/""]","[""https://pilabs.vc/portfolio""]",[],[],[],"[""Pi Labs""]",1,"[""eco-src-5b7fa91d1f48""]",1,"[""Active/portfolio""]",[],[],[],[],[],[],[],"[""GREENHOUSE GAS MONITORING FROM SPACE Est. 2022. Germany. <br> Founded by Daria Stepanova. <br> Last Funding Round: Pre-Seed""]","[""https://airmo.io/"",""https://pilabs.vc/portfolio""]",2,"[""source_native_ecosystem_identity""]",false,[],2026-08-30,"Discovery presence is not operating, traction, outcome, security or JCX-fit evidence."
dsc-baebf6b94fa5,Airside,"[""Airside""]",[],[],discovery_only,true,"[""built_environment_ecosystem_discovery_index""]",1,"[""airsidemobile.com""]","[""https://airsidemobile.com/""]","[""https://moderneventures.com/portfolio/airside""]",[],[],[],"[""Moderne Ventures / Passport""]",1,"[""eco-src-b5e366732c95""]",1,"[""Exited (displayed)""]","[""Passport""]",[],[],[],[],[],[],"[""Secure digital identity verification — Identity verification tools to reduce fraud and speed up transactions. Acquired by Onfido. — Passport""]","[""https://airsidemobile.com/"",""https://moderneventures.com/portfolio/airside""]",2,"[""source_native_ecosystem_identity""]",false,[],2026-08-30,"Discovery presence is not operating, traction, outcome, security or JCX-fit evidence."
dsc-7a5eea66d81c,Airworks,"[""Airworks""]",[],[],discovery_only,true,"[""built_environment_ecosystem_discovery_index""]",1,"[""airworks.io""]","[""http://airworks.io/""]","[""https://metaprop.com/portfolio""]",[],[],[],"[""MetaProp""]",1,"[""eco-src-7ecadf6db9bf""]",1,"[""Active/portfolio""]",[],[],[],[],[],[],[],[],"[""http://airworks.io/"",""https://metaprop.com/portfolio""]",2,"[""source_native_ecosystem_identity""]",false,[],2026-08-30,"Discovery presence is not operating, traction, outcome, security or JCX-fit evidence."
dsc-8f4e9330513a,Aitenders,"[""Aitenders""]",[],[],discovery_only,true,"[""built_environment_ecosystem_discovery_index""]",1,[],[],"[""https://cemexventures.com/top-50""]",[],[],[],"[""CEMEX Ventures Top 50 ConTech 2026""]",1,"[""eco-src-4ea74987e7fb""]",1,"[""Selected for 2026 Top 50""]","[""Enhanced productivity""]",[],[],[],[],[],[],"[""Enhanced productivity""]","[""https://cemexventures.com/top-50""]",1,"[""source_native_ecosystem_identity""]",false,[],2026-08-30,"Discovery presence is not operating, traction, outcome, security or JCX-fit evidence."
dsc-e39603458980,Albiware Inc.,"[""Albiware Inc.""]",[],[],discovery_only,true,"[""yc_real_estate_construction_2026-08-30""]",1,[],[],"[""https://ycombinator.com/companies/albiware-inc"",""https://ycombinator.com/companies/industry/real-estate-and-construction""]","[""26501""]","[""S2022""]","[""Active""]",[],0,[],0,[],"[""ConTech / construction operations""]","[""L3 Capital/finance; L5 Construction; L12 Data/intelligence""]","[""A""]",[],"[""US""]","[""Downers Grove, IL, USA""]","[""12""]","[""Albiware (Albi) is a B2B SaaS solution for the $100B+ insurance damage repair industry. Albi provides an all-in-one platform for damage repair contractors to manage all aspects of their business including: CRM, project management, field documentation, scheduling, BI, marketing automation, communication, HR management, and much more. Albi is built by contractors who felt the pain that lack of technology brought..."",""B2B SaaS for insurance damage repair contractors.""]","[""https://ycombinator.com/companies/albiware-inc"",""https://ycombinator.com/companies/industry/real-estate-and-construction""]",2,"[""source_native_yc_identity""]",false,[],2026-08-30,"Discovery presence is not operating, traction, outcome, security or JCX-fit evidence."
dsc-f54fd485eb05,Alchemist built-world adjacent portfolio,"[""Alchemist built-world adjacent portfolio""]","[""program_ecosystem""]","[""org-alchemist-built-world-adjacent-portfolio-c108545""]",qualified_core,false,"[""qualified_core""]",1,"[""alchemistaccelerator.com""]","[""https://alchemistaccelerator.com/portfolio-2""]",[],[],[],[],[],0,[],0,[],"[""Enterprise/deeptech ecosystem index""]","[""L5""]","[""C""]",[],"[""United States""]",[],[],[],"[""https://alchemistaccelerator.com/portfolio-2""]",1,"[""qualified_core_identity""]",false,[],2026-08-30,Qualified-core identity; individual claims still require editorial review.
dsc-3896226124c1,Aldar Properties,"[""Aldar Properties""]","[""organization""]","[""org-aldar-properties-4218e8b""]",qualified_core,false,"[""qualified_core""]",1,"[""aldar.com""]","[""https://aldar.com/""]",[],[],[],[],[],0,[],0,[],[],"[""L1"",""L10"",""L3"",""L6"",""L7"",""L8""]","[""A""]",[],"[""United Arab Emirates""]",[],[],[],"[""https://aldar.com/"",""https://aldar.com/aldar-report2024/documents/aldar-annual-report-2024_compressed-1.pdf"",""https://cdn.aldar.com/en/news-and-media/aldar-fy-2024-financial-results""]",3,"[""qualified_core_identity""]",false,[],2026-08-30,Qualified-core identity; individual claims still require editorial review.
dsc-5607fc03aa18,Aldara,"[""Aldara""]",[],[],discovery_only,true,"[""yc_real_estate_construction_2026-08-30""]",1,[],[],"[""https://ycombinator.com/companies/aldara"",""https://ycombinator.com/companies/industry/real-estate-and-construction""]","[""27249""]","[""S2022""]","[""Active""]",[],0,[],0,[],"[""Property operations / housing""]","[""L7 Occupancy/tenant; L12 Data/intelligence""]","[""C""]",[],"[""ES""]","[""Barcelona, Spain""]","[""10""]","[""Aldara is a modern, efficient HOA manager. We achieve that by automating back-office and operations with our in-house technology, powered by AI."",""HOA manager with automated operations""]","[""https://ycombinator.com/companies/aldara"",""https://ycombinator.com/companies/industry/real-estate-and-construction""]",2,"[""source_native_yc_identity""]",false,[],2026-08-30,"Discovery presence is not operating, traction, outcome, security or JCX-fit evidence."
dsc-11a21dbb1051,Aldoa,"[""Aldoa""]",[],[],discovery_only,true,"[""built_environment_ecosystem_discovery_index""]",1,"[""aldoa.com""]","[""https://aldoa.com/""]","[""https://metaprop.com/portfolio""]",[],[],[],"[""MetaProp""]",1,"[""eco-src-e507bc4f270b""]",1,"[""Active/portfolio""]",[],[],[],[],[],[],[],[],"[""https://aldoa.com/"",""https://metaprop.com/portfolio""]",2,"[""source_native_ecosystem_identity""]",false,[],2026-08-30,"Discovery presence is not operating, traction, outcome, security or JCX-fit evidence."
