snapshot_date,directory,directory_count_at_snapshot,name,yc_profile_url,yc_profile_slug,yc_company_id,batch,status,employee_count_shown,location_shown,city_shown,country_code_shown,official_one_liner,official_description_concise,visible_tags,inferred_lifecycle,inferred_category,jcx_screening_tier,jcx_screening_basis,in_proptech_directory,in_real_estate_directory,identity_status_source,research_caveat
2026-08-30,Real Estate and Construction,128,PLAN0 AI,https://www.ycombinator.com/companies/plan0-ai,plan0-ai,31460,P2026,Active,4,,,,Construction Cost Intelligence.,"PLAN0 is building the Bloomberg of construction for real estate developers, investors, and general contractors — $20B of projects are already running through the platform. We analyze architectural plans using vision models to generate detailed cost estimates and analytics in minutes. Through industry partnerships, the platform also aggregates historical and real-time project data across all major geographies to...",,L4 Design/BIM; L5 Construction; L12 Data/intelligence,ConTech / construction operations,A,"Direct fit for a developer's digitization, project, property, transaction, data, or ESG workflows.",no,no,https://www.ycombinator.com/companies/industry/real-estate-and-construction,"YC directory/company copy is a discovery source and is not independently verified here; status, employees, location, tags, and descriptions are point-in-time fields."
2026-08-30,Real Estate and Construction,128,Foreman,https://www.ycombinator.com/companies/foreman,foreman,31243,W2026,Active,2,San Francisco,San Francisco,US,"Keeping contractors on the job site, not behind a desk.","Foreman is the all-in-one AI-powered project management platform built for construction contractors and the trade industry. Today, contractors run complex businesses on a patchwork of tools that were never designed for construction — estimates in spreadsheets, plans in email, proposals copy-pasted from old Word docs, photos scattered across phones. Nothing talks to anything else, and the admin work never stops....",construction; artificial-intelligence; enterprise-software; scheduling; finance,L1 Land/site; L4 Design/BIM; L5 Construction; L12 Data/intelligence,ConTech / construction operations,A,"Direct fit for a developer's digitization, project, property, transaction, data, or ESG workflows.",no,no,https://www.ycombinator.com/companies/industry/real-estate-and-construction,"YC directory/company copy is a discovery source and is not independently verified here; status, employees, location, tags, and descriptions are point-in-time fields."
2026-08-30,Real Estate and Construction,128,Travo,https://www.ycombinator.com/companies/travo,travo,30905,W2026,Active,4,San Francisco,San Francisco,US,The brokerage that never sleeps,"Travo is an AI-native commercial real estate brokerage. Our AI constantly sources off-market deals that fit your exact buy box, and our brokers take them to close. Instead of the same on-market listings everyone sees, buyers get properties that never hit the market, with reconciled T-12s, rent rolls, and comps already cleaned up and ready to underwrite. We focus on multifamily, manufactured housing (MHP and MHC),...",,L6 Marketing/sales; L7 Occupancy/tenant; L9 Portfolio/asset; L12 Data/intelligence,Real-estate marketplace / sales,A,"Direct fit for a developer's digitization, project, property, transaction, data, or ESG workflows.",no,no,https://www.ycombinator.com/companies/industry/real-estate-and-construction,"YC directory/company copy is a discovery source and is not independently verified here; status, employees, location, tags, and descriptions are point-in-time fields."
2026-08-30,Real Estate and Construction,128,Goldbridge,https://www.ycombinator.com/companies/goldbridge,goldbridge,29161,F2025,Active,3,,,,Ramp for Real Estate,"Goldbridge is building the financial operating system for the largest asset class in the world – real estate. More than $1T in rent flows through landlord bank accounts annually, with roughly a quarter locked in idle reserves and security deposits – and billions more leaking from unnecessary property expenses. And with $2.5T in real estate loans about to mature in 2027/28, property owners are desperate to boost...",ai; real-estate; neobank; finance; proptech,L3 Capital/finance; L7 Occupancy/tenant; L8 FM/maintenance; L9 Portfolio/asset; L12 Data/intelligence,Property operations / housing,A,"Direct fit for a developer's digitization, project, property, transaction, data, or ESG workflows.",yes,yes,https://www.ycombinator.com/companies/industry/real-estate-and-construction,"YC directory/company copy is a discovery source and is not independently verified here; status, employees, location, tags, and descriptions are point-in-time fields."
2026-08-30,Real Estate and Construction,128,Brickwise,https://www.ycombinator.com/companies/brickwise,brickwise,30847,F2025,Active,2,London,London,GB,AI property manager for landlords and estate agents,"We've built an AI property manager that automates maintenance requests, handling tenant calls and messages 24/7, following up by chasing contractors and resolving issues. We're based in London, but have over 10 customers throughout the world, from San Francisco to Dubai. We have a reliable sales pipeline, including a >$1m cARR enterprise contract. Since our formation 6 months ago, we have raised over $3M in...",,L5 Construction; L6 Marketing/sales; L7 Occupancy/tenant; L8 FM/maintenance; L12 Data/intelligence,ConTech / construction operations,A,"Direct fit for a developer's digitization, project, property, transaction, data, or ESG workflows.",no,no,https://www.ycombinator.com/companies/industry/real-estate-and-construction,"YC directory/company copy is a discovery source and is not independently verified here; status, employees, location, tags, and descriptions are point-in-time fields."
2026-08-30,Real Estate and Construction,128,Automax.ai,https://www.ycombinator.com/companies/automax-ai,automax-ai,30956,F2025,Active,4,San Francisco,San Francisco,US,AI native real-estate appraisal firm,"Automax.ai does property appraisals faster and more transparent. Our mobile app uses LiDAR and computer vision to capture property details automatically, and our custom-trained AI agents combine that data with all the analysis and aggregation required to to generate a complete appraisal report in minutes. The result is a clear, grounded valuation, fully Fannie Mae & Freddie Mac compliant — done in under 20...",b2b; proptech,L2 Feasibility; L7 Occupancy/tenant; L12 Data/intelligence,Property data / transaction infrastructure,A,"Direct fit for a developer's digitization, project, property, transaction, data, or ESG workflows.",yes,no,https://www.ycombinator.com/companies/industry/real-estate-and-construction,"YC directory/company copy is a discovery source and is not independently verified here; status, employees, location, tags, and descriptions are point-in-time fields."
2026-08-30,Real Estate and Construction,128,Helonic,https://www.ycombinator.com/companies/helonic,helonic,30911,F2025,Active,2,San Francisco,San Francisco,US,Automatic Construction Drawing Clash Detection,"We help construction teams eliminate rework, delays, and drawing confusion before construction starts. We analyze PDF plans, detect clashes and inconsistencies across disciplines, and create draft RFIs so teams can resolve issues early. This saves construction companies hundreds of hours and millions of dollars. What we do: - Automatically detect clashes, missing information, and drawing mismatches - Align...",construction; b2b; workflow-automation; architecture; artificial-intelligence,L4 Design/BIM; L5 Construction; L12 Data/intelligence,ConTech / construction operations,A,"Direct fit for a developer's digitization, project, property, transaction, data, or ESG workflows.",no,no,https://www.ycombinator.com/companies/industry/real-estate-and-construction,"YC directory/company copy is a discovery source and is not independently verified here; status, employees, location, tags, and descriptions are point-in-time fields."
2026-08-30,Real Estate and Construction,128,Structured AI,https://www.ycombinator.com/companies/structured-ai,structured-ai,30845,F2025,Active,10,New York City,New York City,US,The AI drawing review platform for architects and engineers.,"Structured AI is the most advanced AI-powered QA/QC platform for drawing packages, working across both PDF drawings and native Revit models. Architects and engineers use our platform to make every drawing set leave the office with certainty. Our AI agents learn your firm's standards, apply the relevant codes, and read every page of a set, then return a clear list of what's wrong, where it sits, and how to fix it....",ai; construction; architecture; computer-vision,L4 Design/BIM; L5 Construction; L12 Data/intelligence,ConTech / construction operations,A,"Direct fit for a developer's digitization, project, property, transaction, data, or ESG workflows.",no,no,https://www.ycombinator.com/companies/industry/real-estate-and-construction,"YC directory/company copy is a discovery source and is not independently verified here; status, employees, location, tags, and descriptions are point-in-time fields."
2026-08-30,Real Estate and Construction,128,Spotlight Realty,https://www.ycombinator.com/companies/spotlight-realty,spotlight-realty,30791,S2025,Active,4,San Francisco,San Francisco,US,AI powered brokerage reducing residential rental commissions in NYC…,We are a full-service sell-side residential brokerage that lists and markets your properties. We also screen and schedule tenants showings with our AI agent for a third of the normal commission.,real-estate; machine-learning,L6 Marketing/sales; L7 Occupancy/tenant; L12 Data/intelligence,Property operations / housing,B,Adjacent capability with a plausible real-estate use case; validate local workflow and integration fit.,no,yes,https://www.ycombinator.com/companies/industry/real-estate-and-construction,"YC directory/company copy is a discovery source and is not independently verified here; status, employees, location, tags, and descriptions are point-in-time fields."
2026-08-30,Real Estate and Construction,128,Wayline,https://www.ycombinator.com/companies/wayline,wayline,30364,S2025,Active,5,San Francisco,San Francisco,US,AI voice for property managers,"Wayline is an AI front desk assistant purpose-built for real estate to answer calls and messages 24/7. It’s like an always-on property manager that can convert leads and resolve issues better than any human, day or night. Our AI can be setup in as little as 24 hours and works seamlessly with existing phone/management software. Uniquely, our AI knowledge base is domain-specific to learn and handle the most complex...",,L8 FM/maintenance; L12 Data/intelligence,Property operations / housing,A,"Direct fit for a developer's digitization, project, property, transaction, data, or ESG workflows.",no,no,https://www.ycombinator.com/companies/industry/real-estate-and-construction,"YC directory/company copy is a discovery source and is not independently verified here; status, employees, location, tags, and descriptions are point-in-time fields."
2026-08-30,Real Estate and Construction,128,Bidflow,https://www.ycombinator.com/companies/bidflow,bidflow,30620,W2026,Active,2,New York City,New York City,US,AI Takeoffs for Electrical,"We use AI to help electricians speed up the time it takes to submit a competitive bid to a job. We do this by scanning complex CAD drawings and 10X-ing the time it takes to estimate a job. This involves using vision models to read and count complex symbols in large PDFs, which typically take hours (sometimes days) to do precisely. Every missed symbol can cost thousands, and our AI can count to 99% accuracy.",computer-vision; saas; construction; infrastructure,L4 Design/BIM; L5 Construction; L12 Data/intelligence,ConTech / construction operations,A,"Direct fit for a developer's digitization, project, property, transaction, data, or ESG workflows.",no,no,https://www.ycombinator.com/companies/industry/real-estate-and-construction,"YC directory/company copy is a discovery source and is not independently verified here; status, employees, location, tags, and descriptions are point-in-time fields."
2026-08-30,Real Estate and Construction,128,IronLedger.ai,https://www.ycombinator.com/companies/ironledger-ai,ironledger-ai,30685,S2025,Active,,New York City,New York City,US,AI-enabled Corporate Cards and Invoice Processing for Real Estate,"IronLedger automates property accounting for property managers, developers and contractors, starting with accounts payable. We eliminate more than $70K of accounting costs annually for over 50K multifamily units. https://www.ironledger.ai/",,L5 Construction; L8 FM/maintenance; L12 Data/intelligence,ConTech / construction operations,A,"Direct fit for a developer's digitization, project, property, transaction, data, or ESG workflows.",no,no,https://www.ycombinator.com/companies/industry/real-estate-and-construction,"YC directory/company copy is a discovery source and is not independently verified here; status, employees, location, tags, and descriptions are point-in-time fields."
2026-08-30,Real Estate and Construction,128,PARES AI,https://www.ycombinator.com/companies/pares-ai,pares-ai,30736,S2025,Active,3,Los Angeles,Los Angeles,US,AI-native real estate services firm,"PARES is an AI-native real estate services firm, providing investment sales brokerage and property management to institutional and middle-market property owners and investors across the country. Real estate is an extremely labor-intensive business, often requiring scaling headcount to grow, being extremely local to submarkets, and operating on low margins. With AI, these services can be centralized and delivered...",real-estate; conversational-ai; artificial-intelligence; proptech,L2 Feasibility; L3 Capital/finance; L6 Marketing/sales; L7 Occupancy/tenant; L8 FM/maintenance; L9 Portfolio/asset; L12 Data/intelligence,Property operations / housing,A,"Direct fit for a developer's digitization, project, property, transaction, data, or ESG workflows.",yes,yes,https://www.ycombinator.com/companies/industry/real-estate-and-construction,"YC directory/company copy is a discovery source and is not independently verified here; status, employees, location, tags, and descriptions are point-in-time fields."
2026-08-30,Real Estate and Construction,128,Opusense AI,https://www.ycombinator.com/companies/opusense-ai,opusense-ai,30467,P2025,Active,2,"Toronto, ON, Canada",Toronto,CA,AI for Field Inspection Reports,"Opusense AI automates field report writing for construction field inspectors. Instead of typing up notes at the end of the day, inspectors can now walk a site, speak observations aloud, snap photos, and let our AI assistant generate a detailed, organized report on-site and in real time. Combined, the founding team has over 15 years in the construction industry. Writing up these field reports used to take up at...",,L5 Construction; L12 Data/intelligence,ConTech / construction operations,A,"Direct fit for a developer's digitization, project, property, transaction, data, or ESG workflows.",no,no,https://www.ycombinator.com/companies/industry/real-estate-and-construction,"YC directory/company copy is a discovery source and is not independently verified here; status, employees, location, tags, and descriptions are point-in-time fields."
2026-08-30,Real Estate and Construction,128,Bild AI,https://www.ycombinator.com/companies/bild-ai,bild-ai,30177,W2025,Active,9,San Francisco,San Francisco,US,"AI estimating & detailing for Division 8 doors, frames & hardware","Bild AI automates Division 8 estimating — doors, frames, and hardware — end to end. Bild AI reads blueprints and specs, generates opening (door) schedules automatically, prices the bid, and exports it directly into the ERPs Division 8 shops already run on, including Comsense, Avaware, and ProTech. Division 8 estimating is the brutal trifecta of nitty-gritty details, where typos cost hundreds of thousands, and...",,L12 Data/intelligence,Real-estate software / adjacent,C,"Interesting discovery lead, but the direct JCX/developer use case is not evident from directory copy.",no,no,https://www.ycombinator.com/companies/industry/real-estate-and-construction,"YC directory/company copy is a discovery source and is not independently verified here; status, employees, location, tags, and descriptions are point-in-time fields."
2026-08-30,Real Estate and Construction,128,Permitify,https://www.ycombinator.com/companies/permitify,permitify,30317,W2025,Active,2,"Salt Lake City, UT, USA",Salt Lake City,US,AI co-pilot for building plan review and building code compliance,"City building departments are understaffed and overworked. Meanwhile, builders lobby to remove power from building departments. Because building departments are usually the only profitable/self-sustaining branch of a local government, this is problematic. Permitify allows city build-plan reviewers to 10x their productivity covering the labor shortage, reducing the time required to issue a building permit, and...",generative-ai; computer-vision; construction; govtech,L1 Land/site; L5 Construction; L12 Data/intelligence,ConTech / construction operations,A,"Direct fit for a developer's digitization, project, property, transaction, data, or ESG workflows.",no,no,https://www.ycombinator.com/companies/industry/real-estate-and-construction,"YC directory/company copy is a discovery source and is not independently verified here; status, employees, location, tags, and descriptions are point-in-time fields."
2026-08-30,Real Estate and Construction,128,ArchiLabs,https://www.ycombinator.com/companies/archilabs,archilabs,30105,F2024,Active,2,San Francisco,San Francisco,US,AI Data Center Design,ArchiLabs is building the data center project OS.,b2b; saas; proptech; construction; ai,L4 Design/BIM; L5 Construction; L12 Data/intelligence,ConTech / construction operations,A,"Direct fit for a developer's digitization, project, property, transaction, data, or ESG workflows.",yes,no,https://www.ycombinator.com/companies/industry/real-estate-and-construction,"YC directory/company copy is a discovery source and is not independently verified here; status, employees, location, tags, and descriptions are point-in-time fields."
2026-08-30,Real Estate and Construction,128,PermitPortal,https://www.ycombinator.com/companies/permitportal,permitportal,30088,F2024,Active,2,San Francisco,San Francisco,US,AI Operating System for Pre-construction,"We are building workflows to help developers go from finding and closing development sites to getting a building permit faster. PermitPortal accelerates the most critical parts of the pre-construction phase: finding the right sites, understanding entitlements and navigating local development sentiment.",ai; real-estate; construction,L1 Land/site; L5 Construction; L12 Data/intelligence,ConTech / construction operations,A,"Direct fit for a developer's digitization, project, property, transaction, data, or ESG workflows.",no,yes,https://www.ycombinator.com/companies/industry/real-estate-and-construction,"YC directory/company copy is a discovery source and is not independently verified here; status, employees, location, tags, and descriptions are point-in-time fields."
2026-08-30,Real Estate and Construction,128,Karmen,https://www.ycombinator.com/companies/karmen,karmen,30062,F2024,Active,2,San Francisco,San Francisco,US,Your AI scheduling assistant for construction,"Karmen is an AI scheduling assistant for construction. Karmen builds your baseline schedules from project documents, and updates them as your project evolves, saving you time and potential delays.",,L5 Construction; L12 Data/intelligence,ConTech / construction operations,A,"Direct fit for a developer's digitization, project, property, transaction, data, or ESG workflows.",no,no,https://www.ycombinator.com/companies/industry/real-estate-and-construction,"YC directory/company copy is a discovery source and is not independently verified here; status, employees, location, tags, and descriptions are point-in-time fields."
2026-08-30,Real Estate and Construction,128,Fresco,https://www.ycombinator.com/companies/fresco,fresco,30089,F2024,Active,2,San Francisco,San Francisco,US,AI copilot for construction estimators,"Fresco is an AI-powered takeoff and estimating for Division 8 construction (doors, frames, and hardware). Estimating Division 8 has always been brutally manual: flipping through hundreds of pages of specs, cross-referencing hardware sets, and building out schedules by hand. A single missed door or misread hardware group can kill a bid's margin. Fresco automates the entire takeoff process with 99% accuracy,...",,L5 Construction; L12 Data/intelligence,ConTech / construction operations,A,"Direct fit for a developer's digitization, project, property, transaction, data, or ESG workflows.",no,no,https://www.ycombinator.com/companies/industry/real-estate-and-construction,"YC directory/company copy is a discovery source and is not independently verified here; status, employees, location, tags, and descriptions are point-in-time fields."
2026-08-30,Real Estate and Construction,128,Propaya,https://www.ycombinator.com/companies/propaya,propaya,29815,S2024,Active,2,San Francisco,San Francisco,US,,"Propaya is an AI-powered commercial real estate intelligence platform that transforms leases and property documents into structured, actionable data. It extracts key terms, obligations, costs, and critical dates with source citations, while identifying legal, operational, environmental, and biological property-risk signals. Teams can customize risk taxonomies, track portfolio-level issues, export structured data,...",proptech; real-estate; artificial-intelligence,L7 Occupancy/tenant; L8 FM/maintenance; L9 Portfolio/asset; L12 Data/intelligence,Property operations / housing,A,"Direct fit for a developer's digitization, project, property, transaction, data, or ESG workflows.",yes,yes,https://www.ycombinator.com/companies/industry/real-estate-and-construction,"YC directory/company copy is a discovery source and is not independently verified here; status, employees, location, tags, and descriptions are point-in-time fields."
2026-08-30,Real Estate and Construction,128,Assembly HOA,https://www.ycombinator.com/companies/assembly-hoa,assembly-hoa,29824,S2024,Active,12,San Francisco,San Francisco,US,AI-native HOA Management Company,"Assembly is an AI-native HOA management company on a mission to fix homeowner associations. Traditional HOA management is often reactive, confusing, and inefficient. Assembly takes a different approach by combining professional expertise with intelligent software to make communities run smoothly and decisions easier. We exist to build trust, create transparency, and ensure well-run communities that protect and...",real-estate; fintech; housing; proptech; artificial-intelligence,L7 Occupancy/tenant; L12 Data/intelligence,Property operations / housing,B,Adjacent capability with a plausible real-estate use case; validate local workflow and integration fit.,yes,yes,https://www.ycombinator.com/companies/industry/real-estate-and-construction,"YC directory/company copy is a discovery source and is not independently verified here; status, employees, location, tags, and descriptions are point-in-time fields."
2026-08-30,Real Estate and Construction,128,Henry,https://www.ycombinator.com/companies/henry-2,henry-2,29954,S2024,Active,20,New York City,New York City,US,Automating Deal Decks for Commercial Real Estate Brokers,"Henry is an AI copilot for commercial real estate (CRE) brokers that seamlessly integrates a brokerage’s internal data set with external sources to generate custom presentations and financial modeling for deals. Our mission is to help CRE brokers close more deals faster, earning more while doing less repetitive work. We’re initially focusing on enabling brokers to generate deal decks in seconds—a task that...",saas; generative-ai; real-estate; ai-assistant; ai,L6 Marketing/sales; L9 Portfolio/asset; L12 Data/intelligence,Real-estate finance / insurtech,A,"Direct fit for a developer's digitization, project, property, transaction, data, or ESG workflows.",no,yes,https://www.ycombinator.com/companies/industry/real-estate-and-construction,"YC directory/company copy is a discovery source and is not independently verified here; status, employees, location, tags, and descriptions are point-in-time fields."
2026-08-30,Real Estate and Construction,128,SchemeFlow,https://www.ycombinator.com/companies/schemeflow,schemeflow,29776,S2024,Active,5,London,London,GB,AI Report Generation for Engineering & Environmental Review,"SchemeFlow uses AI to generate technical reports for engineering and environmental review for construction projects. Two brothers + high school friend, with great combo of skills: Mayor’s Chief of Staff, Arup construction engineer + AI software engineer. LLMs allow fast generation of reports & handling local regulatory complexity which wasn’t feasible before. Working across Transportation, Air Quality, Noise,...",,L5 Construction; L12 Data/intelligence,ConTech / construction operations,A,"Direct fit for a developer's digitization, project, property, transaction, data, or ESG workflows.",no,no,https://www.ycombinator.com/companies/industry/real-estate-and-construction,"YC directory/company copy is a discovery source and is not independently verified here; status, employees, location, tags, and descriptions are point-in-time fields."
2026-08-30,Real Estate and Construction,128,CoCrafter,https://www.ycombinator.com/companies/cocrafter,cocrafter,29481,W2024,Active,9,"Munich, Germany",Munich,DE,B2B construction marketplace to match contractors and subcontractors.,"CoCrafter is a construction marketplace to match contractors and subcontractors. Already used by over 3000 companies in the strong German SMB sector, CoCrafter helps contractors to find and manage local as well as foreign subcontractors.",marketplace; construction,L5 Construction,ConTech / construction operations,A,"Direct fit for a developer's digitization, project, property, transaction, data, or ESG workflows.",no,no,https://www.ycombinator.com/companies/industry/real-estate-and-construction,"YC directory/company copy is a discovery source and is not independently verified here; status, employees, location, tags, and descriptions are point-in-time fields."
2026-08-30,Real Estate and Construction,128,AveryIQ,https://www.ycombinator.com/companies/averyiq,averyiq,29284,W2024,Active,3,"Austin, TX, USA",Austin,US,AI Copilot for Property Managers and Landlords,"Avery helps property managers fill vacancies faster and resolve maintenance requests automatically. Our AI property manager and leasing agents can be assigned to complete many common tasks, from getting tours scheduled to following up with vendors. There are nearly 300,000 third party property management companies across the US, many of whom are overwhelmed by dozens of repetitive tenant requests streaming in...",proptech; real-estate; telecommunications; ai,L7 Occupancy/tenant; L8 FM/maintenance; L12 Data/intelligence,Property operations / housing,A,"Direct fit for a developer's digitization, project, property, transaction, data, or ESG workflows.",yes,yes,https://www.ycombinator.com/companies/industry/real-estate-and-construction,"YC directory/company copy is a discovery source and is not independently verified here; status, employees, location, tags, and descriptions are point-in-time fields."
2026-08-30,Real Estate and Construction,128,InspectMind AI,https://www.ycombinator.com/companies/inspectmind-ai,inspectmind-ai,29511,W2024,Active,2,San Francisco,San Francisco,US,AI agent for construction drawings review,An AI agent that catches issues in construction drawings before they become costly rework and project delays,ai; construction; proptech; artificial-intelligence; b2b,L5 Construction; L12 Data/intelligence,ConTech / construction operations,A,"Direct fit for a developer's digitization, project, property, transaction, data, or ESG workflows.",yes,no,https://www.ycombinator.com/companies/industry/real-estate-and-construction,"YC directory/company copy is a discovery source and is not independently verified here; status, employees, location, tags, and descriptions are point-in-time fields."
