case_id,organization,solution_vendor,geography,lifecycle,category,baseline_problem,intervention,measured_outcome,period_sample_denominator,source_type,evidence_grade,causal_caveat,transferability_bangladesh_jcx,source_url,verification_date
QOC-011,Saunders Construction,Trimble Connected Progressive Scanning Workflow,United States,L5 Construction,Reality capture/quality control,Manual quality checks risked concrete-floor errors and expensive rework,Used connected progressive scanning to verify cast-in-place floor work at One River North Residences,"Measured 1,164% ROI; 31.2%/144 tCO2e GHG savings otherwise associated with rework materials",One residential project; ROI calculation combines labor and estimated avoided correction costs.,Vendor/partner sustainability report; customer project,B2,Strong quantified accounting but modeled avoided rework is counterfactual and vendor/partner supported.,Medium-high for JCX high-value structural work; camera/scanner procurement and skilled QA are needed.,https://www.trimble.com/downloads/4K6TJvfQn5fT6yn253RiEK/0c3ad99e7eb9457eebd5237b09a745b7/trimble-sustainability-report-2022.pdf,2026-08-30
QOC-012,Intel,Buildots,United States/EMEA,L5 Construction,AI progress tracking and rework,"Multi-fab projects had 50,000+ activities and thousands of workers with manual progress tracking and installation deviations",Used Buildots computer vision and model updates to compare site reality with plan,"4.3% rework cost saved per fab; 4 construction weeks of delay avoided per fab; 1,176 model updates per fab","Multiple fab projects; source page headline elsewhere says 6 weeks, detailed result says 4 weeks; flag discrepancy.",Vendor customer story; customer quote,B3,Vendor-reported estimated savings; rework baseline and causal calculation not published; source has headline inconsistency.,"Medium-high for JCX large projects if BIM models, capture cadence and QA governance exist.",https://buildots.com/case-studies/intel-partners-with-buildots/,2026-08-30
QOC-013,NCC,Buildots,Finland,L5 Construction,AI progress tracking,Project managers relied on subjective/manual progress reporting and had poor visibility into trade performance and delays,Piloted AI progress tracking and expanded from one project to four,"2.3x more tasks completed on time; 70% reduction in manual reporting; tracked area reached 68,500 sqm; thousands of euros in avoided disputes",Pilot plus three additional projects; outcome denominator and baseline not fully disclosed.,Vendor customer story; customer quote,B3,Reported comparison metric is not accompanied by raw counts or independent verification.,Medium-high for JCX contractor dashboards; begin with percent-plan-complete and capture governance.,https://buildots.com/case-studies/ncc-partners-with-buildots/,2026-08-30
QOC-014,Vinci Construction UK,OpenSpace,United Kingdom,L5 Construction/L11 Handover,Reality capture/documentation,Weekly site documentation took a minimum of four hours per user and did not create a reliable history for disputes/closeout,Deployed 360-degree reality capture across projects after a three-month pilot,"More than 6,000 documentation hours saved annually; faster dispute resolution and billing verification reported","Portfolio-scale estimate; source cites 60% healthcare business and annual hours, but user count not disclosed.",Vendor customer story; customer quote,B3,Annual estimate is self-reported and aggregates multiple projects; no independent time study.,"High for JCX: timestamped site records can support progress claims, handover and dispute resolution.",https://www.openspace.ai/blog/vinci-construction-uk-uses-openspace-to-create-efficiency/,2026-08-30
QOC-015,Lendlease project team,OpenSpace,United States,L5 Construction/L11 Handover,Reality capture/change-order prevention,"Reality capture and change-order prevention,Smartphone progress photos were slower, incomplete and required manual upload/mapping; a change order was disputed",Used hard-hat 360 capture and searchable ground-truth records,"Documentation 30x faster than prior smartphone capture; nearly half a workday saved weekly; stopped a $50,000 potential change order; 10x more images/week",One project/team; outcome is customer estimate and avoided-cost counterfactual.,Vendor customer story; customer quote,B3,Counterfactual avoided cost and time are not externally verified; project context may be unusually favorable.,High for JCX construction documentation and post-handover evidence; validate camera connectivity and storage.,https://get.openspace.ai/rs/283-OVQ-169/images/OpenSpace-Case-Study-Lendlease-en.pdf,2026-08-30
QOC-016,Novo Construction,OpenSpace,United States,L5 Construction,Reality capture/remote coordination,"Reality capture and remote coordination,Site capture/upload/mapping consumed labor and remote stakeholders traveled to projects",Automated mapping of frequent 360 imagery with OpenSpace,100x more images; capture/upload/mapping labor reduced 95%; 5 hours travel saved per week,Customer project; exact area/duration not disclosed.,Vendor customer story; customer quote,B3,Percent is customer-reported and “100x” imagery does not prove quality or ROI.,High for JCX projects spread across Dhaka and regional sites; define capture standards and retention.,https://www.openspace.ai/resources/case-studies/how-openspace-delivers-faster-more-complete-documentation-to-novo-construction/,2026-08-30
QOC-017,Balfour Beatty Texas Buildings,OpenSpace,United States,L5 Construction,Reality capture scale,"Previous platform captured 2,135 images in 71.96 hours over five months, limiting progress and quality documentation",Used automated SLAM mapping and frequent capture on a subsequent project,"160,474 images captured in 22.29 hours over the same five-month span; capture rate increased roughly 75x",Two projects compared over five months; not same project or controlled conditions.,Vendor customer story; customer quote,B3,"Comparison confounds platform, project, crew and capture practices; treat as throughput example only.","Medium-high for JCX standardization, but camera route/time and image usefulness need local validation.",https://www.openspace.ai/resources/case-studies/balfour-beatty-openspace-case-study/,2026-08-30
QOC-018,U.S. Engineering,OpenSpace,United States,L5 Construction/L11 Handover,Remote QA and site access,Senior staff drove 3-4 hours to remote sites and discovered some BIM discrepancies late,Used OpenSpace captures and BIM Compare for remote progress/quality review,Up to 10 hours saved per week; thousands of dollars in rework avoided; designers avoided a school-project flight,Multiple projects; “thousands” has no exact value or denominator.,Vendor customer story; customer quote,B3,Self-reported travel/rework estimates; avoided cost is counterfactual.,"High for JCX regional project oversight and remote approvals, subject to mobile upload reliability.",https://www.openspace.ai/resources/case-studies/us-engineering/,2026-08-30
QOC-019,Green Mechanical Construction,Procore,United States,L5 Construction/L9 Portfolio,Procurement/workflow automation,"Procurement and workflow automation,Purchase orders required 32 minutes and cost $18.23 each; manual admin and staffing overhead constrained margins","Centralized Procore procurement, ERP integration and automated workflows","PO time 32 to 7 minutes; per-order cost $18.23 to $4.73; over $30,000 annual PO savings; $115,000 first-year savings; 4,000+ hours saved","Over 2,000 POs/year; first-year estimate; customer says Procore paid back in 3 months.",Vendor customer story/PDF; customer quote,B3,Company estimate; first-year savings may overlap categories and staff-cost assumptions.,"High for JCX procurement, invoice and ERP integration; price/approval controls need localization.",https://blog.procore.com/en-ca/casestudies/green-mechanical,2026-08-30
QOC-020,Alpine Works,Procore,United Kingdom,L5 Construction,Submittal/RFI workflow,Administrative tasks and submittal approvals were slow and communication risked information loss,"Used Procore to centralize project information, RFIs and submittals",Up to 30% less admin time; submittal approval from 5 days to 2 days (60% reduction),Customer estimate; project count not disclosed.,Vendor customer story; customer quote,B3,“Up to” estimate and no independent baseline; approval result may be project-specific.,High for JCX approval workflows with role-based audit trails and Bengali/English notifications.,https://www.procore.com/en-gb/casestudies/alpine-works,2026-08-30
QOC-021,Modigent,Procore,United States,L5 Construction/L11 Handover,Closeout automation,Closeout work was labor-intensive during a labor shortage and required fragmented systems,Used Procore as a unified project and financial platform,"50% of closeout time saved, approximately 40 hours per project; improved forecasting from real-time cost/billing/progress data",Per-project estimate; denominator is one project’s prior closeout process.,Vendor customer story; customer quote,B3,Customer estimate and no project sample or independent audit.,"High for JCX handover, defect lists, asset registers and payment documentation.",https://www.procore.com/casestudies/modigent,2026-08-30
QOC-022,The Beck Group,Procore,United States,L5 Construction,Document/quality workflow consolidation,"Document and quality workflow consolidation,Multiple disconnected tools caused duplicate work, slow drawing upload and quality/safety administration",Consolidated workflows in Procore and generated submittals from specifications,"$100,000 annual savings from automated drawing upload; 40 hours saved per submittal register; 25% time savings in quality/safety tools",Company estimate; annual and per-register metrics; sample not disclosed.,Vendor customer story; customer quote,B3,Claims are estimates and may not be additive; no audited financials.,Medium-high for JCX if projects need standardization across sites and subcontractors.,https://www.procore.com/casestudies/beck-group,2026-08-30
QOC-023,Quinn London,C-Link,United Kingdom,L5 Construction,Subcontract procurement,Subcontract orders required heavy administration and lacked centralized signing visibility,"Automated subcontract order preparation, tracking and compliance in C-Link",85% reduction in order-prep time; 4x orders per day; 100% centralized visibility,Main contractor; revenue £100M+; period and order counts not disclosed.,Vendor customer story; customer quote,B3,Vendor-reported customer metric; no independent time logs.,Medium-high for JCX procurement; useful reference for Bangladeshi subcontractor onboarding and approval trails.,https://c-link.com/case-studies/,2026-08-30
QOC-024,Skanska,Capgemini IBX Purchase-to-Pay,Multi-country/Europe,L5 Construction,Enterprise e-procurement,Only 15% of purchasing volume was coordinated and most purchasing was manual,Implemented cloud eProcurement/eSourcing and supplier network,Frame-agreement purchasing increased 15% to 25%; half of coordinated purchases ordered through IBX,Enterprise case; date 2015; exact spend denominator not disclosed.,Client story with consulting partner; reported customer result,B2,Older result and no monetary savings disclosed; adoption may reflect policy as well as platform.,"High strategic relevance for JCX: procurement control, supplier compliance and preferred-rate leverage.",https://www.capgemini.com/in-en/news/client-stories/taking-control-of-purchasing-in-the-construction-industry/,2026-08-30
QOC-025,JW Property Services,AppFolio,United States,L7 Occupancy/L8 Property operations,PMS workflow automation,Excel/QuickBooks and manual tenant communication/accounts payable,"Unified property management, resident communications and online workflows in AppFolio",75% reduction in manual work; 50% less AP time; 60% less communication time; 330+ units managed,Customer story; current portfolio 330+ units; period not disclosed.,Vendor customer story; customer quote,B3,"Self-reported percentages; no hours, controls or independent audit.","High for JCX property operations once projects become managed communities; start with service requests, payments and owner reporting.",https://www.appfolio.com/customer-stories/jw-property-services,2026-08-30
QOC-026,Rainier Properties,AppFolio,United States,L7 Occupancy/L8 Property operations,Resident portal and payments,Fragmented property management and manual bill entry,Switched from RealPage to AppFolio with resident portal and online payments,98% resident portal adoption; 92% online payment adoption; 4 hours/week saved entering bills,"2,000+ units; period not disclosed.",Vendor customer story; customer quote,B3,Adoption is measurable but time saving is self-reported; outcomes may reflect resident incentives/change management.,"High for JCX portal design, but payment rails and local compliance need Bangladesh-specific integration.",https://www.appfolio.com/customer-stories/rainier-properties,2026-08-30
QOC-027,Structure Properties,AppFolio,United States,L8 Property operations/L9 Portfolio,PMS data and owner communications,Legacy Yardi workflow and slow owner-response process,"Adopted integrated PMS, data and owner communication workflows",50-70% less time spent in software; owner inquiries answered 200% faster; 40% growth in 18 months,"2,000+ units; 18-month growth window; causal denominator not disclosed.",Vendor customer story; customer quote,B3,Growth cannot be causally attributed to software alone; time estimate is management opinion.,High for JCX unified dashboard and owner service model; separate operational ROI from market growth.,https://www.appfolio.com/customer-stories/structure-properties,2026-08-30
QOC-028,Atkinson McLeod,Matterport,United Kingdom,L6 Marketing/sales/L7 Occupancy,Digital tours and remote inspections,In-person property tours were constrained by COVID-19 and overseas owners/tenants,Created Matterport digital twins and virtual tours,50% reduction in physical visits; 2x email click-through; 56% of tenants found virtual tours useful,650 homes managed; period from 2020 rollout; survey denominator for usefulness not disclosed.,Vendor customer story; customer data/quote,B3,Marketing engagement and visitor reduction do not prove faster sale or higher revenue; selection bias possible.,"High for JCX project marketing, remote diaspora buyers and inspection records; optimize mobile bandwidth and Bengali/English content.",https://matterport.com/industries/case-studies/atkinson-mcleod-reduces-person-visits-50-and-improves-agent-productivity,2026-08-30
QOC-029,Cushman & Wakefield,Matterport,Global/London-based,L6 Marketing/sales/L11 Handover,Portfolio digital twins,"Commercial clients needed faster space access, service differentiation and scalable capture",Enterprise Matterport capture program and digital replicas,"1,000+ properties digitized in under 12 months; footprint in 21 countries; 53% capture-cost savings via global technician network",12-month period; cost denominator not disclosed.,Vendor customer story; customer quote,B3,Cost comparison is vendor/customer claim and may reflect network pricing; no leasing conversion metric.,"High for JCX portfolio inventory, virtual tours and as-built handover; define minimum metadata and ownership rights.",https://matterport.com/en-gb/industries/case-studies/cushman-wakefield-uses-matterport-provide-quality-insights-and-digital,2026-08-30
QOC-030,Asia-Pacific investment manager shopping centre,BrainBox AI,Australia,L8 Property operations/L10 ESG,HVAC AI optimization,HVAC operation consumed excessive electricity despite a reasonably efficient mall,AI HVAC optimization using building controls and historical/occupancy/weather data,"25% HVAC electricity reduction; 55,513 kWh and 9,159.65 AUD annual bill savings; 54 tCO2e reduction; expansion to 38 buildings",12-month assessment ending September 2021; one shopping centre; portfolio rollout decision afterward.,Vendor case study; customer quote,B3,Vendor-calculated result; weather/occupancy normalization and baseline method should be audited.,"High for hot-humid JCX buildings, but controls compatibility, comfort and sensor calibration are critical.",https://brainboxai.com/en/case-studies/australian-shopping-mall-results-encourage-portfolio-wide-implementation,2026-08-30
QOC-031,Trane donation/collection facilities,BrainBox AI via Trane Autonomous Control,United States,L8 Property operations/L10 ESG,HVAC AI optimization,120+ facilities required HVAC efficiency and emissions reduction,Deployed autonomous AI control powered by BrainBox AI,"1,132 mtCO2e reduced and $329,000 energy cost savings in first 18 months",More than 120 facilities; first 18 months; source is Trane customer story.,Vendor/technology partner case study,B3,Partner-reported savings; facility mix and counterfactual baseline not published.,"Medium-high for JCX multi-site retail/office portfolio, subject to HVAC controls and utility metering.",https://www.trane.com/commercial/north-america/us/en/about-us/newsroom/case-studies/controls/a-journey-to-exceeding-decarbonization-goals-through-ai-enabled-building-technology.html,2026-08-30
QOC-032,Montreal office building,BrainBox AI,Canada,L8 Property operations/L10 ESG,HVAC AI optimization,HVAC schedules were not aligned with occupancy/weather and generated energy waste,Installed AI HVAC optimization integrated with existing systems,"81,066 kWh saved in five months; 11% of building energy; over CAD 7,600 utility cost; air-handling-unit heating modulation runtime down 35%",October 2021-February 2022; five months; one building.,Vendor case study PDF,B3,Short winter period and vendor-calculated comparison; comfort outcome is asserted but not independently measured.,High for JCX pilot: choose one building with interval meters and compare weather-normalized baseline.,https://brainboxai.com/hubfs/Case%20Studies/BBAI_Case%20Study_Montreal%20Office%20Building%20V4.pdf,2026-08-30
QOC-033,Rubenstein Partners,Measurabl Optimize,United States,L8 Property operations/L9 Portfolio/L10 ESG,Energy/ESG data optimization,Energy and compliance data were manually entered; teams spent time on meter readings and reporting,"Centralized data, automated compliance and real-time energy monitoring/optimization","$629,000 energy cost savings to date; 6.2M kWh avoided; portfolio average ENERGY STAR score +25%; certified buildings 10 to 24; 100% regulatory compliance","March 2020-May 2025; portfolio; specific building anomalies saved nearly $5,000 and $6,400.",Vendor customer case study; customer quote,B3,Vendor/customer-reported avoided cost; savings attribution and weather normalization not independently verified.,"High for JCX data backbone, compliance and operational savings; use local utility and carbon factors.",https://www.measurabl.com/resources/rubenstein-partners-energy-management-strategy-turning-operational-efficiency-into-investment-value-with-optimize/,2026-08-30
QOC-034,Dubai World Trade Centre,Facilio,Dubai/UAE,L8 Property operations/L10 ESG,Connected building/FDD,Fragmented building systems and energy wastage limited net-zero/operations visibility,"Connected building operations, fault detection and energy analytics",8% energy wastage reduced within 3 weeks; up to 15% savings potential identified; improved equipment performance and tenant satisfaction reported,Portfolio/building scope and baseline not disclosed; 3-week observation.,Vendor case study PDF,B3,Short window and “potential” not realized savings; no independent measurement.,Medium-high for JCX flagship buildings; use as pilot hypothesis with submeters and fault logs.,https://facilio.com/pdf/DWTC_Case-Study.pdf,2026-08-30
QOC-035,MNP,CoStar,Canada,L3 Capital/finance/L9 Portfolio,CRE data and tax assessment,Property tax assessments required fragmented data research and manual comparison,Centralized commercial real-estate transaction and property data,90% reduction in research time; 50% more tax assessments per year,Assessment practice; period not disclosed; exact assessment count omitted.,Vendor PDF/customer story,B3,Self-reported efficiency and output; revenue effect not independently measured.,High for JCX market intelligence and comparable-data workflows if source provenance is maintained.,https://www.costar.com/sites/costar.com.na/files/2023-02/case-study---mnp.pdf,2026-08-30
QOC-036,JLL,CoStar,Canada,L3 Capital/finance/L9 Portfolio,CRE data and broker productivity,"Commercial brokers lacked fast, verified property/off-market intelligence and spent time researching",Used CoStar data and analytics for broker workflows,50% productivity boost reported; off-market insights used to generate leads and close deals faster,JLL Canada case; exact broker/team denominator and period not disclosed.,Vendor PDF/customer quote,B3,Vendor/customer claim and productivity definition not published; no independent causal estimate.,"Medium-high for JCX investment/land pipeline and market comparables, but data acquisition/provenance is the hard part.",https://www.costar.com/sites/costar.com.na/files/2023-02/case-study---jll.pdf,2026-08-30
QOC-037,Raymond Realty,Salesforce,India,L6 Marketing/sales,CRM/customer 360,Manual broker/customer interactions and poor lead visibility constrained presales,"Built customer 360, partner app, pipeline dashboards and automated alerts on Salesforce",100% increase in presales productivity; conversion 5% to 12% (140% relative increase); escalation rate 100% to 20% (80% reduction),"Company case; before/after rates disclosed, sample and period not disclosed.",Vendor customer story; customer quote,B3,Attribution is self-reported; “productivity” denominator and lead mix changes are unknown.,Very high for JCX website-to-CRM-to-site-visit workflow; define funnel events and lead ownership from day one.,https://www.salesforce.com/in/customer-stories/raymond-realty/,2026-08-30
QOC-038,UEM Sunrise Berhad,Salesforce,Malaysia,L6 Marketing/sales/L7 Occupancy/L9 Portfolio,CRM/portfolio service,"Sales, service and property apps were disconnected; PII exposure and unsold inventory were concerns",Unified sales/service/marketing data with WhatsApp and property-app integrations,Up to 20% marketing conversion; NPS +60%; 10x productivity uplift; sales +27.8% in 2023; unsold/overhang <10%; PII exposure -90% in six months,Company case; 2023 sales and six-month PII window; portfolio/sample not disclosed.,Vendor customer story; customer quote,B3,Multiple outcomes and attribution are company-reported; market conditions and campaign mix not controlled.,"High for JCX CRM, buyer service and governance; do not copy “10x” without local event definitions.",https://www.salesforce.com/ap/customer-stories/uem-sunrise-berhad/,2026-08-30
QOC-039,RE/MAX Romania,HubSpot,Romania,L6 Marketing/sales,Inbound marketing automation,"Marketing and sales alignment/lead generation needed a scalable inbound system across 75 offices and 1,000 agents","Implemented personalized buyer journeys, marketing automation, content and sales alignment in HubSpot",114% increase in leads; 24% increase in customers; 100% increase in automated emails,Company story; period not disclosed; office/agent base disclosed.,Vendor customer story; agency partner,B3,Lead/customer changes may reflect campaign/agency effects; no denominator or independent audit.,"Medium-high for JCX digital marketing and lead-routing, with local language/portal and consent adaptation.",https://www.hubspot.com/case-studies/re/max-romania-increased-leads-by-114-with-hubspot,2026-08-30
QOC-040,Mahindra Happinest Palghar,Sell.Do/IRIS,India,L6 Marketing/sales,Digital project launch,Largely offline project launch and sales process during COVID-19,"Digital-only launch with lead management, virtual meetings and booking workflow","10,000+ leads managed; 250+ virtual meetings/day; 300+ bookings in 3 weeks",Three-week launch; denominators for conversion/cost not published.,Vendor customer story; customer result,B3,Counts are marketing-reported and lack independent funnel verification; pandemic context is unusual.,"High for JCX project launch, virtual sales and booking workflow; integrate inventory/price authority and payment compliance.",https://www.sell.do/success-stories,2026-08-30
QOC-041,Better Mortgage,Snapdocs,United States,L3 Capital/finance,Digital mortgage closing,"L6 Marketing/sales/L7 Occupancy,Digital mortgage closing,Paper/hybrid mortgage closing was slower, costly and error-prone at scale",Integrated Snapdocs lender/scheduling/eClosing with title software and notary network,$6.64M saved in 2021-2022; $519 saved per hybrid file; clear-to-close-to-fund 1.5 days faster; fund-to-purchase 8 days faster; 10-point NPS lift; 2M+ pages avoided,"2022 data; file denominator implied for per-file figure but not total volume; 6,000 review sample for 99% reviews.",Vendor customer story/customer data,B3,Attribution is vendor/customer reported; NPS and savings may be affected by borrower/product mix; title/legal context differs.,"Medium for JCX home sales and mortgage partners; digital signatures, KYC, title and regulation need local legal review.",https://www.snapdocs.com/resource-center/case-study/better-mortgage,2026-08-30
QOC-042,CrossCountry Mortgage,Blend,United States,L3 Capital/finance,Digital mortgage closing,"L6 Marketing/sales,Digital mortgage closing,Traditional closings took 1.5-2 hours and suffered signature/data errors across multiple platforms",Unified digital/hybrid closing workflow in Blend Close,Average closing time reduced to 45 minutes; each closer handles 85-120 loans/month; post-closing signature errors 0% reported,"Company story; 9,000+ employees/1,000 branches; per-closer capacity, period not disclosed.",Vendor customer story; customer quote,B3,Zero-error claim needs scope definition; capacity may reflect staffing/process changes beyond Blend.,Medium for JCX developer-finance ecosystem; prioritize document orchestration and partner APIs before regulated lending.,https://blend.com/customers/crosscountry-mortgage/,2026-08-30
QOC-043,Zillow Offers,Zillow Group,United States,L3 Capital/finance/L6 Marketing/sales,Algorithmic home buying failure,Algorithmic home buying accumulated inventory exposed to price/renovation and operational risk,Zillow wound down Offers and sold inventory after deciding the model’s volatility/forecasting risk was too high,$407.9M inventory write-down in 2021; Offers wind-down charges primarily recorded in Homes segment,"FY2021 SEC filing; reported accounting amount, not an operational KPI.",SEC filing; negative/retrenchment,A1,"This is a high-confidence accounting fact; it does not prove software alone caused the loss—market, pricing and operating model all mattered.","Critical JCX guardrail: do not automate land/property acquisition without human underwriting, inventory limits and exit triggers.",https://www.sec.gov/Archives/edgar/data/1617640/000161764022000013/z-20211231.htm,2026-08-30
QOC-044,WeWork,WeWork Inc.,United States/global,L7 Occupancy/L9 Portfolio,Flexible workspace restructuring,Asset-light branding paired with long fixed lease obligations and rapid expansion created structural mismatch,Chapter 11 restructuring rationalized leases and capital structure,Approximately $1.5B debt cancelled/equitized and $1.6B maturities extended in 2023 agreement; later emergence reported more than $4B debt shed and future lease obligations cut in half,2023 restructuring agreement and 2024 emergence; restructuring figures are company/filing reported.,SEC filing/company newsroom; negative/restructured,A1,Financial restructuring is not a PropTech ROI; macro office demand and lease terms were primary drivers.,JCX lesson: technology must improve asset economics and flexibility; never confuse a polished digital layer with sustainable unit economics.,https://www.wework.com/ideas/newsroom-landing-page/wework-announces-comprehensive-agreement-to-significantly-deleverage-capital-structure-and-bolster-liquidity-for-continued-growth,2026-08-30
