table,field,data_type,nullable,allowed_or_format,source_of_truth,legacy_source,public_exposure,validation_rule
entity_taxonomy,role,enum,no,primary|secondary|tag,editorial taxonomy,primary_lifecycle|secondary_lifecycle,public,at most one primary lifecycle per product
relationship,relationship_type,enum,no,owns|parent_of|subsidiary_of|brand_of|product_of|operated_by|acquired_by|successor_of|merged_into|invested_in|member_of_program|selected_for_cohort|partnered_with|implemented_for|pilot_for|associated_with,reviewed relationship,absent,public if evidence-backed,source or claim required
relationship,status,enum,no,asserted|ended|disputed|unknown,relationship evidence,absent,public if safe,dated when material
status_event,event_type,enum,no,launch|active_check|acquisition|merger|pivot|pause|shutdown|dissolution|restructure|cohort_selection|other,status source,status,public if safe,requires source_id or claim_id
status_event,event_date,date,yes,YYYY-MM-DD,event source,status_as_of,public,not retrieval date
status_event,evidence_date,date,yes,YYYY-MM-DD,date stated by source,status_as_of,public,may be null
source,source_id,string,no,src- stable ID,source registry,source_urls,public,immutable after URL normalization
source,url_observed,string,no,HTTP(S) URL as seen,staging/source register,source_urls,internal,retain original
source,url_canonical,string,no,HTTP(S) normalized URL,URL normalizer,source_urls,public,normalized host/path
source,source_type,enum,no,regulatory_filing|government|standards_body|official_product_docs|official_company_page|company_press_release|vendor_case_study|customer_announcement|independent_research|trade_media|major_media|accelerator_directory|investor_portfolio|social_profile|search_snippet|other,editorial source classification,inferred_source_class,public,enum
source,quality_grade,enum,no,S1|S2|S3|S4|S5,reviewed source quality,absent,public,do not derive from legacy A/B/C/D alone
source,retrieved_at,date,no,YYYY-MM-DD,ingestion/retrieval,last_verified,public,required
source,publication_date,date,yes,YYYY-MM-DD,source metadata,absent,public,not inferred unless documented
source,effective_date,date,yes,YYYY-MM-DD,source metadata,absent,public,distinct from retrieved_at
source,access_condition,enum,yes,open|paywalled|login|blocked|manual_only|unknown,access log,absent,internal,do not call blocked broken
claim,claim_id,string,no,claim- stable ID,claim registry,absent,public,immutable
claim,subject_entity_id,string,no,entity_id,claim registry,all row fields,public,FK to entity
claim,claim_kind,enum,no,identity|status|product_description|scale_signal|outcome|ownership|funding|market_presence|technology_support|negative_event|atlas_inference,editorial claim classification,claim_type|headline_claim,public,enum
claim,statement_public,string,no,atomic assertion,claim editor,headline_claim|scale_signal|tech_strategy|named_initiatives,public,one independently reviewable assertion
claim,value_type,enum,no,text|integer|decimal|date|boolean|range|structured,claim parser,all row fields,public,match value columns
claim,value_number,decimal,yes,decimal,claim parser,scale_signal|headline_claim,public,unit required
claim,value_unit,string,yes,controlled/free unit,claim parser,scale_signal|headline_claim,public,do not mix units
claim,scope_geography,string,yes,country/region,claim review,operating_regions,public,scope claims explicitly
claim,period_start,date,yes,YYYY-MM-DD,source/claim evidence,scale_signal|headline_claim,public,required for time-bounded outcomes
claim,period_end,date,yes,YYYY-MM-DD,source/claim evidence,scale_signal|headline_claim,public,period_start <= period_end
claim,reported_by,string,yes,company|customer|partner|government|independent|atlas,claim source,claim_type,public,required for C3 claims
claim,claim_grade,enum,no,C1|C2|C3|C4|C5,reviewed claim evidence,legacy evidence_grade|claim_type,public,independent of source quality
claim,confidence,enum,no,high|medium|low|unknown,editorial review,absent,public,requires rationale internally
claim,limitation_public,string,yes,plain text,claim review,caveats,public,required for C3-C5 material claims
claim_source,support_role,enum,no,supports|contradicts|contextualizes|discovery_only,claim review,source_urls,public,locator recommended
case_study,case_id,string,no,case ID,case library,case_id,public,immutable
case_study,customer_entity_id,string,yes,entity_id,case identity,organization,public if customer permission,do not proxy to all customers
case_study,solution_entity_id,string,yes,entity_id,case identity,solution_vendor,public,FK to product/org
case_study,reported_outcome,string,no,scoped outcome,case evidence,measured_outcome,public,claim-linked and caveated
case_study,verification_state,enum,no,unverified|reported|corroborated|verified,case review,evidence_grade,public,do not use legacy grade directly
score_snapshot,rubric_version,string,no,version,score process,absent,public,required
score_snapshot,as_of,date,no,YYYY-MM-DD,score process,last_verified,public,not current status date
score_snapshot,total_score,decimal,yes,0..100,score process,jcx_relevance,public,only with minimum evidence coverage
score_snapshot,tier,enum,yes,A|B|C|D|H,editorial score process,relevance_tier,public,mixed candidates remain null
review_event,action,enum,no,create|merge|split|correct|status_change|taxonomy_change|grade_change,editorial workflow,merged_record_count|identity_note,internal,required for material changes
review_event,reviewer_id,string,no,internal reviewer ID,editorial workflow,absent,internal,never public by default
review_event,reviewed_at,date,no,YYYY-MM-DD,editorial workflow,last_verified,internal,required
