inclusion_decision,identity,canonical_url,status_currentness,geography,lifecycle,category,exact_jcx_relevance,evidence_source_urls,cohort_ecosystem,maturity_signal,caveats,suggested_tier
must_add,One Click LCA,https://oneclicklca.com/en-gb/,Active; BuiltWorlds 2025 Building Tech Top 50 and company site current,Finland / global,Growth / venture-backed,Life-cycle assessment EPD and embodied-carbon software,Essential climate measurement layer for building materials design procurement and compliance,https://builtworlds.com/insights/2025-building-tech-top-50-list/|https://oneclicklca.com/en-gb/,BuiltWorlds Building Tech Top 50 2025,Global product and enterprise adoption claims,Do not merge with EC3 or generic LCA consultancies,Tier 1 / anchor
must_add,Revizto,https://revizto.com/,Active; BuiltWorlds 2025 Building Tech Top 50 and company site current,Switzerland / global,Growth / venture-backed,BIM coordination and 2D/3D collaboration,Adds a major coordination layer linking design issue management and field execution,https://builtworlds.com/insights/2025-building-tech-top-50-list/|https://revizto.com/,BuiltWorlds Building Tech Top 50 2025,"1,000+ customers and 80k projects claimed",Company scale metrics are self-reported; preserve Revizto spelling,Tier 1 / anchor
must_add,Cupix,https://www.cupix.com/,Active; BuiltWorlds 2025 Building Tech Top 50 and company site current,South Korea / US / global,Growth / venture-backed,4D digital twins from 360 video laser drone and BIM,Important reality/digital-twin coverage for construction progress facilities and handover,https://builtworlds.com/insights/2025-building-tech-top-50-list/|https://www.cupix.com/,BuiltWorlds Building Tech Top 50 2025,Enterprise product and global project claims,Do not merge with CUPIX-like capture products; confirm legal HQ in enrichment,Tier 1 / anchor
must_add,Speckle,https://speckle.systems/,Active; Foundamental portfolio current,Europe / global,Series B+ / venture-backed,Open data hub and real-time collaboration for AEC/BIM,Strategic interoperability/open-data anchor for a JCX thesis on fragmented design and construction information,https://www.foundamental.com/portfolio|https://speckle.systems/|https://docs.speckle.systems/quickstart/welcome,Foundamental,Foundamental investment 2020; enterprise developer ecosystem,Canonical is speckle.systems; name is generic outside the software company,Tier 1 / anchor
must_add,Gigaton,https://gigaton.co/,Active; 2150 investment page current,UK / global,Series A+ / venture-backed,AI control and efficiency software for cement plants,Directly links industrial AI to cement cost energy and emissions; high-value JCX ClimateTech/ConTech bridge,https://www.2150.vc/investments/gigaton|https://gigaton.co/product,2150,2150 initial investment 2025; named cement customers claimed,Do not merge with Gigaton CO2 at gigatonco2.com; they are separate companies,Tier 1 / anchor
must_add,Cocoon,https://www.cocooncarbon.com/,Active; 2150 investment page current,UK / Europe,Early / venture-backed,Steel-slag cement replacement and materials decarbonization,Adds industrial by-product cement substitution and embodied-carbon materials innovation,https://www.2150.vc/investments/cocoon|https://www.cocooncarbon.com/about,2150,2150 initial investment 2026; $5.4m pre-seed and $1m Innovate UK grants claimed,Use legal/company identity Cocoon Carbon; the Cocoon name is collision-prone,Tier 1 / anchor
must_add,Nabr,https://www.nabr.com/,Active; 2150 investment page current,US,Early / venture-backed,Direct sustainable apartments and industrialized housing,Connects sustainable building systems with direct-to-consumer development and delivery,https://www.2150.vc/investments/nabr|https://www.2150.vc/wp-content/uploads/2024/01/2150_Impact-report-2023_Master_2605.pdf,2150,2150 initial investment 2022; NYC and San Jose projects referenced,Project status and delivery volume should be refreshed; avoid confusing Nabr with NABR data brands,Tier 1 / anchor
must_add,OpenSolar,https://www.opensolar.com/,Active; 2150 investment page current,UK / global,Scale-up / venture-backed,Solar contractor workflow and energy deployment software,Useful built-environment decarbonization adoption layer linking installers finance design and asset retrofit,https://www.2150.vc/investments/opensolar|https://www.opensolar.com/,2150,2150 initial investment 2022; global free software model,Canonical and corporate status should be confirmed in enrichment; distinguish from open-source solar datasets,Tier 1 / anchor
must_add,Civils.ai,https://civils.ai/,Active; CEMEX 2026 APAC finalists and company site current,Singapore / APAC,Seed / venture-backed,AI takeoffs and civil-engineering document review,Adds APAC-native AI for estimating and technical documents with direct civil-infrastructure relevance,https://www.cemexventures.com/startup-competition-2026-apac-finalists/|https://civils.ai/about,CEMEX Ventures Construction Startup Competition 2026 APAC finalists,200+ firms and $3B projects claimed,Company customer/scale figures are self-reported; do not merge with CivCheck,Tier 1 / anchor
must_add,ConcreteAI,https://www.concreteai.io/,Active; CEMEX 2026 APAC finalists and company site current,Singapore / APAC,Early / venture-backed,Concrete strength and temperature monitoring,Directly covers concrete quality assurance waste reduction and lower-carbon mix/process decisions,https://www.cemexventures.com/startup-competition-2026-apac-finalists/|https://www.concreteai.io/about_us,CEMEX Ventures Construction Startup Competition 2026 APAC finalists,"Established 2022; six countries and 1,000+ structures claimed",Do not merge with Concrete.ai in the US; these are distinct identities,Tier 1 / anchor
context_only,GScan,https://www.gscan.eu/,Active signal; CEMEX Top 50 2025,Europe / global,Early / venture-backed,Muon tomography and non-destructive infrastructure scanning,Valuable infrastructure-inspection category signal but primary company evidence is thinner than anchor set,https://www.cemexventures.com/top-50-2025/|https://www.gscan.eu/,CEMEX Ventures Construction Startup Competition Top 50 2025,Technology-led early-stage signal,Retain as watchlist until funding/customer/operating footprint is independently enriched,Tier 2 / context
context_only,Concrete4Change,https://www.concrete4change.com/,Currentness uncertain; CEMEX Top 50 2025,Europe / global,Early-stage,Concrete circularity and carbon reduction,Relevant materials-climate category but not enough current primary evidence for anchor scoring,https://www.cemexventures.com/top-50-2025/,CEMEX Ventures Construction Startup Competition Top 50 2025,Competition selection signal only,Canonical URL and operating status require verification; keep out of current core until resolved,Tier 2 / context
context_only,Circotrade,https://circotrade.com/,Currentness uncertain; CEMEX Top 50 2025,Europe / global,Early-stage,Circular construction material marketplace,Useful circular-procurement context but identity/currentness is not sufficiently evidenced,https://www.cemexventures.com/top-50-2025/,CEMEX Ventures Construction Startup Competition Top 50 2025,Competition selection signal only,Do not score as active until official product/company page is confirmed,Tier 2 / context
context_only,Construex,https://www.construex.com.mx/,Active; Zacua portfolio and company FAQ current,Latin America,Scale-up / venture-backed,Construction services marketplace,Important LatAm construction-marketplace infrastructure and regional contractor-access signal,https://zacuaventures.com/portfolio/|https://www.construex.com.mx/contenidos/faq,Zacua Ventures,Founded 2019; 1.5m providers claimed,Official spelling is Construex; avoid “ConstructEx” normalization and country-domain drift,Tier 2 / context
context_only,Sitewire,https://www.sitewire.co/,Active; Zacua portfolio and company site current,US,Early / venture-backed,Construction oversight draw management and virtual inspections,Useful lender/owner risk-control layer but narrower than anchor workflows,https://zacuaventures.com/portfolio/|https://www.sitewire.co/about|https://www.sitewire.co/what-we-do,Zacua Ventures,Customer penetration and 4-day-to-4-hour claim,Claims are company-reported; validate whether target JCX scope treats lendertech as core,Tier 2 / context
context_only,Raise Robotics,https://raiserobotics.ai/,Active; Zacua portfolio and company site current,US,Early / venture-backed,Robotic curtainwall bracket installation,Strong specialty-trade robotics signal but currently narrower deployment footprint than Tier 1 anchors,https://zacuaventures.com/portfolio/|https://raiserobotics.ai/about/,Zacua Ventures,Prototype-to-early-commercial construction work cell,Keep separate from general facade installers and robotic-layout vendors,Tier 2 / context
context_only,Wentilabs,https://www.wentilabs.com/,Active signal; Zacua portfolio and company site current,Singapore / Southeast Asia,Early / venture-backed,AI agents for QA QC safety and site documentation,Important Southeast Asia field-AI signal; include for regional completeness while awaiting fuller maturity evidence,https://zacuaventures.com/portfolio/|https://www.wentilabs.com/,Zacua Ventures,Backed by Zacua; regional customer logos shown,Geography is inferred from ecosystem context; confirm legal HQ and funding,Tier 2 / context
context_only,SuiteSpot,https://www.suitespot.ai/,Active; RET portfolio page current,US / Canada,Early / venture-backed,Multifamily maintenance and capital-project software,Relevant property-operations detail but overlaps strongly with existing maintenance/work-order coverage,https://www.ret.vc/portfolio|https://www.suitespot.ai/company,RET Ventures,RET investment 2024; early-stage; SAM agent product current,Keep as context unless JCX specifically models multifamily maintenance software; legacy suitespottechnology.com may still appear in old sources,Tier 2 / context
context_only,CivCheck,https://www.claritisoftware.com/products/civcheck-ai-plan-review-software/,Current product; acquired by Clariti October 2025,US / Canada,Growth product / acquired,AI plan review and permitting,Decision-relevant permitting capability but should be represented under Clariti ownership rather than as an independent startup,https://builtworlds.com/insights/2025-building-tech-top-50-list/|https://www.civcheck.ai/blog/clariti-acquires-civcheck-to-accelerate-permit-approvals-with-ai|https://www.claritisoftware.com/products/civcheck-ai-plan-review-software,BuiltWorlds Building Tech Top 50 2025; Clariti,Acquisition announced 2025; product remains standalone,Do not create a separate active-company row if Clariti/CivCheck lineage is already represented,Tier 2 / context
context_only,Acres,https://www.acres.com/,Active; Moderne Ventures portfolio page current,US,Growth / venture-backed,Land intelligence and parcel data,Useful land/development intelligence adjacency for site selection and underwriting but not a direct construction workflow,https://www.moderneventures.com/portfolio,Moderne Ventures,150m parcel records and 1k layers claimed,Keep separate from land brokerage/MLS data brands,Tier 2 / context
context_only,AuditMate,https://auditmate.com/,Active; Moderne Ventures portfolio page current,US / global,Scale-up / venture-backed,Property maintenance and compliance contract audit,Useful owner-operator cost leakage and compliance use case but adjacent to rather than central to JCX construction thesis,https://www.moderneventures.com/portfolio,Moderne Ventures,Portfolio company with commercial product,Do not merge with generic audit-management software,Tier 2 / context
context_only,Algoma,https://www.algoma.com/,Active signal; Zacua and Moderne portfolio references,US,Early / venture-backed,Construction material/logistics software,Potentially relevant to supply-chain visibility but public primary detail is insufficient for anchor classification,https://zacuaventures.com/portfolio/|https://www.moderneventures.com/portfolio,Zacua Ventures; Moderne Ventures,Portfolio-company signal,Canonical identity and product scope need verification; collision risk with Algoma Central and unrelated Algoma companies,Tier 2 / context
context_only,Dig Robotics,https://digrobotics.com/,Active signal; CEMEX 2026 APAC finalists and 2025 Top 50,US / APAC,Early / venture-backed,Autonomous excavation and heavy-equipment robotics,Valuable robotics category signal and current competition finalist,https://www.cemexventures.com/startup-competition-2026-apac-finalists/|https://www.cemexventures.com/top-50-2025/,CEMEX Ventures Construction Startup Competition 2026 APAC finalists; Top 50 2025,Competition finalist signal; product/customer evidence to be enriched,Canonical domain should be verified before promotion to core,Tier 2 / context
context_only,Fixtender,https://fixtender.co.uk/,Currentness uncertain; Alchemist portfolio entry,UK / Europe,Early-stage,Construction tender marketplace and SaaS,Relevant tender/procurement workflow but older Alchemist entry lacks current operating evidence,https://www.alchemistaccelerator.com/portfolio-2?pno=5|https://www.alchemistaccelerator.com/programs,Alchemist Accelerator,Alchemist class October 2021,Verify operating status and canonical domain before adding as active,Tier 2 / context
