"name","canonical_url","status","hq_country","operating_regions","entity_type","scale_signal","primary_lifecycle","tech_strategy","innovation_model","named_initiatives","quantified_outcome","claim_type","evidence_grade","jcx_relevance","relevance_tier","caveats","source_urls","last_verified"
"Bouygues Construction","https://www.bouygues-construction.com/","active","France","Europe global","construction contractor developer","Bouygues Group 200,000 employees","D/C/E","Green and digital construction through centres, pilots and R&D","Scale One; MIT/EPFL/IP Paris partnerships","Scale One; Cyneo; Trimble pilots","No independently verified project ROI disclosed","observed","A","Innovation-centre and circular-construction comparator","Tier 1","Programme evidence stronger than outcomes","https://www.bouygues.com/integrated-report-2024/doc/article/29/; https://www.bouygues-construction.com/sites/default/files/bycn_financier_gb_2024_0.pdf","2026-08-30"
"VINCI","https://www.vinci.com/","active","France","Global","concessions construction energy solutions","€74.6bn revenue in 2025","D/C/O/E","Digital tools and sustainable construction via decentralised lines","Innovation Awards; startup partnerships; business-line pilots","VINCI Innovation Awards; digital construction","€74.6bn revenue; no PropTech ROI disclosed","observed","A","Scale and decentralised implementation benchmark","Tier 2","Group metric is not technology outcome","https://www.vinci.com/en/faq; https://vinci-construction.com/en/engagements/innovation_eng/","2026-08-30"
"Kajima","https://www.kajima.co.jp/english/","active","Japan","Japan global","construction developer","Major Japanese contractor","C/O","Automated heavy machinery, standardised expert movements and remote management","Internal R&D and production deployment","A⁴CSEL automated construction system","Operational at dam sites; productivity outcome not disclosed","observed","A","Hard-tech automation reference for labour-shortage markets","Tier 1","No quantified ROI in cited report","https://www.kajima.co.jp/english/sustainability/report/2025/pdf/ir_e_all.pdf","2026-08-30"
"Related Companies","https://www.related.com/","active","United States","United States global select cities","integrated developer owner operator","Operating portfolio >$60bn; ~44m sq ft global development/investment","L/D/C/H/O","Vertical integration and tech-forward urban development","Integrated development, construction, management and partnerships","Hudson Yards; Related Construction; Related Affordable",">$60bn portfolio; no PropTech ROI disclosed","company-reported","B","Integrated urban-development comparator","Tier 1","Tech-forward positioning is not quantified technology result","https://www.related.com/our-company","2026-08-30"
"Related Digital","https://www.related-digital.com/","active","United States","United States Canada","data-centre developer energy infrastructure","$45bn pipeline and >5GW near-term power","L/D/C/F/E","Site, entitlement, finance, design, construction, energy and data-centre integration","Platform backed by Related and energyRe","Related Digital; energyRe","$45bn and >5GW pipeline (company-reported)","company-reported","B","Relevant for JCX digital infrastructure and energy-enabled real estate","Tier 1","Pipeline is not delivered capacity","https://www.related-digital.com/","2026-08-30"
"Godrej Properties","https://www.godrejproperties.com/","active","India","India 15+ cities","residential commercial developer","15+ cities and >21.7m sqm development","D/S/H/O/E","AI analytics, digital platforms, smart-home and virtual engagement","Internal technology and partnerships","AI property analytics; virtual site visits; smart-home","15+ cities and >21.7m sqm; product ROI not disclosed","observed","A","South Asian developer implementation reference","Tier 1","Capabilities described more than controlled outcomes","https://www.godrejproperties.com/investors/investor-information; https://www.godrejindustries.com/public/uploads/subsidiaries_accounts/gpl-integrated-report-2024-25-jWKrCcH3RaISAacZufU.pdf","2026-08-30"
"Prestige Group","https://www.prestigeconstructions.com/","active","India","India","mixed-use developer operator","Large Indian mixed-use platform","S/H/O","Omnichannel digital sales, operations and AI service","Internal digital assets and platforms","My Prestige; PREOSS; AI chatbot; 3D walkthroughs","No verified quantified outcome in primary source used","observed","B","South Asian customer and sales-operations comparator","Tier 1","Some evidence is report mirror; verify original filing","https://bsmedia.business-standard.com/_media/bs/data/announcements/bse/19082025/0884e44f-01ac-4a6c-8a62-90727fe88fdb.pdf","2026-08-30"
"Lodha Developers / Macrotech","https://www.lodhagroup.com/","active","India","India","residential commercial developer","FY25 pre-sales ₹176.3bn; 6,793 homes delivered; 5,359 employees","L/D/S/F/H/O/E","Technology across land, planning, sales, collection, property management and handover","Lodha Net Zero Urban Accelerator; partnerships","Net Zero Urban Accelerator; digital infrastructure","₹20m invested in accelerator in 2023-24; ₹176.3bn FY25 pre-sales","company-reported","A","South Asian lifecycle and net-zero innovation case","Tier 1","Few product-level digital outcomes; renamed from Macrotech in 2025","https://www.lodhagroup.com/investor-relations; https://www.lodhagroup.in/investor-relations/assets/pdf/3rd-Integrated-Annual-Report_2023-24.pdf","2026-08-30"
"DLF / DCCDL","https://www.dlf.in/","active","India","India","office retail residential developer operator","DCCDL Cyber City portfolio","O/H/E","Tech-enabled workplace connectivity, ESG and water","WiredScore certification and internal asset operations","DLF Cyber City; WiredScore","Certification indicates connectivity readiness; no tenant productivity ROI","observed","A","Commercial workplace and smart-infrastructure benchmark","Tier 2","Certification is readiness, not performance","https://www.dlf.in/dccdl/annual-docket/DCCDL_Annual_Report_FY_2024_25.pdf","2026-08-30"
"Sobha Limited / Sobha Realty","https://www.sobha.com/","active","India / United Arab Emirates","India UAE","backward-integrated developer","Company profile claim: 148m sq ft and 600+ projects delivered","D/C/H/O/E","BIM, home automation, BMS/IoT, water systems, cybersecurity and payments","Backward integration and internal technology operations","BIM 360; BMS; IoT dashboards; SOC; smart irrigation; payments","148m sq ft / 600+ projects is company claim; no causal tech ROI","company-reported","B","India/UAE vertically integrated delivery comparator","Tier 2","Separate legal entities; verify metric ownership","https://www.sobha.com/investor-relations/; https://sobhaltd.in/updates/sobha-honoured-as-real-estate-developer-of-year-residential-2025/; https://sobharealty.com/sites/default/files/2025-07/SR%202024%20SOBHA%2031%20JULY%202025%20V2%20all_compressed.pdf","2026-08-30"
"Hines","https://www.hines.com/","active","United States","Global 30 countries/territories","investment manager developer operator","30 countries/territories; 27 Timber Transit Technology buildings in 2024 report","L/D/C/O/E","Pilots/scales technology, financing models and sustainable practices","Global Ventures; Office of Innovation; Fifth Wall","CQuel; Fabrik; Varuna; T3","No portfolio-wide PropTech ROI disclosed","observed","A","Pilot governance and venture-building benchmark","Tier 2","Public evidence stronger on governance than product detail","https://www.hines.com/globalventures; https://www.hines.com/2024-sustainability-report-full-report; https://hines-assets.s3.amazonaws.com/documents/Hines-2018-Sustainability-Report.-FINAL_190925_181950.pdf","2026-08-30"
"Brookfield","https://www.brookfield.com/","active","Canada","Global","real assets owner manager","2025 report frames multi-trillion AI infrastructure opportunity","F/O/E","Invests in physical backbone for AI and digital infrastructure","Institutional capital and operating platforms","AI backbone; data centres; power; fibre","Brookfield estimates $7tn AI value-chain capital need over decade; market thesis","company-reported","A","Capital allocation and energy/data-centre case","Tier 2","$7tn is thesis estimate, not Brookfield commitment","https://www.brookfield.com/2025-brookfield-corporation-annual-report","2026-08-30"
"Greystar","https://www.greystar.com/","active","United States","Global","multifamily owner operator developer","Large global rental housing platform","S/H/O/F","Digital leasing, resident experience, smart access and maintenance to verify","Internal platform and vendor partnerships","Unknown—verify products","Unknown","unknown","C","Rental operations comparator","Tier 2","Do not publish unverified AI claims","https://www.greystar.com/","2026-08-30"
"AvalonBay Communities","https://investors.avalonbay.com/","active","United States","United States","multifamily REIT","Public multifamily REIT","S/H/O/E","Digital leasing, resident services, smart home and energy analytics to verify","Internal operations and vendors","Unknown—verify products","Unknown","unknown","C","Institutional multifamily operations benchmark","Tier 2","Primary filing review required","https://investors.avalonbay.com/","2026-08-30"
"Equity Residential","https://www.equityapartments.com/","active","United States","United States","multifamily REIT","Public multifamily REIT","S/H/O/E","Digital resident experience and operations to verify","Internal operations and vendors","Unknown—verify products","Unknown","unknown","C","Resident-experience comparator","Tier 2","Primary filing review required","https://www.equityapartments.com/","2026-08-30"
"Invitation Homes","https://www.invitationhomes.com/","active","United States","United States","single-family rental owner operator","Large single-family rental owner","S/H/O","Centralised digital leasing, field service, work orders and smart home to verify","Internal platform and vendors","Unknown—verify products","Unknown","unknown","C","Distributed-home operations comparator","Tier 2","Primary filing review required","https://www.invitationhomes.com/","2026-08-30"
"Oxford Properties","https://www.oxfordproperties.com/","active","Canada","Global","institutional owner manager","Institutional global real estate platform","F/O/E","Portfolio data, decarbonisation and tenant experience to verify","Institutional partnerships and funds","Unknown—verify products","Unknown","unknown","C","Institutional ESG and asset-management comparator","Tier 2","Verify owner versus manager attribution","https://www.oxfordproperties.com/","2026-08-30"
"Ivanhoé Cambridge","https://www.ivanhoecambridge.com/","active","Canada","Global","institutional real estate investor","Global portfolio","F/O/E","Climate, data and tenant operations to verify","Institutional partnerships","Unknown—verify programmes","Unknown","unknown","C","Institutional owner comparator","Tier 2","Primary ESG report review required","https://www.ivanhoecambridge.com/","2026-08-30"
"Nuveen Real Estate","https://www.nuveen.com/global/real-estate","active","United States","Global","institutional investment manager","Global real estate manager","F/O/E","Portfolio analytics, retrofit and energy management to verify","Institutional funds and partnerships","Unknown—verify products","Unknown","unknown","C","Capital, retrofit and operations benchmark","Tier 2","Do not infer technology from general ESG language","https://www.nuveen.com/global/real-estate","2026-08-30"
"GIC","https://www.gic.com.sg/","active","Singapore","Global","sovereign institutional investor","Large sovereign investor","F/E","Digital infrastructure, data and climate analytics to verify","Long-term institutional co-investment","Unknown—verify PropTech portfolio","Unknown","unknown","C","Long-horizon capital comparator","Tier 2","Exposure may be indirect through funds","https://www.gic.com.sg/","2026-08-30"
"NEOM","https://www.neom.com/","active","Saudi Arabia","Saudi Arabia","master developer","Mega-project masterplan","L/D/O/E","Smart-city, digital twin, autonomous mobility and sustainable infrastructure claims to verify","Government-backed ecosystem and partners","The Line; Oxagon; Trojena","Unknown","unknown","C","MENA smart-city reference","Tier 2","Separate aspiration from delivered systems","https://www.neom.com/","2026-08-30"
"ROSHN","https://www.roshn.sa/","active","Saudi Arabia","Saudi Arabia","housing developer","Large Saudi housing developer","L/D/S/H/O","Digital sales, community services and construction technology to verify","Government-backed ecosystem","Unknown—verify platforms","Unknown","unknown","C","Regional housing and community comparator","Tier 2","Primary programme evidence required","https://www.roshn.sa/","2026-08-30"
"i-City / i-Berhad","https://www.i-bhd.com/about/","active","Malaysia","Malaysia","integrated city developer","Positioned as Malaysia's first integrated AI City","L/O/E","Urban ecosystem combining development, infrastructure and intelligent systems","Integrated developer platform","i-City AI City","No independent outcome disclosed","company-reported","B","Southeast Asian smart-city case","Tier 2","Marketing claims require delivered-system verification","https://www.i-bhd.com/about/","2026-08-30"
"Swire Properties","https://www.swireproperties.com/","active","Hong Kong","Hong Kong China Asia","mixed-use developer owner","Premium mixed-use portfolio","H/O/E","Smart-building connectivity, tenant experience and ESG analytics to verify","Internal sustainability and partnerships","Unknown—verify platforms","Unknown","unknown","C","Premium mixed-use comparator","Tier 2","Product-level evidence required","https://www.swireproperties.com/","2026-08-30"
"Hongkong Land","https://www.hkland.com/","active","Hong Kong","Hong Kong China Asia","developer owner operator","Premium commercial/residential portfolio","H/O/E","Smart building and tenant operations to verify","Internal asset management and partnerships","Unknown—verify initiatives","Unknown","unknown","C","Asia mixed-use owner comparator","Tier 2","Primary annual report review required","https://www.hkland.com/","2026-08-30"
"Frasers Property","https://www.frasersproperty.com/","active","Singapore","Asia Australia Europe","developer owner operator REIT sponsor","Multi-asset global platform","L/S/H/O/E","Digital customer platforms, logistics and smart buildings to verify","Asset manager, REITs and partnerships","Unknown—verify products","Unknown","unknown","C","APAC mixed-use and logistics comparator","Tier 2","Primary report review required","https://www.frasersproperty.com/","2026-08-30"
"Mapletree","https://www.mapletree.com.sg/","active","Singapore","Asia Europe United States","developer owner operator","Global logistics, industrial, office, retail and residential platform","L/O/E","Smart logistics, energy and tenant platforms to verify","Integrated developer and REIT manager","Unknown—verify platforms","Unknown","unknown","C","APAC logistics and mixed-use comparator","Tier 2","Technology evidence not extracted","https://www.mapletree.com.sg/","2026-08-30"
"Goodman","https://www.goodman.com/","active","Australia","Global","logistics industrial data-centre owner developer","Global logistics and data-centre platform","L/O/E","Automation-ready logistics, renewables and data centres","Integrated developer/operator and partnerships","Unknown—verify initiatives","Unknown","unknown","C","Industrial/data-centre comparator","Tier 2","Separate customer automation from owner technology","https://www.goodman.com/","2026-08-30"
"Stockland","https://www.stockland.com.au/","active","Australia","Australia","residential mixed-use community owner","Large Australian community platform","L/H/O/E","Digital customer journey, community operations and energy to verify","Internal platform and partnerships","Unknown—verify programmes","Unknown","unknown","C","Community developer comparator","Tier 2","Primary report review required","https://www.stockland.com.au/","2026-08-30"
"Mirvac","https://www.mirvac.com/","active","Australia","Australia","developer owner operator","Large Australian mixed-use/residential platform","L/D/H/O/E","Digital customer, precinct and energy operations to verify","Internal innovation and partnerships","Unknown—verify initiatives","Unknown","unknown","C","Precinct operations comparator","Tier 2","Primary report review required","https://www.mirvac.com/","2026-08-30"
"Daiwa House","https://www.daiwahouse.com/English/","active","Japan","Japan global","industrialised homebuilder developer","Large Japanese housing and real-estate group","D/C/H/O/E","Factory production, modularity, smart-home and lifecycle maintenance to verify","Internal R&D and industrialised construction","Unknown—verify products","Unknown","unknown","C","Industrialised construction comparator","Tier 2","Product-level outcomes not extracted","https://www.daiwahouse.com/English/","2026-08-30"
"Sekisui House","https://www.sekisuihouse.co.jp/english/","active","Japan","Japan global","homebuilder developer","Large Japanese homebuilder","D/C/H/O/E","Factory production, smart homes and lifecycle service to verify","Internal R&D and partnerships","Unknown—verify products","Unknown","unknown","C","High-quality residential delivery comparator","Tier 2","Primary report review required","https://www.sekisuihouse.co.jp/english/","2026-08-30"
"Mitsubishi Estate","https://www.mec.co.jp/en/","active","Japan","Japan United States Europe Asia Oceania","developer owner operator","Large Marunouchi-centred global urban developer","L/H/O/E","Urban data, tenant experience and digital services to verify","BRICKS FUND TOKYO CVC; Prime Partners","BRICKS FUND TOKYO; Mellow; IVRy","No portfolio-level outcome disclosed","observed","B","Urban-platform and developer-CVC comparator","Tier 2","CVC evidence stronger than property deployment","https://www.mec.co.jp/en/; https://bricks-fundtokyo.com/","2026-08-30"
"Obayashi","https://www.obayashi.co.jp/en/","active","Japan","Japan global","construction contractor developer","Major Japanese contractor","D/C/O/E","Robotics, autonomous construction, BIM and digital twins to verify","Internal R&D and partnerships","Unknown—verify robotics","Unknown","unknown","C","Japanese construction automation comparator","Tier 2","Primary report review required","https://www.obayashi.co.jp/en/","2026-08-30"
"Turner Construction","https://www.turnerconstruction.com/","active","United States","United States","general contractor","Major US contractor","D/C","BIM/VDC, safety analytics, robotics and project controls to verify","Internal innovation and partnerships","Unknown—verify products","Unknown","unknown","C","Construction implementation comparator","Tier 2","Primary evidence required","https://www.turnerconstruction.com/","2026-08-30"
"Procore","https://www.procore.com/","active","United States","Global","construction software","Global construction management platform","D/C/F","System of record for RFIs, cost, schedule and AI workflows","Enterprise SaaS and partner ecosystem","Procore platform; AI features","Customer outcomes vary; verify case studies","vendor-reported","B","Potential JCX contractor data backbone","Tier 2","Vendor claims need customer confirmation","https://www.procore.com/","2026-08-30"
"Autodesk Construction Cloud","https://construction.autodesk.com/","active","United States","Global","design and construction software","Global BIM/design/construction platform","D/C","BIM, coordination, document control and AI workflows","Enterprise SaaS ecosystem","Autodesk Construction Cloud; Revit; Forma","Customer outcomes vary; verify case studies","vendor-reported","B","Potential design-to-delivery system of record","Tier 2","Product suite and deployment differ by market","https://construction.autodesk.com/","2026-08-30"
"Matterport","https://matterport.com/","active","United States","Global","spatial capture digital twin software","Global spatial-capture platform","D/S/O","3D capture and digital twins for marketing, facilities and insurance","Software platform and channel partnerships","3D Showcase; digital twins","Vendor claims 403% more inquiries; 49% more qualified leads; 95% more calls","vendor-reported","B","JCX marketing, as-built and handover layer","Tier 2","Old vendor claims may not generalise","https://static.matterport.com/mp_cms/media/filer_public/4f/bf/4fbfdb3a-4e41-494c-b3ab-e45ab1f81569/matterport_for_real_estate_-_script_updated.pdf","2026-08-30"
"CoStar","https://www.costar.com/","active","United States","Global","property data marketplace analytics","Large CRE data and marketplace platform","L/S/F","Property data, search, analytics and AI to verify","Data platform and acquisitions","CoStar; Homes.com; LoopNet","Unknown","unknown","C","Data benchmark for JCX market intelligence","Tier 2","Separate traffic, leads and closed-transaction evidence","https://www.costar.com/","2026-08-30"
"Zillow","https://www.zillow.com/","active","United States","United States","residential marketplace","Large residential property marketplace","L/S/H","Digital search, valuation, lead generation and AI assistance","Marketplace, brokerage and partnerships","Zillow; Zestimate; Zillow Home Loans","Unknown","unknown","C","Consumer discovery and lead-funnel benchmark","Tier 2","Market traffic is not transaction conversion","https://www.zillow.com/","2026-08-30"
"Redfin","https://www.redfin.com/","active","United States","United States","residential brokerage marketplace","Large digital brokerage marketplace","S/F/H","Digital brokerage, search, valuation and transaction workflows","Integrated brokerage and software","Redfin platform","Unknown","unknown","C","Digital brokerage comparator","Tier 2","Verify current AI and transaction metrics","https://www.redfin.com/","2026-08-30"
"Opendoor","https://www.opendoor.com/","active","United States","United States","iBuyer technology-enabled brokerage","Digital home transaction platform","S/F","Data-driven pricing and transaction automation","Technology-enabled operator","Opendoor platform","Unknown","unknown","C","Useful transaction-automation case and risk lesson","Tier 2","Inventory and market-cycle risks are material","https://www.opendoor.com/","2026-08-30"
"VTS","https://www.vts.com/","active","United States","Global","CRE leasing software","CRE leasing and asset operations platform","S/H/O","Leasing, tenant experience and portfolio workflows to verify","Enterprise SaaS and partner ecosystem","VTS; VTS Rise","Unknown","unknown","C","Potential commercial leasing data layer","Tier 2","Verify current AI and customer outcomes","https://www.vts.com/","2026-08-30"
"Yardi","https://www.yardi.com/","active","United States","Global","property management and accounting software","Large property-management software platform","F/S/H/O","Accounting, leasing, maintenance and resident operations","Enterprise SaaS ecosystem","Yardi Voyager; RentCafe","Unknown","unknown","C","Potential property operations backbone","Tier 2","Product outcomes require customer evidence","https://www.yardi.com/","2026-08-30"
"MRI Software","https://www.mrisoftware.com/","active","United States","Global","property management and CRE software","Global property software platform","F/S/H/O","Property accounting, leasing, facilities and analytics to verify","Enterprise SaaS and acquisitions","MRI platform","Unknown","unknown","C","Potential operations and finance backbone","Tier 2","Verify current product names and outcomes","https://www.mrisoftware.com/","2026-08-30"
"AppFolio","https://www.appfolio.com/","active","United States","United States","property management software","Large property-management SaaS platform","F/S/H/O","Leasing, payments, accounting and AI workflows to verify","Enterprise SaaS","AppFolio Property Manager","Unknown","unknown","C","Potential rental operations and payments layer","Tier 2","Public-company metrics need current filing review","https://www.appfolio.com/","2026-08-30"
"Entrata","https://www.entrata.com/","active","United States","United States","multifamily property software","Large multifamily operating platform","S/H/O/F","Leasing, resident experience, payments and operations to verify","Enterprise SaaS ecosystem","Entrata platform","Unknown","unknown","C","Potential multifamily operations comparator","Tier 2","Primary customer evidence required","https://www.entrata.com/","2026-08-30"
"EquipmentShare","https://www.equipmentshare.com/","active","United States","United States global","construction equipment and fleet software","YC profile reports 5,400 employees; verify independently","C/O/F","Cloud equipment rental, telematics, tracking and security","YC-backed venture plus operating platform","EquipmentShare platform; fleet tracking","5,400 employees (YC profile claim)","startup self-report","D","Construction fleet-data comparator","Tier 3","YC profile is not audited","https://www.ycombinator.com/companies/industry/real-estate-and-construction","2026-08-30"
