name,canonical_url,status,status_as_of,hq_country,operating_regions,founding_year,cohort_or_ecosystem,primary_lifecycle,secondary_lifecycle,category,entity_type,business_model,maturity,evidence_grade,jcx_relevance,relevance_tier,headline_claim,claim_type,caveats,source_urls,last_verified
ShareBari,https://sharebari.com/,live-early-product,2026-08-30,Bangladesh,Bangladesh,Unknown,local-early-stage,shared-project-shareholder-accounting,documents-progress-investor-comms,shareholder-governance-SaaS,private-startup,subscription-SaaS,early-stage,B/D,shared-JV-investor-transparency,B,Padma-Builders-demo-not-paying-customer-proof,company-product-page,unknown,https://sharebari.com/,2026-08-30
Truzo,https://www.truzo.app/,pilot,2026-08-30,Bangladesh,Bangladesh,Unknown,local-pilot,proof-expenses-committee-approval,shareholder-payments-progress,construction-governance-SaaS,private-startup,project-SaaS,pilot,B/D,dispute-reduction-expense-evidence,B,site-says-Now-in-Pilot-and-zero-disputes-is-claim,company-claim,unknown,https://www.truzo.app/,2026-08-30
Jomee-Jomaa,https://www.jomeejomaa.com/,active,2026-08-30,Bangladesh,Bangladesh,2023,local-fintech-proptech,land-investment-fractionalization,secondary-market-documents,fractional-land-platform,private-fintech,profit-share,early-stage,B/C,benchmark-only-pending-counsel,B,BDT1000-ROI-liquidity-are-claims,company-plus-press,securities-AML-title-secondary-market-risk,https://www.jomeejomaa.com/terms;https://www.thedailystar.net/tech-startup/news/fractional-land-investment-platform-jomee-jomaa-launched-3444451,2026-08-30
BPC,unknown,unresolved,2026-08-30,Bangladesh,Unknown,Unknown,identity-unresolved,Unknown,Unknown,unresolved,Unknown,Unknown,Unknown,D,exclude-until-legal-identity,C,searches-resolve-to-non-PropTech-entities,negative-verification,provide-legal-name-or-domain,https://www.wikipedia.org/wiki/BPC,2026-08-30
Sell-Do,https://www.sell.do/,active-subsidiary,2026-08-30,India,India,2012,Aurum-PropTech-Accel,lead-to-possession-revenue-ops,AI-calling-channel-partners-collections,developer-CRM-revenue-OS,subsidiary,enterprise-SaaS,scale,A,closest-mature-developer-OS,A,claims-1500-businesses-25m-leads-US25bn-inventory,company-claim,verify-outcomes-and-RERA-portability,https://www.sell.do/about;https://www.sell.do/;https://www.sell.do/solutions/developers,2026-08-30
Aurum-PropTech,https://www.aurumproptech.in/,active-listed,2026-08-30,India,India,Unknown,NSE-BSE-Aurum-ecosystem,property-data-capital-platforms,rental-analytics-investment,integrated-PropTech-holding,public-company,portfolio-SaaS-transactions,scale,A,ecosystem-acquisition-benchmark,A,portfolio-and-market-potential-are-company-statements,company-page,unknown,https://www.aurumproptech.in/;https://www.aurumproptech.in/about,2026-08-30
Landeed,https://www.landeed.com/,active,2026-08-30,India,India,Unknown,Indian-proptech-venture,title-document-search,valuation-market-data,property-records-platform,private-startup,subscription-data-services,early-growth,B/C,title-evidence-graph-benchmark,B,Indian-state-integrations-not-portable,company-page,unknown,https://www.landeed.com/about;https://www.landeed.com/,2026-08-30
NoBroker,https://www.nobroker.in/,active,2026-08-30,India,India,2014,Indian-proptech-scaleup,owner-buyer-renter-marketplace,property-society-services,consumer-marketplace,private-startup,service-fees-subscriptions,scale,B/C,self-service-and-monetization-caution,C,early-Series-A-company-release-current-paid-plans-need-review,company-press,unknown,https://assets.nobroker.in/static/img/press/nb_in_chennai.pdf;https://www.nobroker.in/forum/wp-content/uploads/2026/01/NoBroker_Realestate_Report_2025_compressed.pdf,2026-08-30
Infra-Market,https://infra.market/,active,2026-08-30,India,India,2016,Indian-construction-scaleup,materials-procurement-manufacturing,distribution-private-label-credit,construction-materials-platform,private-company,marketplace-manufacturing-finance,scale,B/C,supply-aggregation-quality,B,valuation-and-funding-mixed-source-credit-risk,company-plus-investor,unknown,https://infra.market/about-us;https://infra-prod.gumlet.io/ivas/PROD/06-05-2025/1746534342377_IVAS_DezineMandapam.pdf,2026-08-30
Powerplay,https://www.accel.com/companies/powerplay,active,2026-08-30,India,India,Unknown,Accel-seed-2021,site-collaboration-documents,project-communication-architecture,ConTech-collaboration-SaaS,private-startup,subscription-SaaS,early-growth,C,site-diary-RFI-progress,C,Accel-confirms-seed-positioning-few-outcomes,VC-profile,unknown,https://www.accel.com/companies/powerplay,2026-08-30
Facilio,https://facilio.in/,active,2026-08-30,India,India-UAE-US-Singapore-Australia-UK,2017,Accel-Tiger-Dragoneer-Brookfield,property-operations-maintenance,IoT-energy-tenant-experience-AI,connected-CMMS-building-SaaS,private-growth,enterprise-subscription-implementation,scale,A/B,post-handover-energy,A,dated-funding-official-metrics-mostly-company-claims,company-releases,unknown,https://facilio.com/newsroom/series-a/;https://facilio.com/newsroom/series-b/;https://facilio.in/about/,2026-08-30
Zenatix,https://www.zenatix.com/,active-Schneider-subsidiary,2026-08-30,India,India,Unknown,Schneider-Electric,building-energy-monitoring,IoT-analytics-efficiency,smart-building-energy,subsidiary,hardware-SaaS,scale,B,energy-management,B,3000-sites-and-ROI-under-24-months-company-claims,company-page,unknown,https://www.zenatix.com/about/,2026-08-30
Huspy,https://huspy.com/ae/,active,2026-08-30,UAE,UAE-Spain-MENA,2020,Fifth-Wall-Peak-XV-Balderton,home-discovery-brokerage,mortgage-financing,brokerage-mortgage-platform,private-growth,commission-referral-finance,scale,B,transaction-to-finance,B,25-percent-Dubai-mortgage-and-AED1bn-month-company-claims,company-releases,UAE-licenses-do-not-transfer,https://huspy.com/ae/blog/balderton-huspy;https://huspy.com/blog/huspy-series-a,2026-08-30
SmartCrowd,https://www.smartcrowd.ae/,active,2026-08-30,UAE,Dubai-UAE,Unknown,DFSA-DIFC-DLD,fractional-property-investment,SPV-distributions-exit,fractional-real-estate,private-fintech,platform-asset-fees,scale,B,SPV-investor-transparency,B,legal-structure-not-Bangladesh-ready,company-help-center,unknown,https://help-center.smartcrowd.ae/en/articles/7122055-how-are-investments-structured-at-smartcrowd,2026-08-30
Stake,https://getstake.com/,active,2026-08-30,UAE,UAE-Saudi-Arabia,2018,regional-fractional,fractional-property-investing,app-secondary-liquidity,real-estate-investment,private-fintech,platform-management-fees,scale,B/C,digital-investor-onboarding,C,Bangladesh-explicitly-unavailable-to-UAE-investors,company-help-center,unknown,https://help.getstake.com/en/articles/6570336-who-can-invest-in-uae;https://help.getstake.com/en/articles/8249047-how-do-i-begin,2026-08-30
PRYPCO,https://prypco.com/,active,2026-08-30,UAE,Dubai-UAE,Unknown,DLD-tokenization-initiative,property-investment-finance,tokenized-real-estate-Golden-Visa,property-fintech-tokenization,private-startup,transaction-fees,early-growth,B,regulator-connected-tokenization,B,DLD-reported-sellout-verify-legal-details,government-plus-company,unknown,https://dubailand.gov.ae/en/news-media/dubai-land-department-achieves-world-first-with-instant-sell-out-of-tokenized-real-estate;https://help.prypco.com/en/articles/13740985-what-is-prypco,2026-08-30
BRKZ,https://brkz.com/en,active,2026-08-30,Saudi-Arabia,Saudi-Arabia-MENA,2022,Beco-9900-Waed,materials-procurement,embedded-finance-equipment-manpower,managed-B2B-contech,private-growth,marketplace-financing,scale,B/A,procurement-credit,A,US8m-2024-and-US17m-2025-releases-verify-current-financials,company-plus-press,unknown,https://www.wamda.com/en/2024/03/brkz-secures-8-million-series-round;https://www.globenewswire.com/news-release/2025/02/10/3023492/0/en/BRKZ-closes-17M-Series-A-to-transform-construction-procurement-as-Saudi-Arabia-s-3T-project-pipeline-accelerates.html,2026-08-30
WakeCap,https://www.wakecap.com/,active,2026-08-30,Saudi-Arabia,Saudi-Arabia-UAE-US-Japan,Unknown,Saudi-contech,site-workforce-equipment-visibility,safety-reality-capture,IoT-construction-operations,private-growth,hardware-SaaS-partnerships,scale,B,site-evidence-safety,B,OpenSpace-partnership-and-Crews-acquisition-dated-outcomes-not-audited,company-announcements,unknown,https://www.wakecap.com/news-and-events/wakecap-openspace-partnership;https://www.wakecap.com/news-and-events/wakecap-acquires-crews-by-core,2026-08-30
Nawy,https://www.nawy.com/,active,2026-08-30,Egypt,Egypt-MENA,2019,Partech-eCapital-Nclude,property-discovery-brokerage,mortgage-fractional-B2B-brokers,integrated-proptech,private-growth,commission-financing-fees,scale,B,inventory-broker-finance,B,US52m-equity-and-US23m-debt-release-license-needs-check,company-release,unknown,https://www.nawy.com/blog/116847-nawy-raises-a-52m-series-a-to-take-on-mena;https://www.nawy.com/about-us,2026-08-30
PropertyGuru,https://www.propertyguru.com.sg/,active,2026-08-30,Singapore,Singapore-Malaysia-Indonesia-Thailand,2007,SEA-portal,property-discovery-advertising,developer-leads-data-events,online-property-portal,public-status-verify,advertising-subscriptions-leads,scale,B,portal-data-content,B,11m-buyers-and-enquiry-figures-company-claims,company-page,unknown,https://www.propertyguru.com.sg/about-us/our-company,2026-08-30
99-Group,https://www.99.co/,active,2026-08-30,Singapore,Singapore-Indonesia,2014,East-Ventures-Sequoia-Gaw,property-discovery-advertising,market-intelligence-valuation-finance,SEA-portal-data,private-growth,advertising-subscriptions-data,scale,B,acquisition-integration-data,B,US17m-2023-revenue-CAGR-company-claims,company-pages,unknown,https://www.99.co/about-us;https://www.99.co/about-us/indonesia,2026-08-30
Homebase-SEA,https://www.ycombinator.com/companies/homebase,active-per-YC,2026-08-30,Singapore,Southeast-Asia,2019,Y-Combinator-W21-Antler-Iterative,rent-to-own-financing,alternative-mortgage-underwriting,housing-finance,private-startup,financing-fees,early-growth,C,affordability-staged-ownership,C,name-collides-with-US-Homebase-OneQuext-credit-risk,YC-profile,unknown,https://www.ycombinator.com/companies/homebase;https://homebase.ai/,2026-08-30
GA-Technologies-RENOSY,https://www.ga-tech.co.jp/en/,active-listed,2026-08-30,Japan,Japan-Thailand-China-US,2013,Tokyo-Stock-Exchange-RENOSY-ITANDI,online-property-investment,asset-management-rental-AI-valuation,integrated-real-estate-tech,public-company,transactions-subscriptions-SaaS,scale,A,property-data-flywheel,A,Japan-data-and-regulations-localize,annual-filing,unknown,https://edinetdb.jp/company/E34177/text?fy=2024;https://www.ga-tech.co.jp/en/company/history/,2026-08-30
Housmart-PropoCloud,https://www.j-vgi.co.jp/en/news/housmart211008,acquired-by-GA-ITANDI,2026-08-30,Japan,Japan,2014,GA-acquisition-2024,broker-lead-nurture,automated-property-matching,real-estate-sales-SaaS,acquired-startup,SaaS,acquired,C,acquisition-case-study,C,GA-filing-records-Jan-2024-acquisition,company-plus-filing,unknown,https://www.j-vgi.co.jp/en/news/housmart211008;https://edinetdb.jp/company/E34177/text?fy=2024,2026-08-30
Archistar,https://www.archistar.ai/,active,2026-08-30,Australia,Australia-US-Canada-UK-UAE-Saudi-NZ,Unknown,NSW-AI-Planning-panel-government-grant,site-selection-feasibility,3D-generative-design-applications,AI-feasibility-planning,private-startup,subscription-data-pilots,scale,A,RAJUK-CDA-DAP-feasibility,A,planning-data-does-not-transfer-licensed-signoff,government-company,unknown,https://www.archistar.ai/for-property-developers-legacy/;https://www.planning.nsw.gov.au/news/nsw-government-bringing-planning-21st-century,2026-08-30
Nearmap,https://www.nearmap.com/au,active,2026-08-30,Australia,Australia-US-NZ-Canada,2007,aerial-property-intelligence,site-property-intelligence,construction-insurance-government,aerial-imagery-AI,public-global-company,subscription-API,scale,B,imagery-change-detection,B,customer-counts-refresh-company-claims-local-drone-alternative,company-page,unknown,https://www.nearmap.com/au/property-intelligence;https://www.nearmap.com/au/about,2026-08-30
Saudi-PropTech-Hub-REGA,https://rega.gov.sa/en/rega-services/platforms/saudi-proptech-hub/,active-ecosystem,2026-08-30,Saudi-Arabia,Saudi-Arabia,2024,REGA-NTDP-Startup-Wise-Guys,regulatory-sandbox,accelerator-summit-developer-links,public-ecosystem,government-program,public-support,ecosystem,A,Bangladesh-sandbox-model,A,not-a-vendor-program-evidence-not-startup-outcomes,government-sources,unknown,https://rega.gov.sa/en/rega-services/platforms/saudi-proptech-hub/;https://www.spa.gov.sa/en/N2196077,2026-08-30
